sentence,correct_label,label
" After taking many different forms over the years, as per a September 2020 bill passed in the Tamil Nadu Legislative assembly, the varsity is now reconstituted to be an affiliating university for engineering colleges across Tamil Nadu excluding the engineering colleges that are part of Anna Technological and Research University",0,0
The University is now the affiliating authority for close to 550 engineering colleges in Tamil Nadu,0,0
" Contemporary digital real estate technologies could therefore include property management using digital dashboards, smart home technology, research and analytics, listing services/tech-enabled brokerages, mobile applications, residential and commercial lending, 3D-modeling for online portals, automation, crowdfunding real estate projects, shared spaces management, as well as organizing, analyzing, and extracting key data from lengthy rental documents",0,1
", 'Media technology may refer to:\n\nData storage devices\nArt media technology – Category:Visual arts media\nPrint media technology – Category:Printing\nDigital media technology – Category:Digital media\nElectronic media technology – Category:Digital media or Category:Electronic publishing\nMedia technology university programmes\nMedia psychology, the field of study that examines media, technology and the effect on human behavior', 'Appropriate technology is a movement (and its manifestations) encompassing technological choice and application that is small-scale, affordable by locals, decentralized, labor-intensive, energy-efficient, environmentally sound, and locally autonomous",0,0
" Well-known examples of appropriate technology applications include: bike- and hand-powered water pumps (and other self-powered equipment), the universal nut sheller, self-contained solar lamps and streetlights, and passive solar building designs",0,0
" Today appropriate technology is often developed using open source principles, which have led to open-source appropriate technology (OSAT) and thus many of the plans of the technology can be freely found on the Internet",0,1
", ""ETH Zürich (English: ETH; Swiss Federal Institute of Technology in Zürich; German: Eidgenössische Technische Hochschule Zürich) is a public research university in the city of Zürich, Switzerland",0,0
" Founded by the Swiss Federal Government in 1854 with the stated mission to educate engineers and scientists, the school focuses exclusively on science, technology, engineering, and mathematics",0,0
" Like its sister institution EPFL, it is part of the Swiss Federal Institutes of Technology Domain, part of the Swiss Federal Department of Economic Affairs, Education and Research",0,0
"In the 2021 edition of QS World University Rankings, ETH Zurich was ranked 6th in the world, placing it as the second-best European university after the University of Oxford",0,0
" In the 2020 QS World University Rankings by subject, it ranked 4th in the world for engineering and technology (2nd in Europe) and 1st for earth and marine science",0,0
" There are currently 22,200 students from over 120 countries, of which 4,180 are pursuing doctoral degrees",0,0
"As of November 2019, 21 Nobel laureates, 2 Fields Medalists, 2 Pritzker Prize winners, and 1 Turing Award winner have been affiliated with the Institute, including Albert Einstein",0,0
Other notable alumni include John von Neumann and Santiago Calatrava,0,0
" It is a founding member of the IDEA League and the International Alliance of Research Universities (IARU), and a member of the CESAER network",0,0
""", 'Maulana Abul Kalam Azad University of Technology (MAKAUT), formerly known as West Bengal University of Technology (WBUT), is a public state university located in Kalyani, West Bengal, India and funded completely by the Government of West Bengal",0,0
It was established in 2001 by an Act of West Bengal legislature,0,0
The university provides management and engineering degrees through affiliated colleges and in-house departments,0,0
", 'Boom Technology, Inc",0,0
(trade name Boom Supersonic) is an American company designing a Mach 1,0,0
"7 (1,000 kn; 1,800 km/h), 55-passenger supersonic airliner",0,0
" Named the Boom Overture, the airliner is planned to have a range of 4,250 nmi (7,870 km) and to be introduced in 2030",0,0
The Boom XB-1 Baby Boom one-third-scale demonstrator is expected to begin flight testing in 2021,0,0
", 'An IT Specialist, computer professional, or an IT professional may be:\n\na person working in the field of information technology;\na person who has undergone training in a computer-field-related colleges, universities and computer institutes; or\na person who has proven extensive knowledge in the area of computing",0,0
D,0,0
" Because these trees are technically directed and acyclic, they can more accurately be described as a technology directed acyclic graph",0,0
" The diagram is tree-shaped in the sense that it branches between each \'level\', allowing the player to choose one sequence or another",0,0
"\nA player who is engaged in research activities is said to be ""teching up"", ""going up the tech tree"", or ""moving up the tech tree""",0,0
\nMilitary technology is often researched and developed by scientists and engineers specifically for use in battle by the armed forces,0,1
"\nArmament engineering is the design, development, testing and lifecycle management of military weapons and systems",0,0
" It draws on the knowledge of several traditional engineering disciplines, including mechanical engineering, electrical engineering, mechatronics, electro-optics, aerospace engineering, materials engineering, and chemical engineering",0,0
", 'Information and communications technology (ICT) is an extensional term for information technology (IT) that stresses the role of unified communications and the integration of telecommunications (telephone lines and wireless signals) and computers as per IFGICT, as well as necessary enterprise software, middleware, storage and audiovisual, that enable users to access, store, transmit, understand and manipulate information as per the international federation of ICT",0,0
The term ICT is also used to refer to the convergence of audiovisual and telephone networks with computer networks through a single cabling or link system,0,0
" ICT is an umbrella term that includes any communication device, encompassing radio, television, cell phones, computer and network hardware, satellite systems and so on, as well as the various services and appliances with them such as video conferencing and distance learning",0,0
" It covers any product that will store, retrieve, manipulate, transmit, or receive information electronically in a digital form (e",0,0
g,0,0
", personal computers including smartphones, digital television, email, or robots)",0,0
", 'Design and technology (D&T) is a school subject offered at all levels of primary and secondary school in England",0,0
" It is used so children develop a range of designing skills and technology skills for example, using media to design their project and a saw to cut items",0,0
" It first appeared as a titled subject in the first National Curriculum of England, Wales and Northern Ireland in 1988",0,0
" D&T, or a similar form, has been taught in many countries around the world such as India, United States, Australia, New Zealand, Ireland, Malta, China, South Africa, France and Finland",0,0
Many international schools teach design and technology,0,1
As a school subject it involves students in designing in a practical context using a range or materials and media,0,0
" It is also a university course in many countries, including Australia, Canada, the US, Singapore, South Africa, Netherlands and New Zealand, both for the preparation of teachers and for general education in areas such as industrial design",0,0
" Some of the UK universities which deliver courses include: Brighton, Sheffield Hallam, Goldsmiths, University of London and Greenwich",0,0
", 'Microchip  Technology Inc",0,0
" is a publicly-listed American corporation that manufactures microcontroller, mixed-signal, analog and Flash-IP integrated circuits",0,0
" Its products include microcontrollers (PIC, dsPIC, AVR and SAM), Serial EEPROM devices, Serial SRAM devices, embedded security devices, radio frequency (RF) devices, thermal, power and battery management analog devices, as well as linear, interface and wireless products",0,0
"\nIts corporate headquarters is located in Chandler, Arizona",0,0
" Its wafer fabs are located in Tempe, Arizona, Gresham, Oregon, and Colorado Springs, Colorado",0,0
"  Its assembly/test facilities are in Chachoengsao, Thailand, and Calamba and Cabuyao, Philippines",0,0
35 billion,0,0
" Support includes access to labs, curricula and course materials, One-on-one consultations, online resources (e",0,0
g,0,0
", code examples, textbook recommendations), training at regional training centers, silicon donations, assistance finding low cost development tools, free versions of Microchip programming tools and product discounts",0,0
", Ltd",0,0
" is a Chinese plastic parts and injection mold-maker, which was listed on the Shenzhen Stock Exchange ChiNext board on 22 December 2010 using stock code SZSE: 300151 with CN¥100,500,000 registered capital",0,0
It was one of three companies to be listed on that day (along with IREAL and QHT) and one of 117 firms to be listed that year,0,0
"\nThe ""CHT Group"" has subsidiaries in Shenzhen, Shanghai, Heyuan, Anhui, and Hong Kong with their headquarters in Pingshan New District, Shenzhen, Guangdong, China",0,0
\nMajor customers include Konica Minolta Inc,0,0
", Brother Industries, for whom they produce tooling and parts for Multifunction Printers, Thermo Fisher and Beijing Xiaomi Technology Co",0,0
", Ltd",0,0
,0,0
", 'MOS Technology, Inc",0,0
" (""MOS"" being short for Metal Oxide Semiconductor), later known as CSG (Commodore Semiconductor Group), was a semiconductor design and fabrication company based in Norristown, Pennsylvania, in the United States",0,0
It is most famous for its 6502 microprocessor and various designs for Commodore International\'s range of home computers,0,0
", ""Sole Technology, Inc",0,0
" is an American footwear company, specializing in skate shoe production and distribution",0,0
" The company is owned and run by Pierre André Senizergues, a former professional freestyle skateboarder",0,0
" The company's headquarters are in Lake Forest, California, United States (US)",0,0
""", ""Lens Technology (Chinese: 蓝思科技) is a Chinese technology company headquartered in Hunan that engages in the research, development, manufacture, and sale of lens products",0,0
" It produces and sells touch panel cover glass, touch sensor modules, and touch panel covers",0,0
"In December 2020, the company was reported to be using forced labor from Uyghur Muslims in their factories",0,0
"\n\n\n== References =="", 'Tobii (formerly known as Tobii Technology AB) is a Swedish high-technology company that develops and sells products for eye control and eye tracking",0,0
" The prehistoric discovery of how to control fire and the later Neolithic Revolution increased the available sources of food, and the invention of the wheel helped humans to travel in and control their environment",0,0
" It may be an idea or design that has not yet been developed, or it may be a fictional device used in a novel",0,0
", 'Quanta Technology LLC is a utility infrastructure consulting company based in Raleigh, North Carolina",0,0
It is a wholly owned subsidiary of Quanta Services,0,0
"\nThe list includes companies whose primary business  activities are associated with the technology industry, which includes computer hardware, software, electronics, semiconductors, internet, telecom equipment, e-commerce and computer services",0,0
", ""The following outline is provided as an overview of and topical guide to technology: collection of tools, including machinery, modifications, arrangements and procedures used by humans",0,0
""", ""The National Institute of Standards and Technology (NIST) is a physical sciences laboratory and non-regulatory agency of the United States Department of Commerce",0,0
" NIST's activities are organized into laboratory programs that include nanoscale science and technology, engineering, information technology, neutron research, material measurement, and physical measurement",0,0
""", 'G-Technology is a brand of Western Digital that produces external storage products designed and marketed for the Macintosh, creative pro, photography and A/V markets",0,0
" Its USB, FireWire, eSATA, SAS, SCSI Thunderbolt, and Fibre Channel systems support all levels of audio/video production",0,0
", ""VIA Technologies Inc",0,0
" (Chinese: 威盛電子; pinyin: Wēishèng Diànzǐ), is a Taiwanese manufacturer of integrated circuits, mainly motherboard chipsets, CPUs, and memory",0,0
It was the world's largest independent manufacturer of motherboard chipsets,0,0
""", 'Elsa Technology is a computer hardware company",0,0
" It was founded in 1980 as ELSA Technology AG, a German company manufacturing video cards and other peripherals for Personal Computers",0,0
" In 2002, the German company filed for bankruptcy while its Taiwanese subsidiary was founded in 2003 as ELSA Technology Inc",0,0
Other companies founded when the original ELSA Technology went into bankruptcy were devolo and LANCOM Systems,0,0
The ELSA name also continues under the ELSA Japan Inc,0,0
", which had been founded as a joint venture in 1997, and runs independently since 2002",0,1
", 'SRM Institute of Science and Technology is a private deemed university located in Kattankulathur, Chengalpattu, Tamil Nadu, India, near Chennai",0,0
It was founded in 1985 as SRM Engineering College in Kattankulathur,0,0
" SRM Institute of Science and Technology includes seven campuses, three in Tamil Nadu — Kattankulathur, Ramapuram and Vadapalani, one in NCR Delhi, all 4 of which come under ‘SRM IST, Chennai’",0,0
"\nThe other 3 campuses include one in Sikkim, one in Sonipat and one in Amaravati",0,0
" There are about 50,000 students studying in SRM",0,0
\nThe institute gained deemed status during the 2003–2004 academic year and was renamed SRM Institute of Science and Technology,0,0
It became SRM University in 2006 following permission by the UGC for \'Deemed to be Universities\' to be called \'Universities\',0,0
" In 2017 it was renamed back as SRM Institute of Science and Technology following the UGC request to drop ""University"" from the name",0,0
", 'Technology transfer, also called transfer of technology (TOT), is the process of transferring (disseminating) technology from the person or organization that owns or holds it to another person or organization",0,0
"\n\n\n== References ==', ""Leitch Technology Corporation was a Canadian corporation based in Toronto, Ontario specializing in the design and manufacture of equipment for the broadcast television and video post-production industries",0,0
\nLeitch technology's history begins in 1971 when Robert A,0,0
They created the world's first zero SCH sync pulse generator,0,0
" The introduction of this equipment, which simplified the video editing process, represented one of the first digital products introduced into the broadcast market and led to the development of other products --- distribution amplifiers, processing amplifiers, clock systems and test signal generators",0,0
"\nOn October 25, 2005, Leitch was acquired by the broadcast division of the Harris Corporation for the sum of US$450 million, with former Leitch shareholders approving the acquisition by Harris for $14 CAD per share",0,0
"Leitch was famous for developing the Viewguard system (similar in function to VideoCipher I) used by networks such as ABC, Fox, and others for encrypting their analog network feeds",0,0
\nTheir Digital Processing Systems (DPS) product line is still widely used in professional video applications like time base correction and stop-motion animation,0,0
""", 'Vivo Communication Technology Co",0,0
Ltd,0,0
", styled vivo in its logo, is a Chinese technology company headquartered in Dongguan, Guangdong that designs and develops smartphones, smartphone accessories, software and online services",0,0
" The company develops software for its phones, distributed through its V-Appstore, with iManager included in their proprietary, Android-based operating system, Funtouch OS in Global, Origin OS in Mainland China and India",0,0
Vivo is an independent company and develops its own products,0,0
" It has 10,000 employees, with research and development centers in Shenzhen, Guangdong, and Nanjing, Jiangsu",0,0
", ""The technology of computer keyboards includes many elements",0,0
Among the more important of these is the switch technology that they use,0,0
" Computer alphanumeric keyboards typically have 80 to 110 durable switches, generally one for each key",0,0
The choice of switch technology affects key response (the positive feedback that a key has been pressed) and pre-travel (the distance needed to push the key to enter a character reliably),0,0
Virtual keyboards on touch screens have no physical switches and provide audio and haptic feedback instead,0,0
Some newer keyboard models use hybrids of various technologies to achieve greater cost savings or better ergonomics,0,0
\nThe modern keyboard also includes a control processor and indicator lights to provide feedback to the user (and to the central processor) about what state the keyboard is in,0,0
" Plug and play technology means that its 'out of the box' layout can be notified to the system, making the keyboard immediately ready to use without need for further configuration unless the user so desires",0,0
""", 'Low technology (low tech; adjective forms: low-technology, low-tech, lo-tech) is simple technology, opposed to high technology",0,0
" They often refer to a traditional or non-mechanical kind, such as crafts and tools that pre-date the Industrial Revolution",0,1
", 'National Institute of Fashion Technology (NIFT) is an autonomous institute that offers courses in fashion, designing, technology, and management",0,0
" Its head office is located in New Delhi, India",0,0
", 'Sterlite Technologies Limited (Formerly Sterlite Tech) is an Indian multinational technology company, headquartered in Mumbai",0,0
It is listed on Bombay Stock Exchange and National Stock Exchange of India,0,0
It has 582 patents and is active in over 150 countries,0,0
" The company is specialized in optical fiber and cables, hyper-scale network design, and deployment and network software",0,0
"\nSTL has also partnered with other industry entities to design, build and manage such cloud-native software-defined network",0,0
" It also has offices in China, US, SEA, Europe and MEA",0,0
" It has facilities in India, Italy, China and Brazil and two software-development centres",0,0
"It has the first optical fiber cable plant in India to receive zero waste to landfill certification', 'The Academy of Technology or AOT is a self-financed undergraduate engineering college in Adisaptagram, Hooghly, West Bengal, India",0,0
" It was established in 2003 by Ananda Educational Development and Charitable Organisation, a trust",0,0
The college is affiliated with Maulana Abul Kalam Azad University of Technology and all the programmes are approved by the All India Council for Technical Education,0,0
The campus is located along G,0,0
T,0,0
" road at Adisaptagram, Chinsurah, Hooghly",0,0
", 'Andes Technology Corporation is a Taiwanese supplier of 32/64-bit embedded CPU cores and a founding Premier member of RISC-V International Association",0,0
It focuses on the embedded market and delivers CPU cores with integrated development environment and associated software and hardware for SoC development,0,0
Andes is ranked the fifth IP company in the world,0,0
More than 5 billion units of SoC embedded with AndesCore have shipped (2019),0,0
", ""Avid Technology is an American technology and multimedia company based in Burlington, Massachusetts and founded in August 1987 by Bill Warner",0,0
" It specialises in audio and video; specifically, digital non-linear editing (NLE) systems, video editing software, audio editing software, music notation software, management and distribution services",0,0
"\nAvid products are now used in the television and video industry to create television shows, feature films, and commercials",0,0
""", 'Primitive Technology is a YouTube channel run by John Plant",0,0
" Based in Far North Queensland in the Australian state of Queensland, the series demonstrates the process of making tools and buildings using only materials found in the wild",0,0
", ""Imperial College London (legally Imperial College of Science, Technology and Medicine) is a public research university in London",0,0
" In 1907, Imperial College was established by Royal Charter, merging the Royal College of Science, Royal School of Mines, and City and Guilds College",0,0
" In 2004, Queen Elizabeth II opened the Imperial College Business School",0,0
" The college was a member of the University of London from 1908, becoming independent on its centenary in 2007",0,0
" Student, staff, and researcher affiliations include 14 Nobel laureates, 3 Fields Medalists, 2 Breakthrough Prize winners, 1 Turing Award winner, 74 Fellows of the Royal Society, 87 Fellows of the Royal Academy of Engineering, and 85 Fellows of the Academy of Medical Sciences",0,0
""", 'YI Technology, also known as Xiaoyi (Chinese: 小蚁) in Mainland China markets, is a company that manufactures cameras and computer vision technologies",0,0
" Some of the company’s popular camera models include the YI 1080p Home Camera, and the YI Outdoor Security Camera",0,0
" YI Technology was originally backed and branded by Xiaomi, but in October 2016, YI split off from Xiaomi, dropping the ""Xiaomi Yi"" branding",0,0
"\nSince its founding YI Technology has gone on to produce a wide range of indoor and outdoor security cameras and has shipped products to over 186 countries and created the sub-brand ""Kami"" in late 2018",0,0
", ""Powertech Technology Inc",0,0
(PTI; Chinese: 力成科技; 6239,0,0
" TW) is a Taiwanese semiconductor assembly, packaging and testing company",0,0
\nIn 2010 the company entered a strategic alliance with Japan's Elpida Memory and Taiwan's largest chip foundry United Microelectronics Corporation to develop advanced semiconductor packaging technology,0,0
The company is purported to be manufacturing Apple Inc,0,0
s Apple S1 chip for their recently announced Apple Watch,0,0
" The principal approach of BFT is to culture suitable microorganisms along with aquatic species (fish or shellfish) to produce a sustainable system, benefited by the minimum or zero water exchange",0,0
" The technology works on two main background:\n\nwater quality maintenance, by utilisation of toxic nitrogenous compounds to form microbial protein; and\nreduce feed conversion ratio and a decrease overall cost of production",0,0
