verbs,sentences,preds,true
escape,"But in talking with the FBI agent , the man not only denied he 'd killed anyone , he said that he had n't escaped from prison , that the warden had simply told him to leave one day after more than 20 years behind bars ","0000000000000000000000001000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
fill,By the time they reached the Inner Court many were beginning to look bleary - eyed as they wandered through a sea of glass cases filled with everything from Han jugs to Ming wall - scrolls and jades ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000100000000000
00000000000000000000000000000000000000000000"
fill,"And Mr. Karnes , a political unknown selected by GOP Gov. Kay Orr to fill a Senate vacancy created by the death of Edward Zorinsky 18 months ago , is followed by the shadow of his rival wherever he goes ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000010000000000000000000000
00000000000000000000000000000000000000000000"
fill,Agency officials said that it could be weeks before Mr. Meese can announce his choice to fill the deputy attorney general 's spot and that the work of the department 's top budgetary group -- previously headed by the deputy -- has come to a near standstill ,"0000000000000000100000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
fill,"Now , in a suit filed in State Supreme Court in Manhattan , Claiborne alleges that Avon failed to keep an agreement to continue filling orders for the former venture , which had 1987 sales of about $ 27 million ","0000000000000000000000001000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
fill,"'' We believe the person who is working on the line , making our ice cream , filling the pints , is a very important person , '' Mr. Cohen says ","0000000000000000010000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
fill,"'' They say it 's demeaning to the steer , but how would they know that ? '' asks Mr. Souther , who compares it to '' wild - cow milking '' -- an event in which one person tries to calm a wild cow while another tries to fill up a Coke bottle with wild - cow milk ","0000000000000000000000000000000000000
00000000000010000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
fix,"'' If there be any fixed star in our constitutional constellation , '' the court ruled , '' it is that no official , high or petty , can prescribe what shall be orthodox in politics , nationalism , religion , or other matters of opinion . '","0000010000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
fix,"Currently , the company is fixing only 200 to 300 units a day , far below TRW 's goal of 2 , 000 units a day ","0000010000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
fix,"The Founders , however , not only indicated that the monetary unit should be a standard -LRB- that is , somehow fixed -RRB- , but also told us what that standard is by explicitly referring to the '' dollar '' in the Constitution and the Bill of Rights ","0000000000000000000001000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
fly,"In a discussion on board his Air Force jet as he flew to a speech here , Mr. Bush also indicated that he would attempt to have it both ways in budget negotiations with Congress , saying he is willing to negotiate deficit - reduction steps but wo n't want to include new taxes in the negotiations ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000010000000000000000000000000
00000000000000000000000000000000000000000000"
fly,"Ever since President Reagan in February 1986 called for U.S. development of an '' Orient Express , '' a futuristic aircraft that would fly from New York to Tokyo in two hours , MITI 's aerospace mavens have been itching to get Japan into the action ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000010000000000000
00000000000000000000000000000000000000000000"
fly,"Using cameras that shoot up to 44 , 000 pictures a second , and then turning them into slow - motion movies , the Boston photographer has helped customers solve problems with baseball pitchers ' throwing arms , high - speed factory machines , flashlamps that trigger lasers and a wide array of things that explode , fly , break apart or otherwise move too quickly to be seen clearly ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000100000000000000000000000"
fly,"When the chairman of Santa Fe Southern Pacific Corp. flew into town a few months ago in the corporate jet , a small group of trainmen here knew they had struck a raw nerve ","0000000000000000000000000000001000000
00000000000000000000000000000000000000000000","0000000001000000000000000000000000000
00000000000000000000000000000000000000000000"
fly,"During 1987 , America West added 2 , 900 employees , boosted its fleet of aircraft to 69 from 46 and added 11 cities to the 34 it flew to in 1986 ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000100000000
00000000000000000000000000000000000000000000"
fly,"The fare restructuring , aimed at tying prices to mileage flown , apparently will wipe away many of the bargain - basement fares currently available to leisure travelers , and make it likely that those travelers will pay $ 10 to $ 30 more on most fares ","0000000000000010000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
grab,"And they did n't just grab the clothes , they were trained to grab the flesh . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000100000000000000000000000
00000000000000000000000000000000000000000000"
kick,"Among the tantrums he admits : heaving a faulty phone across the control room , kicking in a TV screen to force NBC to buy a new one , and assaulting construction workers who were too noisy during taping ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000001000000000000000000000
00000000000000000000000000000000000000000000"
kill,"A JETLINER CRASHED at Dallas - Fort Worth Airport , killing 13 people ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000100000000000000000000000000
00000000000000000000000000000000000000000000"
kill,The guerrillas claim they killed 35 Angolans and 15 Cubans ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000100000000000000000000000000000000
00000000000000000000000000000000000000000000"
kill,"The parts , which included a tail assembly for the F-104 and a key component of the A-7 's stability system , were critical items , and Navy fliers could have been killed if the parts were used , the prosecutor said ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000010000
00000000000000000000000000000000000000000000"
kill,Lebanese police said at least 17 people were killed and as many as 50 wounded in the house - to - house battles ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000010000000000000000000000000000
00000000000000000000000000000000000000000000"
knock,"-- Last September , 22-year - old Kimberly Isaac of Baton Rouge , La . , was badly scraped over a large part of her body when a 1977 LTD she had just parked in a grocery - store lot backed up , knocking her over and dragging her in circles ","0000000000000000000000000000000000000
00000000001000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
knock,"-- Last September , 22-year - old Kimberly Isaac of Baton Rouge , La . , was badly scraped over a large part of her body when a 1977 LTD she had just parked in a grocery - store lot backed up , knocking her over and dragging her in circles ","0000000000000000000000000000000000000
00000000001000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
knock,I confess I fear word will get out that '' the man in the green house is a soft touch '' -- and that I will soon have several '' Clints '' knocking on my door ,"0000000000000000000100000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
melt,"The SEC suit alleges that the stock , which was unregistered , climbed to as high as $ 17 a share as a result of the claims , which were bolstered when Mr. Brown bought 209 ounces of gold , which was melted into four pieces and displayed to shareholders at an August 1987 meeting ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000100000000000000000000000000000000000000"
melt,"It held open houses for prospective investors at the mine , where large amounts of rock were dug and ground up , filtered and washed , then melted in a furnace and '' poured into what were represented to be precious - metal blocks , shaped like pyramids , '' according to the criminal indictment filed against Mr. Barbara and four others in state court in Las Cruces , N.M ","0000000000000000000000000000000001000
00000000000000000000000000000000000000000000","0000000000000000000000000001000000000
00000000000000000000000000000000000000000000"
melt,"But mindful of Daedalus 's brash son , Icarus , who flew too close to the sun , melted his wings and fell fatally to the sea , they carefully avoid hubris ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000001000000000000000000
00000000000000000000000000000000000000000000"
play,"'' Just girls play with Barbie dolls and just boys play with GI Joe , '' she complains ",0001000000100000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
pour,"Public anger reached its zenith April 30 , 1982 , when angry mobs stopped three taxis bearing margis , dragged them from their cars , bludgeoned and poured acid on them and finally burned them to death ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000001000000000
00000000000000000000000000000000000000000000"
pour,"The report noted that whoever sent the SOS would have had to open a small hatch at the top of the boat in order to extend the radio 's antenna , thereby permitting water to pour in and capsize the craft ","0000000000000000000000000000000000010
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
pump,"The provincial governments of Alberta and Saskatchewan have offered a total of 28.5 million Canadian dollars -LRB- $ 23.2 million -RRB- to assist in well drilling , water pumping and other relief activities ","0000000000000000000000000000100000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
rain,"Gustave de La France , an old farmer who lives deep in the bald mountains near Hinche , says : '' When it rains , the spirits in the rocks are nourished , so the rocks grow larger . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000010000000000000
00000000000000000000000000000000000000000000"
rest,"Look who else is ready and rested over at the Orpheum Theater : Populist Huey Long , assassinated 53 years ago , but livelier than most redfish in this revisionist play , '' The Kingfish , '' about a rustic some called a born leader and others a sleazeball ","0000001000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
roll,"For only $ 4.95 , it advises me to wrinkle up my nose , pucker my lips , grit my teeth -LRB- but not too tightly -RRB- , smile for a while , open my mouth wide , drop my jaw and roll my eyes around to relax ","0000000000000000000000000000000000000
01000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000100000000000000000000000000000000000000"
roll,The suit also charges that Suzuki fraudulently withheld information about alleged design defects that give the Samurai a propensity to roll over in certain abrupt maneuvers ,"0000000000000000000010000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
roll,"When the baby drops a rattle , Mr. Prentnieks scoops it up and puts it in the baby 's fist -- still listening to Mr. Jackson 's speech with his camera rolling ","0000000000000000000000000000000100000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
sleep,'' One night he was walking by at 2 or 3 in the morning -- because he did n't sleep -- and he noticed that one of the palm trees had died ,0000000000000000000100000000000100000000000000000000000000000000000000000000000000,0000000000000000000100000000000000000000000000000000000000000000000000000000000000
sleep,"He then delivered a treatise on hypoxia and decompression sickness , noting that at 16 , 000 to 20 , 000 feet , people '' feel extreme fatigue , a great desire to sleep , severe headache , difficulty in breathing and chest pain , exactly as stated by the Ayat . '","0000000000000000000000000000000001000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
sleep,"Without spoiling too many surprises -- this play never stops surprising you -- I can say that the husband Rachel leaves behind on Christmas Eve will reappear , and so will both of the children who sleep peacefully through her escape ","0000000000000000000000000000000000001
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
sleep,"But the would - be happy warrior has become a disillusioned , despairing survivor : '' Although I was tired to death , I could not sleep , so removing my tin hat and ruffling my hair I stood up and looked over the front of my hole ","0000000000000000000000000010000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
sleep,"To keep the puffed - up style looking puffy , it was advisable to sleep with the hair wrapped in toilet paper and to forget about using shampoo ","0000000000000010000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
sleep,"History slept soundly in Teenie Harris 's stale - smelling brick basement -- 70 , 000 photographic negatives , tucked inside a bunch of old metal cabinets and cobweb - covered cardboard boxes , lost for 50 years ","0100000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
stick,"To use the $ 20 test , dentists stick pieces of paper between the patient 's teeth and gums , then send the paper to BioTechnica for analysis ","0000000010000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
strike,"They claim that colon cancer , which strikes more than 100 , 000 Americans a year , occurs only in people who inherit a particular gene from their parents that predisposes them to the cancer ","0000000100000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
touch,"Why '' wait six weeks and get something you have n't picked up and touched , when you can get something equivalent or better today ? '' she asks ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000010000000000000000000000
00000000000000000000000000000000000000000000"
touch,"When realistic paintings such as these were first viewed , by an educated class surfeited with romanticism and an upcoming middle class newly exposed to museums , they caused such commotion that for the first time in history police were necessary to keep people from touching the pictures ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000100000000000000000000000000000000000"
absorb,"During the past 18 months , the Houston - based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge - podge of different aircraft ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000001000000000000000000000
00000000000000000000000000000000000000000000"
absorb,"In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with '' foreign '' people and exotic merchandise , Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000010000000
00000000000000000000000000000000000000000000"
absorb,Mr. Wyss of Data Resources suggested that factories may be having difficulty hiring new workers at a time of such low unemployment or may simply not be able to absorb as many new workers as they would like ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000010000000
00000000000000000000000000000000000000000000"
absorb,"Management of three of the five highest yielding general purpose funds , as ranked by the Donoghue Organization , absorb a portion of fund expenses ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000100000000000000000
00000000000000000000000000000000000000000000"
absorb,"Meanwhile , Democratic nominee Michael Dukakis -- after a month of absorbing Republican blows on his patriotism and being portrayed as a big taxer -- tried to gain the offensive with an old Democratic chestnut : the Republicans are going to take away your Social Security ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000010000000000000000000000000
00000000000000000000000000000000000000000000"
absorb,"Remics are absorbing the bulk of newly issued mortgage securities as institutional buyers , such as thrifts and insurance companies , prefer the more tailored investment features of structured mortgage securities to the greater payment uncertainties of ordinary pass - throughs issued by Ginnie Mae , Freddie Mac and Fannie Mae ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0010000000000000000000000000000000000
00000000000000000000000000000000000000000000"
absorb,"Robert K. Heady , publisher of Bank Rate Monitor , a North Palm Beach , Fla . , interest rate newsletter , said banks '' did n't jump through hoops to raise savings yields 24 hours after absorbing the news of the Federal discount rate . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
10000000000000000000000000000000000000000000"
absorb,"Some diamond analysts said dealers may find it difficult to absorb De Beers latest price increase , particularly since it followed a 10 % rise in prices in early October ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000100000000000000000000000000
00000000000000000000000000000000000000000000"
absorb,"By 1983 he had become so absorbed in his quest that he resigned as China correspondent for The Wall Street Journal and spent much of the next four years in China visiting relatives , searching libraries and scrabbling through underbrush looking for grave sites ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000001000000000000000000000000000000
00000000000000000000000000000000000000000000"
absorb,"Mr. Jackson has absorbed whatever the press will give him , the useful along with the condescending ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0001000000000000000000000000000000000
00000000000000000000000000000000000000000000"
assault,The bill admits that the key to winning the drug war is assaulting the demand side ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000001000000000000000000000000
00000000000000000000000000000000000000000000"
assault,"For the past 10 years the House Subcommittee on Africa , first under Stephen Solarz -LRB- D . , N.Y. -RRB- and now under Howard Wolpe -LRB- D . , Mich. -RRB- , has annually assaulted White House requests for aid appropriations ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000010
00000000000000000000000000000000000000000000"
attack,"Recriminations already are beginning to fly in Israel as Foreign Minister Shimon Peres , who hopes to be Israel 's next prime minister , attacks the present one for lost opportunities to make peace while Iraq was distracted ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000001000000000000
00000000000000000000000000000000000000000000"
attack,"It 's not enough to attack the ACLU simply by reciting its 10 most eccentric opinions , nor is it enough to defend the ACLU by recalling its occasional defense of unpopular groups and viewpoints ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000010000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"According to a recently unsealed transcript of a closed meeting in Judge Pollack 's chambers with defense attorneys on Sept. 13 , the judge claimed he was being attacked '' professionally '' and threatened to impose sanctions if the lawyers pursued the issue of removing him ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000100000000
00000000000000000000000000000000000000000000"
attack,The drought is spawning an explosion in the spider mite population by harming a plant fungus that attacks the tiny insects ,0000000000001000010000000000000000000000000000000000000000000000000000000000000000,0000000000000000010000000000000000000000000000000000000000000000000000000000000000
attack,"The rate found by the study , which is designed to be definitive and to squelch second guessing , already is being attacked as too low ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000100000000000000
00000000000000000000000000000000000000000000"
attack,"Mr. Schnittke is also a composer of extremes , and in the new Fourth Piano Sonata he has Mr. Feltsman achieving kinetic climaxes at the highest and lowest registers simultaneously , the pianist 's arms widely extended and lunging at the piano like a hawk attacking his prey ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000100000000000000000000000000000000000"
attack,He also attacked a House panel for disclosing at least three pending SEC inquiries ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0010000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"During the debate , when Mr. Chirac derided Mr. Mitterrand for having changed his mind from time to time during a 40-year political career , Mr. Mitterrand , clearly well coached , retorted with some 10-year - old quotations from Mr. Chirac attacking the European Community , which Mr. Chirac now warmly embraces ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000100000000000000000000000000000000000000"
attack,I have dined out long enough on the strength of being attacked from the left by The Wall Street Journal editorial staff -LRB- it long being thought that nothing could exist to the right of that august body -RRB- ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000010000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"In addition , Mr. Joseph said , referring to the subcommittee 's questions about Beatrice , Texstyrene and one other junk - bond issue , by Hanover Petroleum Corp . , '' I do n't think it 's fair at all to attack the firm over two or three instances . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000100000000000000000000000000000000000000"
besiege,"For their part , though , Chicago aldermen have been too busy functioning as art critics to besiege the statehouse in Springfield on behalf of the team , and state legislators have shown more inclination to clown than to move quickly or positively ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000010000000000000000000
00000000000000000000000000000000000000000000"
besiege,"At Russell Field here he is besieged for autographs and his ears are bent relentlessly by people , mostly older ones , who want to share baseball memories ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000001000000000000000000000000000000
00000000000000000000000000000000000000000000"
cool,"A surprisingly strong October employment report , implying that the economy is n't cooling off as fast as many investors had hoped , could force a sharp retreat in stock prices today , he said ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000100000000000000000000000
00000000000000000000000000000000000000000000"
cool,The delay agreed to by the railroad and the United Transportation Union will give Congress a chance to take final action today on a bill reinstating a government - ordered cooling off period in the long - running labor dispute ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000001000000
00000000000000000000000000000000000000000000"
cool,Watson 's rhetoric is purged of offensive racial references and cooled to a sympathetic refrain about the misery of dispossessed country folk forced to sell their youngsters ' lifeblood to money - grubbing factory owners from the North ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000100000000000000000000000000
00000000000000000000000000000000000000000000"
cool,"On the other hand , the potential for the dollar to resume its recent slide if the trade report is disappointing raises the possibility that the Federal Reserve could push interest rates higher , both to boost the dollar and to cool the economy ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00001000000000000000000000000000000000000000"
cool,"Instead , they spend much of their time fighting brush fires , and although Mr. Baker inherits a world in which a number of major crises appear to be cooling off , plenty of hot spots remain ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000010000000
00000000000000000000000000000000000000000000"
cool,"But the latest - quarter results were about flat with the second quarter 's $ 7.2 million , or 17 cents a share , as the rate of new orders cooled a bit from the previous period 's hot pace ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000001000000
00000000000000000000000000000000000000000000"
cool,"Nasdaq indexes -- which he says are overrated as proxies for small - stock performance -- '' did cool off since the end of May , but their superior performance in the beginning of the year was so good , that should n't be any surprise to anyone . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000001000000000000000000
00000000000000000000000000000000000000000000"
destroy,"Mr. Davis openly has a bone to pick with urban renewal , but this hardly seems a prejudice on his part : Urban renewal did in fact come into Fulton and systematically destroyed the old neighborhood , and there was n't anything subtle about it ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000010000
00000000000000000000000000000000000000000000"
destroy,"Claiborne had said in its complaint last month that Avon 's failure to meet its obligation for the Fall and Christmas seasons , which together account for more than 70 % of annual sales for the venture , would '' irreparably harm and likely destroy the business . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000001000000000000000000000000000000000000"
destroy,"Claiborne says in the complaint that Avon 's failure to meet its obligations for the '' crucial 1988 Fall Christmas seasons , which together account for over 70 % of annual sales , '' would '' irreparably harm and likely destroy the business . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00010000000000000000000000000000000000000000"
destroy,"'' The Jew and the bank now dominate everything : Europe and enlightenment , the whole civilization and socialism -- especially socialism , for with its help the Jew will eradicate Christianity and destroy the Christian civilization . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000001000
00000000000000000000000000000000000000000000"
destroy,"'' If Roger had purposely set out to destroy all morale in what was once the most confident and secure company going , he could n't have done a better job , '' Mr. Lee quotes an unnamed GM executive ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000010000000000000000000000000000
00000000000000000000000000000000000000000000"
destroy,"After a recent Barron 's magazine article about the fund 's woes , Kenneth Edlund , a Delmar , N.Y . , investor , groused in a letter to the publication 's editor that for five years he '' watched in disbelief as , during the great secular bull market , David Baker destroyed my young son 's $ 17 , 000 college nest egg . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000001000000000000000000000000000"
destroy,"Mr. Meese of course had good personal reasons for the infernal device he left behind ; Washington 's Democrats have been trying to destroy Ed Meese since the day he arrived in town , for no reason other than that he looked like an easier target than Ronald Reagan ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000010000000000000
00000000000000000000000000000000000000000000"
destroy,"Finally , that act would streamline procedures , allowing states to set or change individual permits without needless EPA review ; EPA to issue targeted requirements rather than comprehensive federal cleanup plans that destroy local initiatives ; and enforcement to become both swifter and fairer through self - executing citations reviewed by expert administrative law judges , not cases pursued in hundreds of backlogged district courts ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000001000
00000000000000000000000000000000000000000000"
destroy,"This objectivity , however , need not destroy the work 's subjectivity , and Mr. Palmer is wrong in asserting that moral - rights advocates '' claim that a work of art is simply an extension of the personality of the artist . '","0000000100000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
die,"Traditions die hard , and the Fed has n't shaken its habit of targeting the real economy -- under the notion that inflation , too much money chasing too few goods , is prevented by curtailing the production of goods ","0100000000000100000000000000000000000
00000000000000000000000000000000000000000000","0100000000000000000000000000000000000
00000000000000000000000000000000000000000000"
die,"A SUMMING UP : Besides rescuing the brokers , the Hong Kong government has had to commit hundreds of millions more in recent years to bail out seven banks , including Hang Lung and Overseas Trust ; though it had no legal obligation to save them , letting them die might have precipitated full - scale panic ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000010000000000000000000000000000000"
dissolve,"But in the intervening years , so much criticism has been poured upon Chamberlain 's failed policies that they have dissolved into caricature ",0000000000010000000010000000000000000000000000000000000000000000000000000000000000,0000000000000000000010000000000000000000000000000000000000000000000000000000000000
dissolve,"Jamie Securities Inc . , once one of Wall Street 's most powerful arbitrage firms , is dissolving because of the continuing legal problems of John A. Mulheren Jr . , its managing partner arrested for allegedly threatening to kill insider trader Ivan F. Boesky ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000010000000000000000000
00000000000000000000000000000000000000000000"
