sentence,prediction
\nEmerging technologies are those technical innovations which represent progressive developments within a field for competitive advantage; converging technologies represent previously distinct fields which are in some way moving towards stronger inter-connection and similar goals,1
" However, the opinion on the degree of the impact, status and economic viability of several emerging and converging technologies varies",1
", 'Nanotechnology, also shortened to nanotech, is the use of matter on an atomic, molecular, and supramolecular scale for industrial purposes",1
" The earliest, widespread description of nanotechnology referred to the particular technological goal of precisely manipulating atoms and molecules for fabrication of macroscale products, also now referred to as molecular nanotechnology",0
" A more generalized description of nanotechnology was subsequently established by the National Nanotechnology Initiative, which defined nanotechnology as the manipulation of matter with at least one dimension sized from 1 to 100 nanometers",0
" This definition reflects the fact that quantum mechanical effects are important at this quantum-realm scale, and so the definition shifted from a particular technological goal to a research category inclusive of all types of research and technologies that deal with the special properties of matter which occur below the given size threshold",1
" It is therefore common to see the plural form ""nanotechnologies"" as well as ""nanoscale technologies"" to refer to the broad range of research and applications whose common trait is size",1
"\nNanotechnology as defined by size is naturally broad, including fields of science as diverse as surface science, organic chemistry, molecular biology, semiconductor physics, energy storage, engineering, microfabrication, and molecular engineering",1
"  The associated research and applications are equally diverse, ranging from extensions of conventional device physics to completely new approaches based upon molecular self-assembly, from developing new materials with dimensions on the nanoscale to direct control of matter on the atomic scale",1
\nScientists currently debate the future implications of nanotechnology,1
" Nanotechnology may be able to create many new materials and devices with a vast range of applications, such as in nanomedicine, nanoelectronics, biomaterials energy production, and consumer products",0
" On the other hand, nanotechnology raises many of the same issues as any new technology, including concerns about the toxicity and environmental impact of nanomaterials, and their potential effects on global economics, as well as speculation about various doomsday scenarios",1
These concerns have led to a debate among advocacy groups and governments on whether special regulation of nanotechnology is warranted,1
", 'ON Technology was a software company in the United States",0
It was formed in 1987  by Mitch Kapor after his departure from Lotus Software,0
The original plan of the business was to build an object-oriented PC desktop environment providing a variety of applications,0
"  In (roughly) the early 1990s, the company was acquired by Notework Corporation, a vendor of LAN email systems",1
" The management of the merged company was the Notework Corporation management, but the company retained the ON Technology name (which management perceived had more cache/brand",1
")Subsequently, ON Technology performed a series of small product/company acquisitions to grow its product line, including additional email software (DaVinci, a message handling system-based email product), anti-virus technology, (corporate) Internet usage monitoring, IP firewall, and desktop systems management",1
"The company went public in (approximately) 1995, providing an additional structural method to perform most of the acquisitions providing the products listed above",1
"\nThe company was unique in its go-to-market model, using a 30-day free trial model coupled with significant marketing and telesales to reach a large number of small- to medium-sized customers",1
"\nIn 1998, the company restructured its operations and sold off its ""free-trial"" small/medium business products to Elron Software",1
" It retained ""enterprise-sized"" products (the MeetingMaker calendaring product and the ON Command CCM desktop systems management product) which it sold using a more traditional enterprise software business model",1
"ON spun out the Meeting Maker product in a private transaction to a private investor, who eventually sold the technology to PeopleCube",1
" The only remaining technology at this point was the systems management software, branded ""CCM"" at that time",1
"\nON was acquired by Symantec on October 27, 2003",0
to assist Symantec\'s move into the desktop systems management business,1
"\n\n\n== References ==', 'TCL Technology (originally an abbreviation for Telephone Communication Limited) is a Chinese multinational electronics company headquartered in Huizhou, Guangdong Province",0
" Founded as a state-owned enterprise, it designs, develops, manufactures and sells products including television sets, mobile phones, air conditioners, washing machines, refrigerators and small electrical appliances",0
" In 2010, it was the world\'s 25th-largest consumer electronics producer",0
" Since 2015, it remains the third-largest television manufacturer by market share",1
"TCL comprises four listed companies: TCL Technology which is listed on the Shenzhen Stock Exchange, and TCL Electronics Holdings, Ltd",0
" (SEHK: 1070), TCL Communication Technology Holdings, Ltd",0
"(former code SEHK: 2618; delisted in 2016), China Display Optoelectronics Technology Holdings Ltd",0
(SEHK: 334) and Tonly Electronics Holdings Ltd,0
(SEHK: 1249) which are listed on the Hong Kong Stock Exchange,0
"TCL\'s corporate slogan is ""The Creative Life""",1
"On 7 February 2020, TCL Corporation changed its name to TCL Technology",0
"So far, TCL Technology has formed a business structure based on three major sectors: semiconductor display, semiconductor and semiconductor photovoltaic, industrial finance and capital",1
", ""BOE Technology Group Co",0
", Ltd",0
", or Jingdongfang (Chinese: 京东方科技集团股份有限公司), is a Chinese electronic components producer founded in April 1993",0
" Its core businesses are interface devices, smart IoT systems and smart medicine and engineering integration",0
" BOE is one of the world's largest manufacturers of LCD, OLEDs and flexible displays",0
""", 'Stealth technology, also termed low observable technology (LO technology), is a sub-discipline of military tactics and passive and active electronic countermeasures, which covers a range of methods used to make personnel, aircraft, ships, submarines, missiles, satellites, and ground vehicles less visible (ideally invisible) to radar, infrared, sonar and other detection methods",1
It corresponds to military camouflage for these parts of the electromagnetic spectrum (i,0
e,0
", multi-spectral camouflage)",0
"\nDevelopment of modern stealth technologies in the United States began in 1958, where earlier attempts to prevent radar tracking of its U-2 spy planes during the Cold War by the Soviet Union had been unsuccessful",1
Designers turned to developing a specific shape for planes that tended to reduce detection by redirecting electromagnetic radiation waves from radars,1
Radiation-absorbent material was also tested and made to reduce or block radar signals that reflect off the surfaces of aircraft,0
" Such changes to shape and surface composition comprise stealth technology as currently used on the Northrop Grumman B-2 Spirit ""Stealth Bomber""",0
The concept of stealth is to operate or hide while giving enemy forces no indication as to the presence of friendly forces,1
This concept was first explored through camouflage to make an object\'s appearance blend into the visual background,0
" As the potency of detection and interception technologies (radar, infrared search and tracking, surface-to-air missiles, etc",0
") have increased, so too has the extent to which the design and operation of military personnel and vehicles have been affected in response",1
Some military uniforms are treated with chemicals to reduce their infrared signature,0
A modern stealth vehicle is designed from the outset to have a chosen spectral signature,1
The degree of stealth embodied in a given design is chosen according to the projected threats of detection,1
", 'Regulatory technology, Abrv: regtech, is a new technology that uses information technology to enhance regulatory processes",1
" With its main application in the Financial sector, it is expanding into any regulated business with a particular appeal for the Consumer Goods Industry",1
"  Often regarded as a subcategory under FinTech, RegTech puts a particular emphasis on regulatory monitoring, reporting and compliance and is thus benefiting the finance industry",1
" The objective of RegTech is to enhance transparency as well as consistency and to standardize regulatory processes, to deliver sound interpretations of ambiguous regulations and thus to provide higher levels of quality at lower cost",1
"RegTech to date has been focused on the digitization of manual reporting and compliance processes, for example in the context of Know your customer requirements",1
This offers significant cost savings to the financial services industry and regulators,1
" However, a 2016 academic paper suggested that the potential of RegTech is far greater stating that ""it has the potential to enable a close to real-time and proportionate regulatory regime that identifies and addresses risk while also facilitating far more efficient regulatory compliance""",1
The report goes on to suggest that RegTech\'s transformative potential will only be fully captured by a new and different regulatory framework situated at the nexus of data and digital identity,1
" The developments in FinTech, the tremendous changes in emerging markets, and the recent pro-active stance of regulators (for instance with the development of regulatory sandboxes), may potentially combine to facilitate a transition from one regulatory model to another",1
", 'Tyler Technologies, Inc",0
", based in Plano, Texas, is the largest provider of software to the United States public sector",1
" Tyler Technologies has offices in 17 states and one in Toronto, Ontario, Canada",0
", 'Anna University is a public state university located in Tamil Nadu, India",0
The main campus is in Chennai,0
It was originally established on 4 September 1978 and was named after C,0
N,0
" Annadurai, the former Chief Minister of Tamil Nadu",0
" After taking many different forms over the years, as per a September 2020 bill passed in the Tamil Nadu Legislative assembly, the varsity is now reconstituted to be an affiliating university for engineering colleges across Tamil Nadu excluding the engineering colleges that are part of Anna Technological and Research University",0
The University is now the affiliating authority for close to 550 engineering colleges in Tamil Nadu,0
", ""Property technology (also known as PropTech, prop-tech, and real estate technology) is the application of information technology and platform economics to real estate markets",1
"Some goals of real estate technology include reducing paperwork as well as making transactions quicker, more efficient, and more secure",1
" Real estate is the world's largest asset class, so real estate technology is often thought of as overlapping with financial technology",1
" Contemporary digital real estate technologies could therefore include property management using digital dashboards, smart home technology, research and analytics, listing services/tech-enabled brokerages, mobile applications, residential and commercial lending, 3D-modeling for online portals, automation, crowdfunding real estate projects, shared spaces management, as well as organizing, analyzing, and extracting key data from lengthy rental documents",0
""", 'Science, technology, engineering, and mathematics (STEM) is a broad term used to group together these academic disciplines",1
This term is typically used to address an education policy or curriculum choices in schools,1
" It has implications for workforce development, national security concerns and immigration policy",1
" The science in STEM typically refers to two out of the three major branches of science: natural sciences, including biology, physics, and chemistry; and formal sciences, of which mathematics is an example, along with logic and statistics",1
" The third major branch of science, social science such as: psychology, sociology, and political science, are categorized separately from the other two branches of science, and are instead grouped together with humanities and arts to form another counterpart acronym named HASS (Humanities, Arts, and Social Sciences), rebranded in the UK in 2020 as SHAPE",1
", 'Media technology may refer to:\n\nData storage devices\nArt media technology – Category:Visual arts media\nPrint media technology – Category:Printing\nDigital media technology – Category:Digital media\nElectronic media technology – Category:Digital media or Category:Electronic publishing\nMedia technology university programmes\nMedia psychology, the field of study that examines media, technology and the effect on human behavior', 'Appropriate technology is a movement (and its manifestations) encompassing technological choice and application that is small-scale, affordable by locals, decentralized, labor-intensive, energy-efficient, environmentally sound, and locally autonomous",0
" It was originally articulated as intermediate technology by the economist Ernst Friedrich ""Fritz"" Schumacher in his work Small Is Beautiful",1
Both Schumacher and many modern-day proponents of appropriate technology also emphasize the technology as people-centered,1
Appropriate technology has been used to address issues in a wide range of fields,1
" Well-known examples of appropriate technology applications include: bike- and hand-powered water pumps (and other self-powered equipment), the universal nut sheller, self-contained solar lamps and streetlights, and passive solar building designs",0
" Today appropriate technology is often developed using open source principles, which have led to open-source appropriate technology (OSAT) and thus many of the plans of the technology can be freely found on the Internet",0
OSAT has been proposed as a new model of enabling innovation for sustainable development,1
Appropriate technology is most commonly discussed in its relationship to economic development and as an alternative to technology transfer of more capital-intensive technology from industrialized nations to developing countries,1
" However, appropriate technology movements can be found in both developing and developed countries",1
" In developed countries, the appropriate technology movement grew out of the energy crisis of the 1970s and focuses mainly on environmental and sustainability issues",1
" Today the idea is multifaceted; in some contexts, appropriate technology can be described as the simplest level of technology that can achieve the intended purpose, whereas in others, it can refer to engineering that takes adequate consideration of social and environmental ramifications",1
The facets are connected through robustness and sustainable living,1
", ""ETH Zürich (English: ETH; Swiss Federal Institute of Technology in Zürich; German: Eidgenössische Technische Hochschule Zürich) is a public research university in the city of Zürich, Switzerland",0
" Founded by the Swiss Federal Government in 1854 with the stated mission to educate engineers and scientists, the school focuses exclusively on science, technology, engineering, and mathematics",0
" Like its sister institution EPFL, it is part of the Swiss Federal Institutes of Technology Domain, part of the Swiss Federal Department of Economic Affairs, Education and Research",0
"In the 2021 edition of QS World University Rankings, ETH Zurich was ranked 6th in the world, placing it as the second-best European university after the University of Oxford",0
" In the 2020 QS World University Rankings by subject, it ranked 4th in the world for engineering and technology (2nd in Europe) and 1st for earth and marine science",0
" Also, ETH was rated 8th in the world in the Times Higher Education World University Rankings of 2020",1
"\nThe university is an attractive destination for international students thanks to low tuition fees of 730 CHF per semester, PhD and graduate salaries that are amongst the world's highest, and a world-class reputation in academia and industry",1
" There are currently 22,200 students from over 120 countries, of which 4,180 are pursuing doctoral degrees",0
"As of November 2019, 21 Nobel laureates, 2 Fields Medalists, 2 Pritzker Prize winners, and 1 Turing Award winner have been affiliated with the Institute, including Albert Einstein",0
Other notable alumni include John von Neumann and Santiago Calatrava,0
" It is a founding member of the IDEA League and the International Alliance of Research Universities (IARU), and a member of the CESAER network",0
""", 'Maulana Abul Kalam Azad University of Technology (MAKAUT), formerly known as West Bengal University of Technology (WBUT), is a public state university located in Kalyani, West Bengal, India and funded completely by the Government of West Bengal",0
It was established in 2001 by an Act of West Bengal legislature,0
The university provides management and engineering degrees through affiliated colleges and in-house departments,0
", 'Boom Technology, Inc",0
(trade name Boom Supersonic) is an American company designing a Mach 1,0
"7 (1,000 kn; 1,800 km/h), 55-passenger supersonic airliner",0
" Named the Boom Overture, the airliner is planned to have a range of 4,250 nmi (7,870 km) and to be introduced in 2030",0
" \nAfter being incubated by Y Combinator in 2016, Boom Technology raised $51 million of venture capital in 2017, and $100 million by January 2019",1
The Boom XB-1 Baby Boom one-third-scale demonstrator is expected to begin flight testing in 2021,0
", 'Technology management is a set of management disciplines that allows organizations to manage their technological fundamentals to create customer advantage",1
" Typical concepts used in technology management are:\n\nTechnology strategy (a logic or role of technology in organization),\nTechnology forecasting (identification of possible relevant technologies for the organization, possibly through technology scouting),\nTechnology roadmap (mapping technologies to business and market needs), and\nTechnology project portfolio (a set of projects under development) and technology portfolio (a set of technologies in use)",1
The role of the technology management function in an organization is to understand the value of certain technology for the organization,1
Continuous development of technology is valuable as long as there is a value for the customer and therefore the technology management function in an organization should be able to argue when to invest on technology development and when to withdraw,1
", 'An IT Specialist, computer professional, or an IT professional may be:\n\na person working in the field of information technology;\na person who has undergone training in a computer-field-related colleges, universities and computer institutes; or\na person who has proven extensive knowledge in the area of computing",0
", 'Financial technology (abbreviated fintech or FinTech) is the technology and innovation that aims to compete with traditional financial methods in the delivery of financial services",1
It is an emerging industry that uses technology to improve activities in finance,1
" The use of smartphones for mobile banking, investing, borrowing services, and cryptocurrency are examples of technologies aiming to make financial services more accessible to the general public",1
Financial technology companies consist of both startups and established financial institutions and technology companies trying to replace or enhance the usage of financial services provided by existing financial companies,1
", 'The Doctor of Technology (abbreviated variously in different countries) is a degree normally conferred upon candidates after having completed a course of study in technology and a project of lengthy duration in a technologically related field",1
" Like other doctorates, it is usually an academic degree at the highest level; the degree may rank below, alongside, or above the Ph",1
D,0
depending on the specifics of the national system within which it is awarded,1
"\nWhile the details of the degree vary, a doctor of technology program usually enables graduates to obtain an advanced level of knowledge in specialist fields and aims to produce graduates capable of advancing knowledge within their industry",1
" The degree focuses on developing practical solutions in the workplace, critical analysis, synthesis, and innovation",1
", 'In strategy games, a technology, tech, or research tree is a hierarchical visual representation of the possible sequences of upgrades a player can take (most often through the act of research)",1
" Because these trees are technically directed and acyclic, they can more accurately be described as a technology directed acyclic graph",0
" The diagram is tree-shaped in the sense that it branches between each \'level\', allowing the player to choose one sequence or another",0
Each level is called a tier and is often used to describe the technological strength of a player,1
" Typically, at the beginning of a session of a strategy game, a player will start at tier 1, and will only have a few options for technologies to research",1
" Each technology that a player researches will open up one or more new options, but may or may not, depending on the computer game, close off the paths to other options",1
" The tech tree is the representation of all possible paths of research a player can take, up to the culmination of said sequence",1
"\nA player who is engaged in research activities is said to be ""teching up"", ""going up the tech tree"", or ""moving up the tech tree""",0
Analysis of a tech tree can lead players to memorize and use specific build orders,1
", 'Military technology is the application of technology for use in warfare",1
" It comprises the kinds of technology that are distinctly military in nature and not civilian in application, usually because they lack useful or legal civilian applications, or are dangerous to use without appropriate military training",1
"\nThe line is porous; military inventions have been brought into civilian use throughout history, with sometimes minor modification if any, and civilian innovations have similarly been put to military use",1
\nMilitary technology is often researched and developed by scientists and engineers specifically for use in battle by the armed forces,0
Many new technologies came as a result of the military funding of science,1
"\nArmament engineering is the design, development, testing and lifecycle management of military weapons and systems",0
" It draws on the knowledge of several traditional engineering disciplines, including mechanical engineering, electrical engineering, mechatronics, electro-optics, aerospace engineering, materials engineering, and chemical engineering",0
", 'Information and communications technology (ICT) is an extensional term for information technology (IT) that stresses the role of unified communications and the integration of telecommunications (telephone lines and wireless signals) and computers as per IFGICT, as well as necessary enterprise software, middleware, storage and audiovisual, that enable users to access, store, transmit, understand and manipulate information as per the international federation of ICT",0
The term ICT is also used to refer to the convergence of audiovisual and telephone networks with computer networks through a single cabling or link system,0
" There are large economic incentives to merge the telephone network with the computer network system using a single unified system of cabling, signal distribution, and management",1
" ICT is an umbrella term that includes any communication device, encompassing radio, television, cell phones, computer and network hardware, satellite systems and so on, as well as the various services and appliances with them such as video conferencing and distance learning",0
ICT is a broad subject and the concepts are evolving,1
" It covers any product that will store, retrieve, manipulate, transmit, or receive information electronically in a digital form (e",0
g,0
", personal computers including smartphones, digital television, email, or robots)",0
Theoretical differences between interpersonal-communication technologies and mass-communication technologies have been identified by the philosopher Piyush Mathur,1
Skills Framework for the Information Age is one of many models for describing and managing competencies for ICT professionals for the 21st century,1
", 'Design and technology (D&T) is a school subject offered at all levels of primary and secondary school in England",0
" It is used so children develop a range of designing skills and technology skills for example, using media to design their project and a saw to cut items",0
" It first appeared as a titled subject in the first National Curriculum of England, Wales and Northern Ireland in 1988",0
" D&T, or a similar form, has been taught in many countries around the world such as India, United States, Australia, New Zealand, Ireland, Malta, China, South Africa, France and Finland",0
Many international schools teach design and technology,0
As a school subject it involves students in designing in a practical context using a range or materials and media,0
" It is also a university course in many countries, including Australia, Canada, the US, Singapore, South Africa, Netherlands and New Zealand, both for the preparation of teachers and for general education in areas such as industrial design",0
" Some of the UK universities which deliver courses include: Brighton, Sheffield Hallam, Goldsmiths, University of London and Greenwich",0
", 'Persuasive technology is broadly defined as technology that is designed to change attitudes or behaviors of the users through persuasion and social influence, but not necessarily through coercion",1
" Such technologies are regularly used in sales, diplomacy, politics, religion, military training, public health, and management, and may potentially be used in any area of human-human or human-computer interaction",1
" Most self-identified persuasive technology research focuses on interactive, computational technologies, including desktop computers, Internet services, video games, and mobile devices, but this incorporates and builds on the results, theories, and methods of experimental psychology, rhetoric, and human-computer interaction",1
The design of persuasive technologies can be seen as a particular case of design with intent,1
", 'Microchip  Technology Inc",0
" is a publicly-listed American corporation that manufactures microcontroller, mixed-signal, analog and Flash-IP integrated circuits",0
" Its products include microcontrollers (PIC, dsPIC, AVR and SAM), Serial EEPROM devices, Serial SRAM devices, embedded security devices, radio frequency (RF) devices, thermal, power and battery management analog devices, as well as linear, interface and wireless products",0
"\nIts corporate headquarters is located in Chandler, Arizona",0
" Its wafer fabs are located in Tempe, Arizona, Gresham, Oregon, and Colorado Springs, Colorado",0
"  Its assembly/test facilities are in Chachoengsao, Thailand, and Calamba and Cabuyao, Philippines",0
" Sales for the fiscal year ending on March 31, 2019 were $5",1
35 billion,0
"Microchip Technology offers support and resources to educators, researchers and students in an effort to increase awareness and knowledge of embedded applications",1
" Support includes access to labs, curricula and course materials, One-on-one consultations, online resources (e",0
g,0
", code examples, textbook recommendations), training at regional training centers, silicon donations, assistance finding low cost development tools, free versions of Microchip programming tools and product discounts",0
", 'A mature technology is a technology that has been in use for long enough that most of its initial faults and inherent problems have been removed or reduced by further development",1
" In some contexts, it may also refer to technology that has not seen widespread use, but whose scientific background is well understood",1
Its performance characteristics are also expected to be well understood with well-established design specifications,1
One of the key indicators of a mature technology is the ease of use for both non-experts and professionals,1
" Another indicator is a reduction in the rate of new breakthrough advances related to it—whereas inventions related to a (popular) immature technology are usually rapid and diverse, and may change the whole use paradigm—advances to a mature technology are usually incremental improvements only",1
", 'Future technology-related topics include:\n\nEmerging technologies, technologies that are perceived as capable of changing the status quo\nHypothetical technology, technology that does not exist yet, but that could exist in the future\nFutures studies (also called futurology), the study of postulating possible, probable, and preferable futures and the worldviews and myths that underlie them\nTechnology forecasting, attempts to predict the future characteristics of useful technological machines, procedures or techniques', 'Shenzhen Changhong Technology Co",1
", Ltd",0
" is a Chinese plastic parts and injection mold-maker, which was listed on the Shenzhen Stock Exchange ChiNext board on 22 December 2010 using stock code SZSE: 300151 with CN¥100,500,000 registered capital",0
It was one of three companies to be listed on that day (along with IREAL and QHT) and one of 117 firms to be listed that year,0
"\nThe ""CHT Group"" has subsidiaries in Shenzhen, Shanghai, Heyuan, Anhui, and Hong Kong with their headquarters in Pingshan New District, Shenzhen, Guangdong, China",0
\nMajor customers include Konica Minolta Inc,0
