sentence,correct_label,label
"Simplemente destaquemos tres cosas: mientras que el padrón electoral tuvo un crecimiento -de 1994 al 2006- de 26 millones, el número de votantes solamente creció en 6 millones, es decir solamente el 23 por ciento de los mexicanos que se  al  desde 94 votaron en el 2006.",0,0
"En tal sentido, los elementos que privaron temporalmente de su libertad al quejoso no tenían fundamento para  acto de autoridad que en consecuencia se consideró una arbitrariedad, transgresora de lo dispuesto por el artículo 16 de la  Política de los Estados Unidos Mexicanos así como por los artículos XXV de la Declaración Americana de los Derechos y Deberes del Hombre, 9.1 del Pacto Internacional de Derechos Civiles y Políticos, y 7 de la Convención Americana Sobre Derechos Humanos, por lo que se dictó la recomendación correspondiente.",0,0
"No se que pega poneis a Rajoy en su política de oposición, parece que queris que sea  grosero y maleducado como Pepiño y que se tiere a la yugular del  como si fuera un cafre.",0,0
"Así, este  va a  la actual estructura de los mercados, es decir, el dominio de los monopolios, debilitando al resto de empresas.",1,1
"En el ínter el Gobierno ha omitido asuntos de la mayor trascendencia en materia de seguridad pública y justicia, a saber, la unificación de la legislación penal (manoseada y no impulsada a fondo hacia nuevos espacios de superación), la ampliación del arbitrio judicial, la instauración del perdón judicial, la revisión a fondo del desorganizado Título Cuarto de la Constitución sobre las Responsabilidades de los Servidores Públicos y Patrimonial del Estado, que ha desdeñado el  autor de las  constitucionales a que me vengo refiriendo.",0,0
"""Las innovaciones en la actividad docente, con el fin de mejorar la educación, implican tomar como punto de partida el análisis del proceso enseñanza-aprendizaje"",1 lo que nos llevará a comprender, no sólo la significación que tiene el uso de este método, o el empleo de aquella técnica, sino también, dejará entrever la forma cómo el profesor considera su práctica escolar: cómo  la  del niño, cómo respeta su desarrollo evolutivo, cómo lo anima a construir su aprendizaje; pues son las acciones las que en menor o mayor medida reflejan nuestros pensamientos.",0,0
"Los obstáculos que nuestro más reciente intento democrático enfrenta, y que podrían provocar nuevamente su fracaso, en parte se deben a nuestra incapacidad de reconocer que no hemos elegido el modelo más adecuado para  la .",1,1
"Contribuir al desarrollo , social y cultural de la región Noroeste del  y de México, a través de la formación de profesionistas emprendedores e innovadores de tecnología con excelencia académica.",0,0
3.12.2  de  de ingresos por:,1,1
"La cantidad de concentrado inyectado es  proporcional al  de agua que entra al dosificador, esta proporción se mantiene constante a pesar de las variaciones del caudal o de la presión que ocurran en la línea principal.",0,0
"Presencia Ciudadana está promoviendo dos iniciativas para que en la coyuntura de las campañas a la Presidencia de la República y a la Jefatura del  del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de vecinos, etc.) tengamos una incidencia real en las propuestas electorales, en los programas de gobierno y en las políticas  de los dos niveles de gobierno.",0,0
"El “nacimiento de Tulum como municipio desde su inicio ha sufrido, y sigue sufriendo una manipulación total por parte del  priista estatal que nos .",0,0
"‘Te pedimos que reces con nosotros por los chicos que  , explotación y guerra, que Dios ilumine el corazón de los responsables de las naciones para que impulsen un comercio justo y respetuoso de las personas’, sostuvo.",1,1
"La delegación mexicana manifestó que es ineludible contar con la representatividad necesaria para construir un instrumento democrático que incluya la  de fuerzas políticas en los  nacionales, y expresó que México tiene total confianza en que los resultados de las negociaciones del Parlamento Europeo para ampliar el número de miembros serán satisfactorios.",1,1
"El  inferior: Si no deja espacio en blanco y  la escritura hasta el final del papel, la persona que escribe se siente muy indentificada con lo que dice en la carta, quizás sea espontáneo y sincero.",0,0
"sola sala o las dos, no ha sido posible o no tienen el formato siempre algo falla, pero no se tiene, esos modelos que aquí plantean que son viables pero no esta la infraestructura, y porque  ese  que tenemos?",1,1
"Se tiene, dijo, la responsabilidad pública para que la política social del Estado mexicano no decaiga, así como hacerle frente al problema principal del país que es la desigualdad y sus  de , marginación e inequidad.",1,1
"La historia se inicia tras la declaración de bancarrota de la firma promovida por el Grupo Minera México hace tres años, es decir seis después de la adquisición, bajo el alegato de que las multas que le había  la  por violaciones ambientales superaban al valor de sus activos, además de acumular graves pérdidas por una larga huelga de cuatro meses.",0,0
"También encontramos el plan de “alivio impositivo para las personas de clase media”,  uno de los frentes de esta propuesta, busca  los  de  150 millones de trabajadores, de los cuales 14 millones son hispanos, a 500 dólares por persona y eximir a 10 millones de empleados con los menores ingresos del recaudo tributario.",1,1
"Con detalle, el jefe de la nación explicó que se  todos los  al trigo, arroz, maíz blanco y amarillo, frijol, sorgo y pasta de soya, y se reduce en 50 por ciento el arancel a la leche en polvo.",1,1
El tema de la cumbre de Mar del Plata es “Crear trabajo para  la  y fortalecer la gobernabilidad democrática”.,1,1
"El Partido Laborista que  el Reino Unido pierde  en la jornada de elecciones municipales, realizada ayer, para renovar más de cuatro mil escaños de 159 concejos locales.",0,0
"La   un crimen social en México: Moreira El presidente electo del PRI nacional, Humberto Moreira, dijo que el país vive una situación crítica debido a la pobreza.",0,0
"* Es quizás más afortunado disfrutar coleccionando caracolas que el haber nacido millonario. (Robert Louis Stevenson) * Pocos hombres ricos poseen sus propiedades; son sus propiedades las que les poseen a ellos. (Robert G. Ingersoll) * Los hijos de ricos raramente son padres de ricos. (Herbert Kaufman) * La libertad  riqueza, y la riqueza destruye la libertad. (Henry D. Lloyd) * Quiero ser  pero no quiero hacer lo que hay que hacer para ser rica. (Gertrude Stein) * El hombre es el único animal que cuanto más tiene, más quiere, el único animal que nunca está satisfecho. (Henry George)",0,0
"En términos generales, los abordajes han tomado dos rumbos: o bien la opción ha sido  la  como una lógica de la acción social, o bien como mecanismo institucional para la instauración de un régimen de gobierno.",0,0
"Marisol Córdoba | Publicado el Jueves, 20 de Junio de 2013 22:19 El pleno del Consejo General del Instituto Electoral del Estado (IEE)  por unanimidad  al consejero , Armando Guerrero Ramírez, por  lo que desechó por infundada la solicitud de remoción hecha por la coalición PRI-PVEM en su contra por considerar que puso en peligro la legitimidad del organismo electoral ante su idea de transferir votos de un candidato a otro. De la misma manera desecharon la queja contra la consejera Olga Lazcano, que también fue puesto por el PRI acusándola de parcialidad.",0,0
"La Sección de Cafetería proporcionó 302,400 comidas y 103,500 almuerzos, lo cual   por $3,967,517.55 y egresos por $5,085,711.83.",0,0
"Por Samuel Hadas, diplomático, primer embajador de Israel en España y ante la Santa Sede (LA VANGUARDIA, 30/11/08): Los trágicos acontecimientos de Bombay, el  de la mayor  del mundo, uno de los más sensibles...",1,1
"Por último, Aguilera Ortíz informó que en su visita, el Dirigente Nacional de Convergencia le tomará protesta a Agapito Arellano Ponce como Presidente del Consejo Consultivo de Querétaro, órgano encargado de recolectar propuestas ciudadanas para la  de , de cara a las siguientes elecciones.",0,1
"Y respondió: ""En democracia, el consenso electoral, el principio de la mayoría, es importante, sí, pero no fundamental en el sentido etimológico de la palabra, no está en el  de la .",1,1
"Como atrapados en la fuente misma de su desarraigado desdén, en la  de su .",1,1
"Alberto Cárdenas Jiménez, Gobernador Constitucional del Estado de Jalisco,  al Congreso del Estado, en sesión solemne, su segundo informe de .",0,0
"Sólo una  en libertad, sin  ni censuras, sin penetraciones foráneas que minen y destruyan todo germen de sentimiento nacional, será la garantía para que seamos artífices de nuestro futuro.”",1,1
"Por último, Aguilera Ortíz informó que en su visita, el Dirigente Nacional de Convergencia le tomará protesta a Agapito Arellano Ponce como Presidente del Consejo Consultivo de Querétaro, órgano encargado de recolectar propuestas ciudadanas para la  de , de cara a las siguientes elecciones.",1,1
Se deslindan empresarios del ‘Comando Ciudadano’ Abandonan 30 mil al PT; se integran al Sol Azteca Vendrán días de mayor violencia: Antonio Garza ‘Estamos jugando a trabajar’ No cesa de ola de violencia en Chihuahua Sección: Internacional Denuncia ONU  de  en Darfur Desafió EU orden al ejecutar a mexicano Retira Israel sus tropas de Gaza Se apagaron las turbinas del avión que cayó en NY Detienen a rebelde de FARC herida que dice ser venezolana La Vuelta al Mundo en 80 líneas,1,1
"Especialmente en la sociedad de consumo, la escuela ha llegado a ser una industria, el diploma un producto, la enseñanza con sus empleados y empleadores, el mercado más grande de empleo, mercado detrás del cual se maneja una  .",1,1
"""La educación no sólo es la  de la  y el rezago, sino la entrada a un mundo de democracia, libertad, cultura de la paz, respeto y tolerancia"", dijo la secretaria de Educación Pública, Josefina Vázquez Mota, al encabezar el inicio de los trabajos del Diplomado para la formación de profesores con miras a impartir las asignaturas de Civismo y Ética en las escuelas primarias de todo el país.",0,0
Este  de teorías solo podrían convencer a alguien que vaya a  por primera vez el año que viene.,0,0
"Las peculiares características de nuestra prolongada y  transición a la  se debe, sin lugar a dudas, a la existencia del Partido Revolucionario Institucional.",1,1
La  de la : ¿nuevo objetivo de la cooperación?,1,1
¿O la persona que se tiene que hacer cargo de los  del  clandestino: la mujer.,1,1
"Los partidos de oposición plantearon hacer modificaciones al dictamen de la comisión de Gobernación y Puntos Constitucionales, pero fueron rechazados por la mayoría priísta, como fue la del PAN para que los nuevos consejeros del IEPC  haber  en la elección inmediata anterior.",0,0
"I- El responsable del asunto efectúa una presentación en los términos de la Resolución General N° 1.948, mediante la cual consulta acerca del  en los  y a las ganancias, de los servicios que prestará a una compañía constituida en el exterior, relacionados con la negociación de productos en el mercado internacional de commodities.",1,1
"Mejorar la coherencia a todos los niveles en la formulación de políticas globales para el  económico sostenible y la reducción de la , incluida la contribución de los enfoques regionales;",0,0
"Con la acreditación por parte de la Entidad Mexicana de Acreditación (EMA) por un periodo de cuatro años a partir del 18 de diciembre de 2007, con base en la norma 17025 2006, el Laboratorio de Control Ambiental del Instituto de Ciencias de la Benemérita Universidad Autónoma de Puebla () está facultado para brindar servicios externos de alta calidad a diversos laboratorios e instancias de  que lo soliciten, informó Teresita Jiménez Salgado, responsable del laboratorio.",0,0
"Como dijo el erudito Edward O. Wilson: “Se puede decir que en cada país se tienen tres  de : material, cultural y biológica.",1,1
"La editorial, que ya ha hecho una importante   a la organización más importante del mundo en lo que concierne a la defensa de los derechos de la infancia, planea además subastar un artículo personal de Paulo Coelho.",1,1
"“No se aceptará la imposición del priísta Enrique Peña Nieto,  del  fraudulento, porque permitirlo implicaría que recurrirán a esos métodos de aquí en adelante y otros 6 años de privatizaciones y políticas de hambre” señaló la diputada local electa Casilda Ruiz Agustín.",1,1
"* Es quizás más afortunado disfrutar coleccionando caracolas que el haber nacido millonario. (Robert Louis Stevenson) * Pocos hombres ricos poseen sus propiedades; son sus propiedades las que les poseen a ellos. (Robert G. Ingersoll) * Los hijos de  raramente son padres de ricos. (Herbert Kaufman) * La libertad produce riqueza, y la riqueza destruye la libertad. (Henry D. Lloyd) * Quiero ser rica pero no quiero hacer lo que  que hacer para ser rica. (Gertrude Stein) * El hombre es el único animal que cuanto más tiene, más quiere, el único animal que nunca está satisfecho. (Henry George)",0,0
"* Es quizás más afortunado disfrutar coleccionando caracolas que el haber nacido millonario. (Robert Louis Stevenson) * Pocos hombres ricos poseen sus propiedades; son sus propiedades las que les poseen a ellos. (Robert G. Ingersoll) * Los hijos de ricos raramente son padres de ricos. (Herbert Kaufman) * La libertad produce , y la riqueza destruye la libertad. (Henry D. Lloyd) * Quiero ser rica pero no quiero hacer lo que hay que  ser rica. (Gertrude Stein) * El hombre es el único animal que cuanto más tiene, más quiere, el único animal que nunca está satisfecho. (Henry George)",0,0
"> Monterrey: De acuerdo con el proyecto de dictamen de la Ley de Acceso a la Información Pública que  la Comisión de Legislación del  local, a partir del 2 de enero de 2003 los ciudadanos de Nuevo León obtendrán cualquier dato de los poderes Ejecutivo, Legislativo y Judicial del estado y los municipios.",0,0
"> Monterrey: De acuerdo con el proyecto de dictamen de la Ley de Acceso a la Información Pública que analiza la Comisión de Legislación del  local, a partir del 2 de enero de 2003 los ciudadanos de Nuevo León obtendrán cualquier  de los poderes Ejecutivo, Legislativo y Judicial del estado y los municipios.",0,0
"""No tengo la menor duda de que en el PAN puede surgir la tentación de montarse en el proyecto, en el programa anticrisis del presidente Calderón para obtener  "", pero ""espero que no lo haga, que no deforme la intención de los anuncios del Gobierno federal"", agregó.",1,1
"En Información  encontraras todo lo que necesitas saber sobre el derecho, como abogado litigante, como licenciado en la burocracia, como estudiante  o como Publico en General, contamos con la información Jurídica mas enriquecida y actualizada que puedas encontrar en Web como es:",0,0
"Es importante romper con el paradigma neoliberal que otorga un papel secundario al sector rural en el modelo de desarrollo, y abogar por establecer una política que  la  del campo, que apoye a las mujeres, jóvenes y migrantes, que respete los derechos indígenas y proteja los recursos naturales.",1,1
"De la misma forma Ambrosio Ramos López, destacó que la  tomada por las  mexicanas le causará graves problemas, ya que ellos son personas procedentes de Guatemala, que vienen a esta ciudad a trabajar para ayudar a los suyos, pero sin la venta del cigarro, no tendrá ganancias y no podrá enviar dinero a su familia.",1,0
Hoy en México reina el temor en la Guerra contra el narco; hoy el miedo le hace  a la  y a los derechos,1,1
"— Muchos militantes del Partido Revolucionario Institucional que se brindaron en   reflexionan sobre lo difícil que es aceptar que, a pesar del esfuerzo dado, no haya ni siquiera un ""gracias"", o alguna consideración, mucho menos pensar en algún compromiso, ¿será que todavía prevalece el concepto de que el político no tiene corazón?",1,1
"Esta incapacidad de adaptación, podría ser explicada por la estricta vinculación que el régimen guarda con la forma de Estado federal, así como con las  de la  directa (referéndum, iniciativa popular), que funcionan en los dos ámbitos competenciales de la Confederación Helvética, no obstante que el Directorio (Consejo Federal), o sea el órgano colegiado ejecutivo a nivel federal, carezca de facultades para censurar a la Asamblea y mucho menos para disolverla, el pueblo mismo (recordemos que Rousseau era ginebrino), tiene la posibilidad de controlar la permanencia de la Asamblea mediante el referéndum, de manera similar al recall norteamericano.",1,1
"En esa fecha, Rafael Macedo renunció simple y llanamente porque no permitió que la ley se torciera al antojo de nadie, ya que él sabía que el respeto al marco del Derecho era el primer pilar en el que se  cualquier  verdadera, y Macedo no se prestó a jugar con las instituciones ni mucho menos con la ley.",1,1
"En 1910, aquí se formó el movimiento a favor de la pesca libre, para hacer frente al monopolio que detentaban, durante el porfiriato, los extranjerospescadores de perlas y, al mismo tiempo, se creó el Comité Democrático Californiano para  por el  efectivo en las elecciones municipales.",1,1
"MÉXICO, DF.- Ante los dirigentes de sindicatos federados, el presidente electo del PRI nacional, Humberto Moreira, aseguró que México vive una situación crítica y que el  de la  se ha convertido en un crimen social.",1,1
Los  de  usadas por la OCDE y por la Unión Europea se basan en la distancia económica relativamente a un determinado porcentaje del nivel mediano de consumo.,1,1
"Para efectos del Impuesto Empresarial a Tasa Única (IETU) se considera ingreso gravado el precio o contraprestación a favor de quien enajena un bien, presta un servicio independiente u otorga el uso o goce temporal de bienes, en el momento en que dichas contraprestaciones se cobren efectivamente, de conformidad con las reglas que para tal efecto se  en la Ley del , incluyendo los anticipos y depósitos recibidos por dichas contraprestaciones.",1,1
"Durante la sesión, la Sala Superior resolvió 14 medios de impugnación, esto es, cuatro juicios para la  de los derechos  del ciudadano; tres juicios de revisión constitucional electoral, seis recursos de apelación y un recurso de reconsideración.",1,1
"Por ejemplo, Giambattista Vico, filósofo italiano del siglo XVIII, señalaba tres edades claras: de dioses, héroes y humanos; James Frazier, en el siglo XIX, habla de las edades de la magia, la religión y la ciencia; Lewis Morgan divide la historia humana en salvajismo, barbarie y civilización; tal vez podríamos intentar una evolución similar para la democracia donde se pasa del caos, al autoritarismo, para  a la  finalmente, con un lastre fuertemente arraigado en todos aquellos acostumbrados a obedecer líneas y atender dictados de conciencia y acción.",1,1
Comunicado No. 0205 - SECRETARIA GENERAL DE GOBIERNO Para hacer más eficiente la atención que por disposición de ley las autoridades  y municipales pueden brindar a los órganos  y ...,0,0
"Este fantástico audiolibro que te mostrará como  algo tan valioso como el dinero para conseguir la auténtica Libertad Financiera, es la segunda parte del de ""Cómo jugar y ganar el Juego del "" donde encontrarás los siguientes capítulos:",0,0
"¿Cómo abrir el  de la productividad y la ? Hay acuerdo entre los expertos en que sólo se vuelven prósperos los países que se lo proponen explícitamente, que alinean sus instituciones y sus decisiones para ello. No hay mucho que inventar. Para crecer mucho",1,1
"Con punto de acuerdo, por el que se exhorta a esta soberanía a revisar la probable inconstitucionalidad del  de  neto aprobado en la Ley de Ingresos de la Federación correspondiente a 2006, a cargo de la diputada Dolores Padierna Luna, del grupo parlamentario del PRD.",1,1
"De conformidad con la reforma al artículo 139 del Código Fiscal de la Federación publicada en el Diario Oficial de la Federación el 5 de enero de 2004, las notificaciones por estrados se harán fijando durante quince días consecutivos el documento que se pretenda notificar en un sitio abierto al público de las  de la autoridad que efectúe la notificación y publicando el documento citado, durante el mismo plazo, en la página electrónica que al efecto establezcan las  fiscales.",0,0
"BBVA se ha hecho en México con casi la mitad de la empresa de ingeniería PYPSA, que pretende sacar de Bolsa para   y aumentar su volumen de negocio, y con un 10 por ciento de la cadena textil Milano, en la que realizará “ mejoras operativas ”.",1,1
"Y por supuesto, esperamos de la ciudadanía, que la ciudadanía participe votando, participe escuchando a los actores políticos, participe decidiendo conforme a las  de la .",1,1
"Los políticos, militares, “magistrados” y grandes empresarios que instalaron, mediante el fraude, a Felipe Calderón en la presidencia del país, están listos para aprovechar la usurpación del poder para inaugurar una nueva y más cruenta etapa de aplicación de políticas neoliberales, de privatizaciones, de presupuestos lesivos a los intereses públicos y a las necesidades sociales (como el recién aprobado), de  de la  en unos cuantos y mayor empobrecimiento de la mayoría, de entrega de la soberanía, de apertura indiscriminada (como amenaza suceder con el maíz y el frijol como consecuencia del TLC), de integración subordinada a los Estados Unidos.",1,1
Las elecciones en Guerrero son un claro ejemplo de que en México aún no podemos  la  de la que tanto escuchamos hablar a diario tanto en los medios de comunicación y por parte de los funcionarios públicos.,1,1
"El retiro del Estado comunista de la lista ""es una respuesta apropiada"", dijo Obama, pero McCain advirtió que ""no está claro si el último acuerdo de verificación nos permitirá"" afirmar si Pyongyang  sus .",1,1
"Presencia Ciudadana está promoviendo dos iniciativas para que en la coyuntura de las campañas a la Presidencia de la República y a la Jefatura del Gobierno del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de vecinos, etc.) tengamos una incidencia real en las propuestas , en los programas de  y en las políticas públicas de los dos niveles de gobierno.",0,0
Pero la “reforma de impuestos” ha reemplazado los “ de ” en la agenda de Washington y eso presenta algunos peligros para los contribuyentes.,1,1
"En los últimos veinte años, la Entidad ha vencido el  de la ; hoy se encuentra en plena recuperación ecológica y agrícola y en una etapa de franco desarrollo industrial.",1,1
"Estos son algunos de los programas específicos que tiene planeados para 2007 la Secretaría de Cultura del Gobierno del Distrito Federal y que para su realización contarán con el apoyo de una “considerable” partida extra,  de una  superior a la que se había previsto en el primer trimestre del 2007.",1,1
"Si el Papa Juan Pablo II nos enseña que es necesario ""promover esas mutaciones estructurales tan necesarias para que la humanidad pueda alzarse de la  de la :"" ¿Cómo crear una política social asistencial, promocional y de corrección estructural que permita modificar de fondo las causas profundas de la indigencia promoviendo en los pobres y desde los pobres las causas del desarrollo y la riqueza justamente creada y distribuida?",1,1
"La vulnerabilidad entonces, aparece de nuevo como  de la , el analfabetismo, la discriminación y los grandes problemas sociales de nuestro tiempo.",1,1
"Presencia Ciudadana está promoviendo dos iniciativas para que en la coyuntura de las campañas a la Presidencia de la República y a la Jefatura del Gobierno del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de , etc.) tengamos una incidencia real en las propuestas electorales, en los programas de gobierno y en las  de los dos niveles de gobierno.",0,0
"En su informe 'Crisis, desigualdad y pobreza', Intermón  hace un análisis de las recientes crisis de América Latina y el este Asiático, que tardaron entre 15 y 25 años en  los  que había antes de esas depresiones, y destaca que las políticas de ajuste impuestas sólo contribuyeron a generar más pobreza y desigualdad, consolidando sociedades duales.",0,0
"Lo más grave es que una  , es decir, la que trata de atender la violencia contra las mujeres, al extender reglas absurdas, reglamentos, formatos, proyectos, a veces voluminosos y de difícil entendimiento, para justificar que algo se está haciendo, sin dar capacidades reales a sus agentes, generalmente porque quien dicta las órdenes y quien las ejecuta, no se han transformado.",1,1
El nombramiento de Panetta resultó sorpresivo debido a su perfil más acorde como uno de los más visibles e influyentes operadores políticos en los   del poder.,1,1
"Ingeniería Química Instituto Tecnológico de Celaya , arranque, operación y control de equipos y procesos en plantas químicas, considerando las  de  y seguridad....",0,0
No hay  ni valores que valgan en donde no hay reglas que dirijan el ejercicio de los primeros y  la existencia de los segundos.,0,0
"Bueno, pero entonces, de este problema, lo que hicimos fue empezar a  lo que es  de lo que son las formas de organización autónomas y democráticas de las comunidades zapatistas.",1,1
"En tanto que en el caso de quienes ya realizaron algún trámite relacionado con su credencial, les  que tienen hasta el 31 para recoger su nueva credencial para  con fotografía.",0,0
"Este  audiolibro que te mostrará como gestionar algo tan valioso como el dinero para conseguir la auténtica Libertad Financiera, es la segunda parte del de ""Cómo jugar y ganar el Juego del "" donde encontrarás los siguientes capítulos:",0,0
Los resultados electorales de este año debilitarán al presidente y su partido  a las  del 2006,1,0
"En su comunicado advirtió que el reto es eliminar el proteccionismo y convertir al   en una verdadera política social, por lo que exhortó a los legisladores a hacer conciencia de las necesidades reales de formar una verdadera educación financiera y hacendaria.",1,1
"A esto se opone el hecho de que, en 1981, aproximadamente el 40% de la población mundial estaba por debajo del  de la , mientras que hoy este porcentaje se ha reducido sustancialmente a la mitad y numerosas poblaciones, caracterizadas, por lo demás, por un notable incremento demográfico, han salido de la pobreza.",1,1
Ciudad de México  (20 diciembre 2012).-   El Presidente Enrique Peña Nieto dijo que bajo su Administración será reactivado el campo mexicano y que este sector no estará  a la .,1,1
"Ante cerca de 300 productores y agroindustriales del campo jalisciense, subrayó: Tenemos siempre que hablarnos con verdades y una verdad, por ejemplo, es que la producción y la productividad agropecuaria y pesquera se ha venido elevando en nuestro país, al mismo tiempo que en el campo está llegando tecnología de punta que nos permite ser mucho más competitivos; sin embargo, no podemos dejar de reconocer que la mayor desigualdad y la mayor pobreza y donde más injustamente se  la  es en el sector rural.",1,0
"WASHINGTON.- Quince mil  de dólares adicionales  entregados a siete bancos en la ronda más reciente de pagos del fondo gubernamental de rescate financiero, indicó el gobierno.",0,0
"Juntos otorgaremos a la industria, las condiciones necesarias para que cumpla el papel definitivo, que tiene en el  de la .",1,1
"No obstante, aún en esta materia, persiste la necesidad de  , revisar el diseño estructural y, el funcionamiento de las instituciones responsables, de garantizar su aplicación y vigencia; a fin de, asegurar y consolidar lo logrado por la vía de nuevas reformas al Código Federal de Instituciones y Procedimientos Electorales.",0,0
"El ex candidato presidencial, Andrés Manuel López Obrador, reiteró la realización de una lucha civil pacífica en contra del  de  y del despido de los 44 mil trabajadores de Luz y Fuerza del Centro.",1,1
"Cada trabajador conoce sus necesidades en la  mexiquense y exige respeto, protección y condiciones favorables para el cumplimiento de los  integrales.",0,0
La  se  por una ley especial.,0,1
"La Procuraduría lleva a cabo sus funciones de conformidad con un  Marco Jurídico que deriva de los principios establecidos por el Artículo 28 Constitucional, y que tiene por objeto garantizar la equidad y la seguridad jurídica en las relaciones de consumo, protegiendo los  del consumidor.",0,0
"Amasiato del PRIANchuchismo CONTRA MÉXICO a todo dar, delitos con   se espera queden impunes",1,1
"Los requisitos de acceso al templo de carácter cultual, racial o biológico ya no tienen vigencia en la nueva dimensión de la verdadera religión; lo único que cuenta es querer vivir como   y obedientes del Señor.",0,0
"De ese modo, ""el deterioro de 2009 no revirtió los importantes logros"" del periodo comprendido entre 2002 y 2008, cuando 41 millones de latinoamericanos  de la , recalcó Bárcena.",1,1
El e-Gobierno se ha constituido como una importante herramienta para la  del .,1,0
Ejercitarse en la participación de trabajos especializados tendientes a la habilitación de la   de los contribuyentes.,1,1
