sentence,correct_label,prediction
"Las organizaciones civiles y fideicomisos interesados en obtener autorización para  donativos deducibles del  sobre la renta, podrán, acudir ante la administración local jurídica o de asistencia al contribuyente que corresponda a su domicilio fiscal o ""previa cita"" ante la Administración de Donativos, para analizar conjuntamente con dicha autoridad la documentación que pretenden exhibir, a efecto de corroborar que la misma reúne todos los requisitos establecidos por las disposiciones fiscales, incluso antes de la protocolización de la escritura constitutiva y/o estatutos o firma del contrato de fideicomiso respectivo.",0,1
"recientes sobre la  en México revelan que más de la mitad de la población subsiste con recursos insuficientes para satisfacer las necesidades elementales, como una nutrición adecuada (véase ¿Cuántos pobres hay en México?, Cuadro I.5.4).",0,1
"Si el EVA es negativo (la rentabilidad de la empresa no alcanza para cubrir el costo de capital), la  de los  sufre un decremento, destruye valor.",0,1
-La importancia de las reglas en el  del .,0,1
El movimiento obrero ha dejado la huella de su lucha en multitud de testimonios surgidos al calor de los movimientos sociales: de este venero la intelectualidad democrática ha comenzado a extraer las fuentes para reconstruir la memoria histórica de las masas anónimas que con su trabajo  la  social y mueven la rueda de la historia.,0,1
"Durante el gobierno de Louis St. Laurent (1948-1957), en vista del  de las  por parte de la Unión Soviética y de su capacidad para lanzar ataques aéreos contra América del Norte, el gobierno canadiense, con el apoyo de Estados Unidos, construyó tres redes de estaciones de radar en el norte; a mediados de diciembre de 1953, el gobierno de St. Laurent estableció el ya mencionado Department of Northern Affairs and National Resources.",0,1
"En su análisis político afirmó que la  está secuestrada  partidos políticos y los medios de comunicación masiva que, más que informar, moldean la opinión pública a su antojo.",0,1
"El primero método, dijo la dirigente estatal del Sol Azteca, es una posibilidad que todos los referentes o líderes de las expresiones que conforman el partido en Michoacán, la han discutido y valorado, por lo que de darse la reserva de los distritos   al proceso federal intermedio, se estarían celebrando convenciones distritales de donde saldrían los candidatos perredistas a diputados federales.",0,1
"a la  patrimonial, agregó, ésta se redujo en 2004 a 47.2 por ciento de la población, y en 2006 a 42.6 por ciento, con lo que entre 1996 y 2006, 18.6 millones de mexicanos escaparon del último eslabón de la pobreza.",0,1
"Cecilia Romero explica los pasos que deberían darse para que la Asamblea del próximo 10 de agosto culmine con la aprobación  : Primero, lograr que, de los 14 mil panistas registrados desde marzo para la XVII Asamblea Nacional extraordinaria, acudan al menos 5 mil para hacer quórum.",0,1
Tienen que  la  que tiene Puebla.,0,1
"Artículo  10.-  Al  Estado  corresponde  impulsar  el  desarrollo económico,  procurar  el progreso compartido  y  la  distribución equitativa  de la  para  la justicia  social,  a cuyo  efecto  planeará,  conducirá,  coordinará  y  orientará  la actividad económica, en la esfera de su competencia, regulando  y fomentando  las  actividades  de  interés  general  a   la   cual concurrirán  los diversos sectores de población de conformidad  alas leyes  de la materia, con irrestricto apego a las libertades consagradas en la Constitución Federal y la del Estado.",0,1
"La diversión patológica y ocurrencias de quien aún ocupa las cabañas de Los Pinos, no puede terminar con ""borrón y cuenta nueva"" por quien, se presume, asumirá la inmoral presidencia legalizada por La Tremenda Corte, después de un proceso electoral profundamente irregular, en el que los principios elementales para el juego democrático fueron pulverizados por un IFE delincuencial en manos de un lacayo de Elba Esther Gordillo, El Chuky Luis Carlos Ugalde, quien demostró no sólo ser un pésimo aprendiz de mago, sino un mediocre  .",0,1
"La posibilidad de imaginar un  social en que exista la  queda diluída desde el momento en que las elecciones tomadas ""libremente"" por la gente normal forman parte de lo ""posible"", entendido como un área de acontecimientos y decisiones que quedan comprendidas en lo previsto y deseado por un Estado y un gobierno;",0,1
"Es decir, a que sigan intocados los medios públicos, el desarrollo de las radios comunitarias, el derecho de réplica y la  de , entre otros temas que aquí hemos abordado con profusión.",0,1
Investigaciones que recientemente se toparon con la exoneración que hizo la PGR días antes de que Fox entregara la   a su sucesor.,0,1
"EL IDH (índice de desarrollo humano), IPH (índice de  ) y otros de esa gama, como los índices de potenciación de género, por ejemplo, son índices sintéticos que recogen la información de diferentes indicadores de manera que su resultado está considerado de forma general.",0,1
y,0,1
Fomentar el  político y la cultura  de Veracruz.,0,1
"""Si hay alguien ahí que todavía dude de que Estados Unidos es un lugar donde todo es posible; que todavía se pregunte si el sueño de nuestros fundadores está vivo en nuestros tiempos; que todavía cuestione el  de nuestra , esta noche tiene una respuesta"", dijo Obama en sus primeras declaraciones públicas tras ganar las elecciones.",0,1
"Largo tiempo se batalló en el mercado, en sus bordes se  el : apenas dejaban libre el muro por el rumbo en que la cal se vende.",0,1
Nos señalan la  para que dejemos de ver los demás  índices que se aprovechan en cada momento de que fijemos la atención en lo que ellos quieren.,0,1
"Recordamos a esas gigantes mujeres, bellas mujeres anónimas, que junto a Laureana Wright en los alrededores de 1884 escribían la primera revista feminista de México; a aquellas mujeres como Hermila Galindo, quienes demandaban en el Congreso Constituyente, del 16 y del 17, el  a votar y ser",0,1
"El mercado político, como la  de múltiples actores políticos que han hecho un río revuelto de las  a ver cuál pescador gana, en su carácter de ofertante de recursos reales o potenciales, ha diversificado el espectro de lucha política, ha vuelto al espacio público más controvertido y, por tanto, las campañas políticas se tendrán que adaptar a un clima de mayor pluralidad, competencia5 y …violencia.",0,1
"Dijo que de esta forma, con creatividad, se deben atender las necesidades de los ciudadanos y  a la  de uno de los temas de mayor importancia para asegurar un mejor futuro para todos.",0,1
"En la democracia bipartidista el   de los gobernantes mediante elecciones libres y limpias en la que participan-votan ciudadanos conscientes, se parte del supuesto de que la fuerza de los partidos contendientes es equiparable y que su éxito depende de situaciones circunstanciales, algunas de ellas externas.",0,1
"Nuestros paisanos, los mexicanos que trabajan en Estados Unidos, envían una cantidad muy  de  a México, que ahora se puede considerar de las más importantes entradas de divisas.",0,1
"En su reciente visita a Chiapas, nuestro querido P'Lag ofreció a los zapatistas la infame negociación que no se ha podido dar digamos en, 12 años, igual que lo hizo algun personaje botudo en sus tiempos de  .",0,1
"¿Está de acuerdo que la sociedad ha perdido credibilidad en los procesos electorales, que al final de cuentas es la única posibilidad que tiene cualquier  mexicano de votar y ser ?",0,1
La OMC dijo que parte de ese apoyo era ilegal y  el  de 44.7% impuesto por Washington.,0,1
"¿ aquien se lo vas a quitar? por que tal y como se lo quites a 1, el resto salen por patas  aqui (si es que queda alguno) ¿se cree que esta idea se le ha ocurrido a ud el primero? esto ya se ha hecho en algun pais y la gente como ud ha pasado de vivir de los demas, a vivir en la .",0,1
"Comprobado está que ‘las corazonadas’ en política son una pésima estrategia, y es una lástima de Genaro Ramírez, se haya unido a esta empresa, ya que, a pesar de contar con muchos adversarios, Genaro se había abierto un camino con ‘panistas con la sociedad’: la  fue los escasos 70  que lo separaron en la asamblea municipal de la victoria sobre Jorge Ehlinger.",0,1
"En términos políticos ello plantea un grave problema, ya que estos colosos económicos operan al  de la , descansando en una estructura interna de poder absolutamente vertical y jerárquica, como lo ha señalado el nuevo premio Nobel de literatura, José Saramago.",0,1
"La repetición constante de argumentos como que, las ejecuciones se deben a guerra entre pandillas o los más malos tienen condiciones de privilegio en prácticamente todas las cárceles, no sólo irrita por el alto costo de un sistema alejado de la rehabilitación y sostenido a  de la  de millones mexicanos, sino por consecuencia impulsa a los que están fuera, a desear una suerte de vacaciones seguras en los penales; viviendo gratis, a veces como reyes, con toda clase de canonjías y con la facilidad de seguir dirigiendo sus redes destructivas.",0,1
"Mientras, las hermandades (cofradías) del ""Señor Milagroso"" y ""San Miguel Arcángel"", así como los cuadros pastorales de la parroquia de San Miguel Sola de Vega, mantienen el resguardo del templo en espera de la  de las .",0,1
La  del mineral se  y los espaÃ±oles se quedaron.,0,1
"Y es que paradojas (o parajodas, como ) de la .",0,1
"""Si hay alguien ahí que todavía dude de que Estados Unidos es un lugar donde todo es posible; que todavía se pregunte si el sueño de nuestros fundadores está vivo en nuestros tiempos; que todavía cuestione el  de nuestra , esta noche tiene una respuesta"", dijo Obama en sus primeras declaraciones públicas tras ganar las elecciones.",0,1
"En ese proceso se pueden distinguir de manera general tres momentos: el primero de ellos, de 1970 a 1980, en el que se identifica un modelo sustentado en la autoridad de la elite académica; el segundo momento se ubica entre los años de 1980 a 1988, regido por un modelo donde predomina la  de la  estatal; el tercero inicia a fines de la década de los ochenta y se extiende hacia los primeros años de la siguiente década, en él se revela un modelo de integración de mercado.",0,1
"En primera instancia, mencionamos la Reforma Fiscal, con la cual se tocaron los intereses del poder financiero al  sus  al Impuesto Empresarial a Tasa Única, con lo que se elimina el anterior esquema fiscal utilizado para evadir el pago de impuestos.",0,1
"""Imaginen que el precio del huevo, así de caro mo está, sufriera otro  por culpa de un  (IVA)"", aseguró Enrique Galván Ochoa, analista económico de la Primera Emisión de NoticiasMVS, ante la posibilidad de que la siguiente administración proponga un IVA generalizado.",0,1
"Fue el exrector Juan Ramón de la Fuente, cuando la UNAM retorno al prestigio que había perdido por la  real llamada .",0,1
"Elegida entre 511 manuscritos, Chiquita, es una novela a la vez elegante y llena de vida, con una notable gracia narrativa y una imaginación sin descanso,  el , presidido por el escritor nicaragüense Sergio Ramírez e integrado por Jorge Volpi, Ángeles González-Sinde, Guillermo Martínez, Ray Loriga y Juan González.",0,1
Paisanos no tienen  para,0,1
