sentence,verb,verb_idx,correct_label,prediction
"More competition is on the way ; International Business Machines Corp. is expected to roll out a laptop soon to replace its PC Convertible , a near - total failure in the market ",roll,14,1,1
"Since 1977 , fund manager Peter Lynch has stuck to the same basic strategy : buy any attractive stock , no matter what size or sector , or what the market is doing ",stick,8,1,1
"And everywhere Mr. Bush traveled last week , reporters demanded to know if the vice president believes Attorney General Edwin Meese should step down ",step,22,1,1
"France 's Socialist government resurrected the previous government 's plan to pump 12 billion francs -LRB- $ 1.88 billion -RRB- into state - owned auto maker Regie Nationale des Usines Renault , a move that may raise hackles in the European Community ",pump,11,1,1
"In the following decade , the Federal Reserve flooded the banks with reserves , providing the raw material for BankAmerica 's profligate lending policies while also creating a spiraling inflation ",flood,8,1,1
Wordsworth called him the '' marvellous boy '' and the phrase stuck in literary memory like a Homeric tag line ,stick,11,1,1
"Mr. Reagan 's speech was designed to kick off a triumphant final year in office , but a new poll suggests that his standing in public opinion has n't recovered from the dive it took after the disclosure of the Iran - Contra affair ",kick,7,1,1
Judges often ca n't review voluminous fee applications as they pour in ,pour,10,1,1
"Even then , however , Australia 's new 49 % tax rate kicked in at an even lower income level than the old 60 % top rate did -- only 30 % above average yearly earnings ",kick,12,1,1
"'' He likes to live dangerously , '' says Patrick Minford , a University of Liverpool economist who wants Mr. Lawson to return to exact targeting of money - supply growth ",target,25,1,1
And the court rejected the attempt to foster patriotism through compulsion as an insult to the American tradition : '' To believe that patriotism will not flourish if patriotic ceremonies are voluntary and spontaneous instead of a compulsory routine is to make an unflattering estimate of the appeal of our institutions to free minds . ',flourish,26,1,1
Macmillan advisers said the company plans to stick with its proposal ,stick,7,1,1
"Who could have guessed that the expansion would be rolling relentlessly through a sixth straight year , with no end in sight ",roll,9,1,1
"In Mr. Kupfer 's '' Ring , '' a nuclear war has melted most of the world and made shopping difficult ",melt,12,1,1
"'' Of course , the bondholders will have to ask : Is dissolving the company better than reorganization ? '",dissolve,12,1,1
"Domestic private consumption has been eating up about $ 3 billion or more a year , even during the war ",eat,5,1,1
Who will now step into this maw is a question the company does n't have much time to puzzle over ,step,3,1,1
"It 's little wonder , then , that Susan has taken to escaping into the company of her delightfully charming , exceedingly attractive , immensely rich fantasy family : an adoring husband , a devoted daughter and a frothy younger brother whose only occupation in life is to pour yet another round of champagne -- '' champers , '' as he prefers to call it -- for the four of them ",pour,48,1,1
"Jordan , with a flagging economy and a 4.2 % annual birth - rate , could n't absorb another influx of refugees no matter how sympathetically it viewed their plight ",absorb,17,1,1
"Money managers who pattern their portfolios on this index usually buy the new additions , causing a flurry of activity and pumping up the price of the shares ",pump,21,1,1
"'' If Roger had purposely set out to destroy all morale in what was once the most confident and secure company going , he could n't have done a better job , '' Mr. Lee quotes an unnamed GM executive ",destroy,8,1,1
"Her daughter demanded that she keep silent , telling her , '' You wo n't have a home to sleep in if you say anything about this . '",sleep,19,1,1
"'' This issue touches all Californians -- it 's the biggest economic prop around -- and he 's got to deal with it , '' says Mervin Field , the non - partisan California pollster ",touch,3,1,1
"Among the hundreds of pages of affidavits and depositions filed by the SEC with a federal court in New York earlier this week are sworn statements by six of Mr. Wang 's colleagues in Morgan Stanley 's mergers and acquisitions department indicating that he was intimately familiar with much of their work , and sometimes may have pumped them for details ",pump,57,1,1
"In Washington , former Treasury Secretary James A. Baker and former Federal Reserve Board Chairman Paul A. Volcker , architects of the present flagging international debt strategy , have both stepped down ",step,30,1,1
"In a news conference on their first day in office , the executives said they plan '' to stick closely '' to the strategic direction of Mr. Marous 's predecessor , Douglas D. Danforth , who retired ",stick,18,1,1
"Black & Decker Corp. stepped up pressure on American Standard Inc . , indicating that it might further sweeten its $ 65-a - share bid if financial information supports a higher figure ",step,4,1,1
"With their boss routinely delving into the nuts and bolts of prospective projects -LRB- he likes to '' kick the tires , '' says a colleague -RRB- , Mr. Schwartz 's team of 20 people spends roughly two - thirds of their time analyzing alternative proposals ",kick,18,1,1
"'' The hot weather just about melted him away , '' Mr. Corbett says with a sigh ",melt,6,1,1
"Mr. Norris added that silver 's sharp fall can be attributed to a series of technical levels that it hit , touching off heavy selling by commodity funds ",touch,21,1,1
Mr. Marino said the the mechanism calls for debt service to be met from property and sales tax revenue that flows through the state comptroller 's office before being diverted to city coffers ,flow,20,1,1
"What they are pushing is elimination or weakening of cost - of - living clauses , greater links between compensation and corporate performance , and more emphasis on lump - sum payments that do n't step up the wage base ",step,35,1,1
We told you the truth and we stepped up to those issues . ',step,7,1,1
"At age eight , he wrote a story about people , somewhere far away , who ate stars hatched from purple pebbles ",eat,16,1,1
"Major retailers have become very good at playing competing manufacturers against one another to obtain free display fixtures , cooperative advertising , extended payment terms and other concessions , as well as price discounts , he said ",play,7,1,1
"Coincidence perhaps , but within 48 hours , Ms. Fox says , it rained here ",rain,13,1,1
"When it finally rained , it was a letdown . '",rain,3,1,1
"Neither man is currently a government official , but the idea of a reprise of Mr. Kissinger 's famed opening to China in the early 1970s is so tantalizing that the rumor refuses to die ",die,34,1,1
Cautious bureaucrats drag their feet while progressive colleagues and scientists urge reform ,drag,2,1,1
"The upper classes do not take food or water from them nor sit , eat or drink with them ",drink,16,1,1
NASA partisans blame the administration for allowing the civilian space agency to drift and deteriorate through the 1980s while pouring vast sums into the Pentagon ,pour,19,1,1
"Perhaps the Logan regulators have made themselves a bed they can not sleep in , suggests Mr. Smith : '' An ideology of radical egalitarianism that sees people as uniform blocks of mud is what gives you the idea that 200 scouts are better than two CEOs . '",sleep,12,1,1
He said he hoped the new exam would help put to rest recurring charges by teacher unions and others that existing teacher tests do n't accurately assess classroom skills and are unfair to minorities ,rest,11,1,1
"In light of all this , you might expect the government here to pour millions into science ",pour,13,1,1
"He now says that specialty retailing fills the bill , but he made a number of profitable forays in the meantime ",fill,6,1,1
"Big technology stocks , hit hard by yesterday 's downturn on Wall Street , dragged down the main over - the - counter market indicators ",drag,14,1,1
"China poured tens of thousands of dollars into producing the country 's first batch of U.S .- trained M.B.A.s , including Mr. Wang ",pour,1,1,1
"The GAO was also to examine if the law has caused excessive red tape for employers , and if the law is being implemented well ",examine,5,1,1
"There was no immediate claim of responsibility , but police said the bomb was probably planted by Sinhalese extremists in retaliation for the restaurant owner 's defiance of a call for a general strike ",plant,15,1,1
"This weapon could be extremely powerful , perhaps ideal for the European battlefield -- simply put attacking troops to sleep ",sleep,19,1,1
"'' Cold water has been poured on the market and any advance has been stopped dead in its tracks , '' one dealer said ",pour,5,1,1
"In 1985 and 1986 , when pictures of rioting blacks and rampaging white policemen filled television screens around the world , the perception was that South Africa 's white - dominated government was losing its grip ",fill,14,1,1
"Pressure mounted on Pakistan to sign an accord aimed at securing the withdrawal of about 115 , 000 Soviet troops from neighboring Afghanistan , but Islamabad appeared to be sticking to its demand for a new government in Kabul to oversee the pullout ",stick,29,1,1
"The clash of goals is rare in postwar Japan , where consensus has enabled banks and industry to flourish ",flourish,18,1,1
"A purported $ 16-a - share offer for Superior Industries International Inc. evaporated yesterday after a flurry of activity in which one supposed player , Prudential - Bache Securities Inc . , denied it had authorized such a buy - out offer ",evaporate,12,1,1
"The storm killed about 100 people on land , and left more than 100 , 000 homeless ",kill,2,1,1
"Thus , while government officials concede apartheid must die , they ca n't bring themselves to kill it ",die,8,1,1
"Elise holds out empty arms , pleading with Andrew to fill them , but the chasm is too wide , the distance traveled in different directions too great ",fill,10,1,1
Texas Air said the sale of the hourly New York - Boston - Washington shuttle is intended to pump cash into long - ailing Eastern ,pump,18,1,1
"Richard Boyle , vice chairman of Chase Manhattan Corp . , avoids serious business when eating in with staffers ; '' I do n't want to give people indigestion , '' he explains ",eat,15,1,1
