sentence,arg1,arg2,verb,correct_label,prediction
"He is part of a growing air force of amateur aces around the country who rebuild and fly aging warplanes , indulging in weekend flights of fantasy like Mr. Deakins 's Battle of Stuart . -LRB- He won , he says , by keeping Mr. Stephenson , 48 , in his gun sights for 10 seconds ; the planes are unarmed .",country,fly,warplanes,0,0
"When the chairman of Santa Fe Southern Pacific Corp. flew into town a few months ago in the corporate jet , a small group of trainmen here knew they had struck a raw nerve .",they,struck,nerve,1,1
"Mr. Muth is president of Real Estate Advisors Inc . , a Los Angeles investment management firm that agreed to lend Wespac as much as $ 1.5 million under the agreement .",firm,lend,wespac,0,0
"A Dr. E `` examined a horse that had warts on its forelegs , '' begins one item in the newsletter , which withholds names of vets and patients .",e,examined,horse,0,0
"Moreover , the SEC would have the right to examine books and records without prior warning .",right,examine,books,0,0
"Meanwhile , the discounters and specialty stores that have grabbed sales from Sears in recent years are n't likely to stand still while it tries to catch up .",that,grabbed,sales,1,1
Tears roll down Juana Lara 's cheeks when she recalls the family 's desperation a few years ago .,tears,roll,cheeks,0,0
Mr. Story thinks Mr. Holmes a Court will soon target acquisitions .,holmes,target,acquisitions,0,0
"In recent years , Drexel has poured far more resources into areas such as high-yield , `` junk '' bonds , merger and acquisition advice and mortgage-backed securities .",drexel,poured,resources,1,1
"Cray plows more than 15 % of its revenues back into R & D , a very high percentage even for high-tech companies .",cray,plows,%,0,0
The mishap killed a flight attendant .,mishap,killed,attendant,0,0
"FIAT S.P.A . , the Italian auto maker , said it agreed to step up its collaboration with CIA. TELEFONICA NACIONAL DE ESPANA S.A. of Spain in the manufacturing of telecommunications equipment .",it,step,collaboration,1,1
But Mr. Sherlund said he thinks the company has taken steps to fix that problem .,steps,fix,problem,1,1
His antics once provoked an elderly ruling-party legislator to attack him with a cane .,antics,attack,legislator,0,0
"But Korea 's booming economy can absorb them , economists say .",economy,absorb,them,0,0
The oil-service business has been dragging the company 's stock price down since the oil industry peaked in 1981 .,business,dragging,price,1,1
"Among the monographic presentations , one ought not to miss Jacobo Borges 's virtuosic and highly charged paintings at the Venezuelan pavilion and Janez Bernik 's powerfully expressionistic paintings at the Yugoslavian pavilion .",one,miss,paintings,0,0
Texas Air said the sale of the hourly New York-Boston-Washington shuttle is intended to pump cash into long-ailing Eastern .,sale,pump,cash,1,1
He said that parties looking to strike joint venture arrangements with Texaco `` want to know who they 're going to be dealing with in the future . '',parties,strike,arrangements,0,0
"`` Consumer spending would mean a wider -LRB- U.S. -RRB- trade deficit , '' he said , adding , `` we want to examine the content '' of the growth data .",we,examine,content,0,0
"First Federal was then to absorb several other troubled thrifts in federally assisted mergers , as part of the Federal Savings and Loan Insurance Corp. 's so-called Southwest Plan to rescue the many ailing savings and loans based in the region .",federal,absorb,thrifts,0,0
"Iran said its jets bombarded an Iraqi military base and oil refinery in Baghdad , and Iraq said its forces attacked 10 Iranian towns .",forces,attacked,towns,0,0
Lucky 's widely respected management appeared to have escaped Mr. Skaggs when it announced its $ 61-a-share buy-out plan in April .,management,escaped,skaggs,0,0
Both the government and private industry have stepped up efforts to recruit back to Korea scientists who were trained and then stayed abroad .,industry,stepped,efforts,1,1
"Texas is indeed the most dramatic and scandalous example of S & L managers plowing money into dubious projects , often with less than an arms-length relationship with developers and totally unrealistic estimates of the potential income streams of the commercial and residential buildings they were financing .",s,plowing,money,0,0
The Bank of England added that it is `` too early to be sure '' whether the British government 's recent efforts to cool down Britain 's overheated economy `` will prove sufficient to restore the economy to a sustainable path . '',efforts,cool,economy,1,1
"Ne Win , however , saw that Burma escaped the Vietnam vortex .",burma,escaped,vortex,0,0
"As the Army pressed Oshkosh to fix the trucks , says Col. Ronald Cundrick , an Army lawyer , `` we had them stacked all over the place . ''",army,fix,oshkosh,0,0
"Shortly afterward , Bob Adams Inc. in Boston flooded 21 universities nationwide with 10 , 000 copies of its annual two bits of advice , a publication called `` Careers and the M.B.A . ''",inc.,flooded,universities,1,1
Investors ' fears have touched the bonds of companies not immediately identified as takeover targets .,fears,touched,bonds,1,1
"`` You could change husbands , but not the situation , '' she thinks as she examines snack foods .",she,examines,foods,0,0
Few Poles missed that message in his tributes to their leader .,poles,missed,message,0,0
"Over the past year , two teams of researchers , one at Johns Hopkins University and the other in London , have found that cells taken from colon cancer tumors are missing tiny bits of DNA -- possibly even tiny bits of genes -- on two different chromosomes .",cells,missing,bits,0,0
"Critics argue that Barclays 's expansion simply will fill its loan book with bad debts nobody else wants , a contention bank officials dispute .",expansion,fill,book,1,1
An Aer Lingus spokesman claimed Italy is dragging its feet because Alitalia plans to start flights between Milan and Manchester this month .,italy,dragging,feet,0,0
"But Mr. Dole has so far spent much of his campaign attacking Vice President Bush for , among other things , having the effrontery to attack Congress .",dole,attacking,bush,0,0
"The feisty , 62-year-old director of the airline division of the Teamsters union wants 4 , 300 Pan Am reservationists , ticket agents , and office and other workers to strike Pan Am Corp. after a cooling-off period that ends Sunday .",reservationists,strike,corp.,0,0
"`` I thought I was eating him alive , '' recalled a rueful Mr. Bailey of a long-ago debate .",i,eating,him,1,1
"`` But we found that at the end of three weeks , they want to kill you . ''",they,kill,you,0,0
"Tropical storm Chris spawned tornadoes that damaged houses , destroyed mobile homes and caused at least one death in the Carolinas before gradually weakening .",houses,destroyed,homes,0,0
Tokyo is using its overvalued yen to press for big state projects -- which lend themselves to large business contracts .,which,lend,themselves,0,0
"In 1983 , North Korean agents are believed to have set off a bomb in Rangoon , Burma , that killed four South Korean cabinet ministers and 13 other Koreans in what may have been an attempt on the life of then-President Chun Doo Hwan .",that,killed,ministers,0,0
"At the Pavilion , Mr. Worthington pours a last glass .",worthington,pours,glass,0,0
"In his previous handling of the case , Judge Brieant roundly attacked the merits of the Pennzoil judgment .",brieant,attacked,merits,1,1
"-- The peaceful absorption into the world economy and polity of nations now moving swiftly to absorb all the major technologies , a group including among others , China and India , Brazil and Mexico .",absorption,absorb,technologies,0,0
"And the $ 300 million sunflower industry is faring far worse than the $ 10.5 billion soybean industry , which is large enough to absorb short-term setbacks .",industry,absorb,setbacks,1,1
"He adds , `` We 're trying very hard to avoid the Halley 's comet syndrome -- where you grab everything in sight and then you vanish . ''",you,grab,everything,1,1
"Fed officials hope for signs soon that the economy is slowing , which would cool the need for further rate increases .",which,cool,need,1,1
"Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to fill the vacancies .",concern,fill,officers,0,0
But Cameloot was just another loser among the entries that flooded the offices of Circus Circus Enterprises Inc. during a contest to name its planned $ 290 million castle-theme resort .,that,flooded,offices,1,1
"Parasite infections of people who like to eat raw or undercooked fish are increasing , and the main cause is the rising population of seals and other protected marine mammals , scientists reported .",people,eat,fish,0,0
"Lillian Vernon Corp . , a mail-order company , said it is experiencing delays in filling orders at its new national distribution center in Virginia Beach , Va .",delays,filling,orders,1,1
"Most of the machinery in Toyota Motor Corp. 's $ 800 million auto plant in Georgetown , Ky . , came from Japan , for example , and Toyota spokesmen say that when the first cars roll off the assembly line this spring , 40 % of the total value will be imported .",cars,roll,line,1,1
"Short sellers `` have missed some points '' about CopyTele , says Mr. Maxwell , who bought the stock at 9 3 4 .",sellers,missed,points,0,0
"In 1986 , the company slipped into the red with a loss of 40 million marks on massive inventory write-downs on out-of-fashion products that missed new leisure trends set by emerging competitors .",that,missed,trends,1,1
"Before midnight , it had targeted the National Aeronautics and Space Administration Ames Research Center in California 's Silicon Valley , as well as the University of Pittsburgh and the Los Alamos National Laboratory in New Mexico .",it,targeted,center,0,0
"`` If the S & P would 've closed , sell orders would 've flooded New York '' and sent the stock market sharply lower , said one harried trader overlooking the raucous S & P trading pit .",orders,flooded,york,0,0
"Those convoys currently protect only Kuwaiti tankers flying U.S. flags , but in Washington , Pentagon officials are discussing whether to extend protection to all neutral ships .",tankers,flying,flags,0,0
"To use the $ 20 test , dentists stick pieces of paper between the patient 's teeth and gums , then send the paper to BioTechnica for analysis .",dentists,stick,pieces,0,0
It just eats your soul . '',it,eats,soul,1,1
"Ford will recall 103 , 000 1986 Aerostar , Bronco II , and Ranger SuperCab vehicles to fix an electrical problem in vehicles equipped with front power lumbar seats .",vehicles,fix,problem,0,0
"`` No one 's knocking down the door anymore , '' said Paul Lovegren , senior account executive at Wassendorf & Son Co . , Cedar Falls , Iowa .",one,knocking,door,1,1
"In 1925 , Congress said that the Supreme Court has discretion to refuse to hear cases , except when a state supreme court strikes down a federal law or upholds a state law that was challenged as violating the Constitution , or when a federal appeals court strikes down a state law or a federal appeals or district court strikes down a federal law , all on constitutional grounds .",court,strikes,law,0,0
The arrangement would break new legal ground as a means for an insurer to escape its own potential liability by piggybacking on the Chapter 11 reorganization of a former policyholder .,insurer,escape,liability,1,1
"For a time , the OSHA news releases rolled off the presses with regularity .",releases,rolled,presses,0,0
"While American and Delta airlines have reputations as places `` where people really like to work , '' employees at Eastern and Continental `` roll their eyes '' when asked about their jobs , said Southern Illinois University associate professor David A. NewMyer .",employees,roll,eyes,1,1
"Though Telepictures was considered a high-flying entrepreneurial company when it merged with Lorimar , Lorimar 's troubles dragged the company down after the merger , and Mr. Garin clashed over strategy and style with Lorimar Chairman Merv Adelson .",troubles,dragged,company,1,1
"The U.S. and Pakistan long had sought such a `` front-loading '' of the agreement to ensure that the Soviets do n't reap the political benefits of beginning a withdrawal , and then drag their feet in carrying it out .",agreement,drag,feet,1,1
"`` We do n't need the government trying to destroy the industry because of a few bad apples , '' says David L. Ganz , an ANA board member and a lawyer for some coin dealers .",government,destroy,industry,0,0
`` I 'm going to roll up my sleeves and make this work . '',m,roll,sleeves,1,1
"A powerful earthquake struck Nepal and eastern India , triggering landslides and floods and killing at least 500 people and injuring more than 3 , 000 .",earthquake,struck,nepal,0,0
"Senator Kennedy , and the handful of legislators who knew about the secret provision , intended to kill two unfriendly newspapers .",kennedy,kill,newspapers,1,1
"The suspension likely will accelerate inter-union warfare , as the electricians step up their recruitment drive at new sites , while other unions try to grab electricians ' members in factories where they represent the minority , Mr. Metcalfe says .",unions,grab,members,1,1
"Gillette Co. stepped up its attack on Coniston Partners , a New York investment group seeking four seats on Gillette 's board , saying Coniston acts on behalf of `` a web of as yet unidentified and undisclosed investors , '' including foreigners .",co.,stepped,attack,1,1
But bankers that lend to farmers suddenly are worrying anew about their borrower 's financial health .,that,lend,to,0,0
"Adds George Gallup Jr . , the pollster: `` He 's really striking a responsive chord in the populace . ''",he,striking,chord,0,0
"Besides if Mikhail Gorbachev wants to spend all those resources so the East bloc 's skaters and lugers can pump revenue into ABC , it 's fine with us .",skaters,pump,revenue,1,1
"If that sounds like obstinacy , perhaps it 's time once more to examine carefully the forces that have kept the Arab-Israeli conflict boiling so long .",time,examine,forces,0,0
"`` The new irrigation tunnel has allowed us to plant 6 , 000 willow trees and 600 apple trees and to earn money for the education of our children , '' she says , tears welling in her eyes .",us,plant,trees,0,0
I 'd miss it if I did n't play .,i,miss,it,0,0
"For the record , this was the second straight season in which the Redskins came to Chicago to knock the home team out of the playoffs .",season,knock,team,1,1
