sentence,arg1,arg2,verb,correct_label,prediction
But Cameloot was just another loser among the entries that flooded the offices of Circus Circus Enterprises Inc. during a contest to name its planned $ 290 million castle-theme resort .,that,flooded,offices,1,1
"Lillian Vernon Corp . , a mail-order company , said it is experiencing delays in filling orders at its new national distribution center in Virginia Beach , Va .",delays,filling,orders,1,1
"Most of the machinery in Toyota Motor Corp. 's $ 800 million auto plant in Georgetown , Ky . , came from Japan , for example , and Toyota spokesmen say that when the first cars roll off the assembly line this spring , 40 % of the total value will be imported .",cars,roll,line,1,1
"In 1986 , the company slipped into the red with a loss of 40 million marks on massive inventory write-downs on out-of-fashion products that missed new leisure trends set by emerging competitors .",that,missed,trends,1,1
It just eats your soul . '',it,eats,soul,1,1
"`` No one 's knocking down the door anymore , '' said Paul Lovegren , senior account executive at Wassendorf & Son Co . , Cedar Falls , Iowa .",one,knocking,door,1,1
The arrangement would break new legal ground as a means for an insurer to escape its own potential liability by piggybacking on the Chapter 11 reorganization of a former policyholder .,insurer,escape,liability,1,1
"While American and Delta airlines have reputations as places `` where people really like to work , '' employees at Eastern and Continental `` roll their eyes '' when asked about their jobs , said Southern Illinois University associate professor David A. NewMyer .",employees,roll,eyes,1,1
"Though Telepictures was considered a high-flying entrepreneurial company when it merged with Lorimar , Lorimar 's troubles dragged the company down after the merger , and Mr. Garin clashed over strategy and style with Lorimar Chairman Merv Adelson .",troubles,dragged,company,1,1
"The U.S. and Pakistan long had sought such a `` front-loading '' of the agreement to ensure that the Soviets do n't reap the political benefits of beginning a withdrawal , and then drag their feet in carrying it out .",agreement,drag,feet,1,1
`` I 'm going to roll up my sleeves and make this work . '',m,roll,sleeves,1,1
"Senator Kennedy , and the handful of legislators who knew about the secret provision , intended to kill two unfriendly newspapers .",kennedy,kill,newspapers,1,1
"The suspension likely will accelerate inter-union warfare , as the electricians step up their recruitment drive at new sites , while other unions try to grab electricians ' members in factories where they represent the minority , Mr. Metcalfe says .",unions,grab,members,1,1
"Gillette Co. stepped up its attack on Coniston Partners , a New York investment group seeking four seats on Gillette 's board , saying Coniston acts on behalf of `` a web of as yet unidentified and undisclosed investors , '' including foreigners .",co.,stepped,attack,1,1
"Besides if Mikhail Gorbachev wants to spend all those resources so the East bloc 's skaters and lugers can pump revenue into ABC , it 's fine with us .",skaters,pump,revenue,1,1
"For the record , this was the second straight season in which the Redskins came to Chicago to knock the home team out of the playoffs .",season,knock,team,1,1
