nouns,verbs,sentences,preds,true
galaxy,map, We have n't even begun to map the many galaxies that we know exist .,00000000000011000000,00000000000000000000
piece,match, The two pieces match .,00010000000000000000,00000000000000000000
aerator,mount, They mounted the aerator on a floating .,00001000000000000000,00000000000000000000
husband,nag, She nags her husband all day long .,00100000000000000000,00000000000000000000
wall,paste, paste the sign on the wall .,00010000000000000000,00000000000000000000
needle,pierce, The needle pierced her flesh .,00010000000000000000,00000000000000000000
husband,poison, She poisoned her husband .,00100000000000000000,00000000000000000000
drink,poison, Her husband poisoned her drink in order to kill her .,00010000010000000000,00000000000000000000
finger,prick, The nurse pricked my finger to get a small blood sample .,00000010001000000000,00000000000000000000
woman,push," "" Now push hard "" , said the doctor to the woman .",00000000100000000000,00000000000000000000
company,raid, T. Boone Pickens raided many large companies .,00000010000000000000,00000000000000000000
system,reform, reform a political system .,10000000000000000000,00000000000000000000
tension,relax, relax the tension on the rope .,10000000000000000000,00000000000000000000
bath,relax, A hot bath always relaxes me .,00001000000000000000,00000000000000000000
colleague,relax, our new colleague relaxed when he saw that we were a friendly group .,00000000000100000000,00000000000000000000
surface,ruffle, The wind ruffled the surface of the water .,00001000000000000000,00000000000000000000
meat,salt, people used to salt meats on ships .,00001000000000000000,00000000000000000000
soldier,salute," When the officers show up , the soldiers have to salute .",00000001000000000000,00000000000000000000
letter,scrape, They scraped a letter into the stone .,01000000000000000000,00000000000000000000
money,seize, The sales clerk quickly seized the money on the counter .,00000001000000000000,00000000000000000000
vessel,shipwreck, The vessel was shipwrecked .,01000000000000000000,00000000000000000000
car,smash, She smashed her car against the guard rail .,00100000000000000000,00000000000000000000
water,spray, spray water on someone .,00100000000000000000,00000000000000000000
cheese,spread, spread cheese on a piece of bread .,00100000000000000000,00000000000000000000
infection,spread, the infection spread .,00100000000000000000,00000000000000000000
letter,stamp, Are the letters properly stamped ?,00001000000000000000,00000000000000000000
vegetable,steam, just steam the vegetables .,10000000000000000000,00000000000000000000
tear,stream, Tears streamed down her face .,01110000000000000000,00000000000000000000
notice,tack, tack the notice on the board .,00010000000000000000,00000000000000000000
grape,tread, tread grapes to make wine .,10000000000000000000,00000000000000000000
soldier,trench, trench the fallen soldiers .,00010000000000000000,00000000000000000000
shoulder,twist, The wrestler twisted his shoulder .,00100000000000000000,00000000000000000000
fortune,vest, She vested her vast fortune in her two sons .,01100010000000000000,00000000000000000000
ball,volley, They began to volley the tennis ball .,01000000000000000000,00000000000000000000
yellow,wear, She was wearing yellow that day .,00100000000000000000,00000000000000000000
hair,wear, wear one 's hair in a certain way .,00000010000000000000,00000000000000000000
child,wrestle, The children wrestled in the garden .,00100000000000000000,00000000000000000000
person,breathe, I can breathe better when the air is clean .,00100000100000000000,00000000000000000000
wine,breathe, This rare Bordeaux must be allowed to breathe for at least 2 hours .,00000000001000000000,00000000000000000000
drawing,color, The child colored the drawings .,00100000000000000000,00000000000000000000
man,peep, He peeped at the woman through the window .,01000000000000000000,00000000000000000000
finding,preserve, We preserve these archeological findings .,01000000000000000000,00000000000000000000
