nouns,verbs,sentences,preds,true
surface,map, map the surface of Venus .,00000000000000000000,00000000000000000000
prisoner,march, The Japanese marched their prisoners through Manchuria .,00000000000000000000,00000000000000000000
apple,mellow, These apples need to mellow a bit more .,00000000000000000000,00000000000000000000
wax,melt, The wax melted in the sun .,00000000000000000000,00000000000000000000
ice,melt, The sun melted the ice .,00000000000000000000,00000000000000000000
furniture,mold, The furniture molded in the old house .,00000000000000000000,00000000000000000000
ball,mold, She molded the rice balls carefully .,00000000000000000000,00000000000000000000
slide,mount, mount slides for macroscopic analysis .,00000000000000000000,00000000000000000000
security,negociate, negociate securities .,00000000000000000000,00000000000000000000
party,negociate, The parties negociated all night .,00000000000000000000,00000000000000000000
solution,neutralize, She neutralized the solution .,00000000000000000000,00000000000000000000
approval,nod, He nodded his approval .,00000000000000000000,00000000000000000000
teacher,nod, The teacher nodded when the student gave the right answer .,00000000000000000000,00000000000000000000
man,nod, The old man was nodding in his chair .,00000000000000000000,00000000000000000000
room,paint, We painted the rooms yellow .,00000000000000000000,00000000000000000000
mistress,paint, He painted his mistress many times .,00000000000000000000,00000000000000000000
heart,palpitate, Her violent feelings palpitated the young woman 's heart .,00000000000000000000,00000000000000000000
sign,paste, paste the sign on the wall .,00000000000000000000,00000000000000000000
needle,pin, pin the needle to the shirt .,00000000000000000000,00000000000000000000
bug,ping, The bugs pinged the lamp shade .,00000000000000000000,00000000000000000000
bullet,ping, the bullet pinged when they struck the car .,00000000000000000000,00000000000000000000
machine,ping, ping your machine in the office .,00000000000000000000,00000000000000000000
mushroom,poison, This mushrooms can poison .,00000000000000000000,00000000000000000000
father,portray, The father is portrayed as a good - looking man in this painting .,00000000000000000000,00000000000000000000
woman,pose, We do n't know the woman who posed for Leonardo so often .,00000000000000000000,00000000000000000000
knocker,pound, the salesman pounded the door knocker .,00000000000000000000,00000000000000000000
water,pour, They poured water over the floor .,00000000000000000000,00000000000000000000
water,pour, They poured water over the floor .,00000000000000000000,00000000000000000000
forest,preserve, preserve the forest and the lakes .,00000000000000000000,00000000000000000000
skin,prick, The needle pricked his skin .,00000000000000000000,00000000000000000000
face,puff, Her faced puffed up from the drugs .,00000000000000000000,00000000000000000000
athlete,pump, The athlete pumps weights in the gym .,00000000000000000000,00000000000000000000
table,push, He pushed the table into a corner .,00000000000000000000,00000000000000000000
crowd,push, The crowd pushed forward .,00000000000000000000,00000000000000000000
sun,radiate, The sun radiates heat .,00000000000000000000,00000000000000000000
heat,radiate, The sun radiates heat .,00000000000000000000,00000000000000000000
police,raid, The police raided the crack house .,00000000000000000000,00000000000000000000
pirate,raid, The pirates raided the coastal villages regularly .,00000000000000000000,00000000000000000000
fort,recapture, The military forces managed to recapture the fort .,00000000000000000000,00000000000000000000
prisoner,recapture, They tried to recapture the escaped prisoner .,00000000000000000000,00000000000000000000
bell,recast, The bell cracked and had to be recast .,00000000000000000000,00000000000000000000
sound,reflect, Sound is reflected well in this auditorium .,00000000000000000000,00000000000000000000
road,reflect, Drive carefully -- the wet road reflects .,00000000000000000000,00000000000000000000
image,reflect, her sunglasses reflected his image .,00000000000000000000,00000000000000000000
man,revive, The doctors revived the comatose man .,00000000000000000000,00000000000000000000
curtain,rip, The curtain ripped from top to bottom .,00000000000000000000,00000000000000000000
plant,root, this plant roots quickly .,00000000000000000000,00000000000000000000
pig,root, the pig was rooting for truffles .,00000000000000000000,00000000000000000000
feather,ruffle, The bird ruffled its feathers .,00000000000000000000,00000000000000000000
fabric,ruffle, The seamstress ruffled the curtain fabric .,00000000000000000000,00000000000000000000
car,ruin, You have ruined my car by pouring sugar in the tank !,00000000000000000000,00000000000000000000
X-ray,scan, the surgeon scanned the X - ray .,00000000000000000000,00000000000000000000
forest,scorch, The wildfire scorched the forest and several homes .,00000000000000000000,00000000000000000000
cat,scrape, The cat scraped at the armchair .,00000000000000000000,00000000000000000000
invader,seize, the invaders seized the land and property of the inhabitants .,00000000000000000000,00000000000000000000
book,sell, These books sell like hot cakes .,00000000000000000000,00000000000000000000
shoe,sell, The brothers sell shoes .,00000000000000000000,00000000000000000000
salt,shake, Shake the salt out of the salt shaker .,00000000000000000000,00000000000000000000
tear,shed, She shed a lot of tears when this happened .,00000000000000000000,00000000000000000000
dog,shed, Our dog sheds every Spring .,00000000000000000000,00000000000000000000
meteor,shower, Meteors showered down over half of Australia .,00000000000000000000,00000000000000000000
nightingale,sing, The nightingale was singing .,00000000000000000000,00000000000000000000
motorcycle,smash, The motorcycle smashed into the guard rail .,00000000000000000000,00000000000000000000
meat,smother, smother the meat in gravy .,00000000000000000000,00000000000000000000
cocaine,snort, The addict was snorting cocaine almost every day .,00000000000000000000,00000000000000000000
seed,sow, She sowed sunflower seeds .,00000000000000000000,00000000000000000000
ground,sow, sow the ground with sunflower seeds .,00000000000000000000,00000000000000000000
word,spell, How do you spell this word ?,00000000000000000000,00000000000000000000
water,splash, She splashed the water around her .,00000000000000000000,00000000000000000000
water,splash, She splashed the water around her .,00000000000000000000,00000000000000000000
tablecloth,spot, The wine spotted the tablecloth .,00000000000000000000,00000000000000000000
dress,spot, This dress spots quickly .,00000000000000000000,00000000000000000000
area,spot, spot the areas that one should clearly identify .,00000000000000000000,00000000000000000000
water,spray, Water sprayed all over the floor .,00000000000000000000,00000000000000000000
wall,spray, spray the wall with paint .,00000000000000000000,00000000000000000000
oil,spread, A big oil spot spread across the water .,00000000000000000000,00000000000000000000
wood,square, square the wood with a file .,00000000000000000000,00000000000000000000
man,stagger, The drunken man staggered into the room .,00000000000000000000,00000000000000000000
chair,stagger, The architect decided to stagger the chairs in the lecture hall .,00000000000000000000,00000000000000000000
water,stagnate, There are marshes that stagnate the waters .,00000000000000000000,00000000000000000000
blood,stagnate, blood stagnates in the capillaries .,00000000000000000000,00000000000000000000
animal,stampede, Thunderbolts can stampede animals .,00000000000000000000,00000000000000000000
ship,steam, The ship steamed off into the Pacific .,00000000000000000000,00000000000000000000
road,steamroller, steamroller the road .,00000000000000000000,00000000000000000000
nose,stuff, My nose is all stuffed .,00000000000000000000,00000000000000000000
pillow,stuff, stuff a pillow with feathers .,00000000000000000000,00000000000000000000
turkey,stuff, Have you stuffed the turkey yet ?,00000000000000000000,00000000000000000000
poison,suck, suck the poison from the place where the snake bit .,00000000000000000000,00000000000000000000
belly,swell, The bellies of the starving children are swelling .,00000000000000000000,00000000000000000000
wood,swell, The water swells the wood .,00000000000000000000,00000000000000000000
snake,swim, this snake swims through the soil where it lives .,00000000000000000000,00000000000000000000
boat,tack, The sailors decided to tack the boat .,00000000000000000000,00000000000000000000
baby,talk, The baby talks already .,00000000000000000000,00000000000000000000
garlic,taste, Can you taste the garlic ?,00000000000000000000,00000000000000000000
wine,taste, We tasted wines last night .,00000000000000000000,00000000000000000000
state,tax, The State taxes alcohol heavily .,00000000000000000000,00000000000000000000
muscle,tense, the bodybuilder 's neck muscles tensed .,00000000000000000000,00000000000000000000
victim,tie, They tied their victim to the chair .,00000000000000000000,00000000000000000000
fly,tie, The fishermen tied their flies .,00000000000000000000,00000000000000000000
tree,top, A star tops the Christmas Tree .,00000000000000000000,00000000000000000000
tower,top, The towers were topped with conical roofs .,00000000000000000000,00000000000000000000
outline,trace, trace the outline of a figure in the sand .,00000000000000000000,00000000000000000000
deer,trace, The hunters traced the deer into the woods .,00000000000000000000,00000000000000000000
energy,transform, It can transform energy to light .,00000000000000000000,00000000000000000000
bird,tread, male birds tread the females .,00000000000000000000,00000000000000000000
camp,trench, He trenched his military camp .,00000000000000000000,00000000000000000000
letter,trench, letters trenched into the stone .,00000000000000000000,00000000000000000000
chain,tug, The prisoner tugged at the chains .,00000000000000000000,00000000000000000000
freighter,tug, The tugboat tugged the freighter into the harbor .,00000000000000000000,00000000000000000000
cart,tug, The horse finally tugged the cart out of the mud .,00000000000000000000,00000000000000000000
cord,twist, The cord is all twisted .,00000000000000000000,00000000000000000000
vine,uproot, They plan to uproot the vine that has spread all over the garden .,00000000000000000000,00000000000000000000
property,vest, The property vests in the trustees .,00000000000000000000,00000000000000000000
paris,visit, Did you ever visit Paris ? .,00000000000000000000,00000000000000000000
relative,visit," Every summer , we visited our relatives in the country for a month .",00000000000000000000,00000000000000000000
pig,wallow, pigs were wallowing in the mud .,00000000000000000000,00000000000000000000
melody,whistle, She whistled a melody .,00000000000000000000,00000000000000000000
person,bow, He bowed before the King .,00000000000000000000,00000000000000000000
people,communicate, He and his sons have n't communicated for years .,00000000000000000000,00000000000000000000
dictionary,computerize, Please use a computerized disctionary .,00000000000000000000,00000000000000000000
cup,engrave, engraved the trophy cupt with the winner 's .,00000000000000000000,00000000000000000000
volcano,erupt, Vesuvius erupts once in a while .,00000000000000000000,00000000000000000000
lens,grind, grind lenses for glasses and cameras .,00000000000000000000,00000000000000000000
woman,lean, She leaned over the banister .,00000000000000000000,00000000000000000000
man,march, He marched into the classroom and announced the exam .,00000000000000000000,00000000000000000000
painter,portray," Goya wanted to portray his mistress , the Duchess of Alba .",00000000000000000000,00000000000000000000
ocean,sail, We sailed the Atlantic .,00000000000000000000,00000000000000000000
