nouns,verbs,sentences,preds,true
disk,erase, Who erased the files form my hard disk ?,00000000000000000000,00000000000000000000
bomb,explode, We exploded the nuclear bomb .,00000000000000000000,00000000000000000000
bottle,explode, The champagne bottle exploded .,00000000000000000000,00000000000000000000
bridge,explode, The enemy exploded the bridge .,00000000000000000000,00000000000000000000
lock,fasten, He fastened the lock onto the door .,00000000000000000000,00000000000000000000
grape,ferment, We ferment the grapes for a very long time to achieve high alcohol content .,00000000000000000000,00000000000000000000
pool,fill, The pool slowly filled with water .,00000000000000000000,00000000000000000000
container,fill, The liquid fills the container .,00000000000000000000,00000000000000000000
wing,flap, The bird flapped its wings .,00000000000000000000,00000000000000000000
star,flash, A shooting star flashed and was gone .,00000000000000000000,00000000000000000000
village,flood, The swollen river flooded the village .,00000000000000000000,00000000000000000000
basement,flood, Our basement flooded during the heavy rains .,00000000000000000000,00000000000000000000
water,flow, Water flowed into the cave .,00000000000000000000,00000000000000000000
garbage,flush, The garbage flushed down the river .,00000000000000000000,00000000000000000000
water,form, the water formed little beads .,00000000000000000000,00000000000000000000
bolt,fracture, The pothole fractured a bolt on the axle .,00000000000000000000,00000000000000000000
car,fuel," fuel aircraft , ships , and cars .",00000000000000000000,00000000000000000000
tanker,fuel, The tanker fueled in Bahrain .,00000000000000000000,00000000000000000000
horse,gallop, The horse was galloping along .,00000000000000000000,00000000000000000000
girl,glare, The girl glared at the man who tried to make a pass at her .,00000000000000000000,00000000000000000000
firefly,glow, The fireflies were glowing and flying about in the garden .,00000000000000000000,00000000000000000000
coal,glow, The coals were glowing in the dark .,00000000000000000000,00000000000000000000
passenger,grab, The passenger grabbed for the oxygen mask .,00000000000000000000,00000000000000000000
hand,grab, She grabbed the child 's hand and ran out of the room .,00000000000000000000,00000000000000000000
star,gravitate, The stars gravitate towards each other .,00000000000000000000,00000000000000000000
spice,grind, grind the spices in a mortar .,00000000000000000000,00000000000000000000
woman,grope, He made some sexual advances at the woman in his office and groped her repeatedly .,00000000000000000000,00000000000000000000
man,guard, There will be men guarding the horses .,00000000000000000000,00000000000000000000
possession,guard, Please guard my possessions while I 'm away .,00000000000000000000,00000000000000000000
lava,gutter, The cooling lava continued to gutter toward lower ground .,00000000000000000000,00000000000000000000
rain,gutter, The heavy rain guttered the soil .,00000000000000000000,00000000000000000000
building,gutter, The roofer began to gutter the buildings .,00000000000000000000,00000000000000000000
firewood,heap, heap firewood around the fireplace .,00000000000000000000,00000000000000000000
platter,heap, heap the platter with potatoes .,00000000000000000000,00000000000000000000
boar,hunt, Goering often hunted wild boars in Poland .,00000000000000000000,00000000000000000000
back,hurt, This exercise will hurt your back .,00000000000000000000,00000000000000000000
heat,ignite, Great heat can ignite almost any dry matter .,00000000000000000000,00000000000000000000
gas,ignite, Marsh gases ignited suddenly .,00000000000000000000,00000000000000000000
people,immigrate, Many people immigrated at the beginning of the 20th century .,00000000000000000000,00000000000000000000
head,incline, She inclined her head to the student .,00000000000000000000,00000000000000000000
child,infect, Your children have infected you with this head cold .,00000000000000000000,00000000000000000000
castle,inherit, I inherited a castle from my French grandparents .,00000000000000000000,00000000000000000000
eyesight,inherit, I inherited my good eyesight from my mother .,00000000000000000000,00000000000000000000
glucose,inject, We injected the glucose into the patient 's vein .,00000000000000000000,00000000000000000000
hydrogen,inject, inject hydrogen into the balloon .,00000000000000000000,00000000000000000000
program,interrupt, We interrupt the program for the following messages .,00000000000000000000,00000000000000000000
poland,invade," Hitler invaded Poland on September 1 , 1939 .",00000000000000000000,00000000000000000000
pedal,jam, The driver jammed the brake pedal to the floor .,00000000000000000000,00000000000000000000
mechanism,jam, the mechanism jammed .,00000000000000000000,00000000000000000000
ball,juggle, the player juggled the ball .,00000000000000000000,00000000000000000000
dog,kick, The boy kicked the dog .,00000000000000000000,00000000000000000000
gun,kick, The gun kicked back into my shoulder .,00000000000000000000,00000000000000000000
bird,land, The bird landed on the highest branch .,00000000000000000000,00000000000000000000
airplane,land, the pilot managed to land the airplane safely .,00000000000000000000,00000000000000000000
smuggler,land, The drug smugglers landed the heroin on the beach of the island .,00000000000000000000,00000000000000000000
ship,land, The ship landed in Pearl Harbor .,00000000000000000000,00000000000000000000
book,lay, lay the books on the table .,00000000000000000000,00000000000000000000
water,leak, Water leaked out of the can into the backpack .,00000000000000000000,00000000000000000000
container,leak, The container leaked gasoline .,00000000000000000000,00000000000000000000
rifle,lean, He leaned his rifle against the wall .,00000000000000000000,00000000000000000000
car,lend, I will lend you my car .,00000000000000000000,00000000000000000000
building,level, The building was levelled .,00000000000000000000,00000000000000000000
ground,level, The ground levelled off .,00000000000000000000,00000000000000000000
load,lighten, she lightened the load on the tired donkey .,00000000000000000000,00000000000000000000
room,lighten, The room lightened up .,00000000000000000000,00000000000000000000
truck,load, load the truck with hay .,00000000000000000000,00000000000000000000
gun,load, He loaded his gun carefully .,00000000000000000000,00000000000000000000
bag,load, load the bags onto the trucks .,00000000000000000000,00000000000000000000
bike,lock, Lock the bike to the fence !,00000000000000000000,00000000000000000000
knee,lock, The therapist noticed that the patient 's knees tended to lock in this exercise .,00000000000000000000,00000000000000000000
jewel,lock, She locked her jewels in the safe .,00000000000000000000,00000000000000000000
plane,loop, The stunt pilot looped his plane .,00000000000000000000,00000000000000000000
surface,map, map the surface of Venus .,00000000000000000000,00000000000000000000
galaxy,map, We have n't even begun to map the many galaxies that we know exist .,00000000000000000000,00000000000000000000
piece,match, The two pieces match .,00000000000000000000,00000000000000000000
apple,mellow, These apples need to mellow a bit more .,00000000000000000000,00000000000000000000
wax,melt, The wax melted in the sun .,00000000000000000000,00000000000000000000
ice,melt, The sun melted the ice .,00000000000000000000,00000000000000000000
furniture,mold, The furniture molded in the old house .,00000000000000000000,00000000000000000000
ball,mold, She molded the rice balls carefully .,00000000000000000000,00000000000000000000
aerator,mount, They mounted the aerator on a floating .,00000000000000000000,00000000000000000000
slide,mount, mount slides for macroscopic analysis .,00000000000000000000,00000000000000000000
husband,nag, She nags her husband all day long .,00000000000000000000,00000000000000000000
security,negociate, negociate securities .,00000000000000000000,00000000000000000000
party,negociate, The parties negociated all night .,00000000000000000000,00000000000000000000
solution,neutralize, She neutralized the solution .,00000000000000000000,00000000000000000000
approval,nod, He nodded his approval .,00000000000000000000,00000000000000000000
teacher,nod, The teacher nodded when the student gave the right answer .,00000000000000000000,00000000000000000000
man,nod, The old man was nodding in his chair .,00000000000000000000,00000000000000000000
room,paint, We painted the rooms yellow .,00000000000000000000,00000000000000000000
heart,palpitate, Her violent feelings palpitated the young woman 's heart .,00000000000000000000,00000000000000000000
sign,paste, paste the sign on the wall .,00000000000000000000,00000000000000000000
wall,paste, paste the sign on the wall .,00000000000000000000,00000000000000000000
needle,pierce, The needle pierced her flesh .,00000000000000000000,00000000000000000000
needle,pin, pin the needle to the shirt .,00000000000000000000,00000000000000000000
bug,ping, The bugs pinged the lamp shade .,00000000000000000000,00000000000000000000
bullet,ping, the bullet pinged when they struck the car .,00000000000000000000,00000000000000000000
machine,ping, ping your machine in the office .,00000000000000000000,00000000000000000000
husband,poison, She poisoned her husband .,00000000000000000000,00000000000000000000
drink,poison, Her husband poisoned her drink in order to kill her .,00000000000000000000,00000000000000000000
father,portray, The father is portrayed as a good - looking man in this painting .,00000000000000000000,00000000000000000000
woman,pose, We do n't know the woman who posed for Leonardo so often .,00000000000000000000,00000000000000000000
knocker,pound, the salesman pounded the door knocker .,00000000000000000000,00000000000000000000
water,pour, They poured water over the floor .,00000000000000000000,00000000000000000000
water,pour, They poured water over the floor .,00000000000000000000,00000000000000000000
forest,preserve, preserve the forest and the lakes .,00000000000000000000,00000000000000000000
finger,prick, The nurse pricked my finger to get a small blood sample .,00000000000000000000,00000000000000000000
skin,prick, The needle pricked his skin .,00000000000000000000,00000000000000000000
face,puff, Her faced puffed up from the drugs .,00000000000000000000,00000000000000000000
athlete,pump, The athlete pumps weights in the gym .,00000000000000000000,00000000000000000000
table,push, He pushed the table into a corner .,00000000000000000000,00000000000000000000
woman,push," "" Now push hard "" , said the doctor to the woman .",00000000000000000000,00000000000000000000
crowd,push, The crowd pushed forward .,00000000000000000000,00000000000000000000
sun,radiate, The sun radiates heat .,00000000000000000000,00000000000000000000
heat,radiate, The sun radiates heat .,00000000000000000000,00000000000000000000
police,raid, The police raided the crack house .,00000000000000000000,00000000000000000000
pirate,raid, The pirates raided the coastal villages regularly .,00000000000000000000,00000000000000000000
company,raid, T. Boone Pickens raided many large companies .,00000000000000000000,00000000000000000000
fort,recapture, The military forces managed to recapture the fort .,00000000000000000000,00000000000000000000
prisoner,recapture, They tried to recapture the escaped prisoner .,00000000000000000000,00000000000000000000
bell,recast, The bell cracked and had to be recast .,00000000000000000000,00000000000000000000
sound,reflect, Sound is reflected well in this auditorium .,00000000000000000000,00000000000000000000
road,reflect, Drive carefully -- the wet road reflects .,00000000000000000000,00000000000000000000
image,reflect, her sunglasses reflected his image .,00000000000000000000,00000000000000000000
system,reform, reform a political system .,00000000000000000000,00000000000000000000
tension,relax, relax the tension on the rope .,00000000000000000000,00000000000000000000
bath,relax, A hot bath always relaxes me .,00000000000000000000,00000000000000000000
colleague,relax, our new colleague relaxed when he saw that we were a friendly group .,00000000000000000000,00000000000000000000
man,revive, The doctors revived the comatose man .,00000000000000000000,00000000000000000000
curtain,rip, The curtain ripped from top to bottom .,00000000000000000000,00000000000000000000
plant,root, this plant roots quickly .,00000000000000000000,00000000000000000000
pig,root, the pig was rooting for truffles .,00000000000000000000,00000000000000000000
feather,ruffle, The bird ruffled its feathers .,00000000000000000000,00000000000000000000
surface,ruffle, The wind ruffled the surface of the water .,00000000000000000000,00000000000000000000
fabric,ruffle, The seamstress ruffled the curtain fabric .,00000000000000000000,00000000000000000000
car,ruin, You have ruined my car by pouring sugar in the tank !,00000000000000000000,00000000000000000000
meat,salt, people used to salt meats on ships .,00000000000000000000,00000000000000000000
soldier,salute," When the officers show up , the soldiers have to salute .",00000000000000000000,00000000000000000000
X-ray,scan, the surgeon scanned the X - ray .,00000000000000000000,00000000000000000000
forest,scorch, The wildfire scorched the forest and several homes .,00000000000000000000,00000000000000000000
cat,scrape, The cat scraped at the armchair .,00000000000000000000,00000000000000000000
letter,scrape, They scraped a letter into the stone .,00000000000000000000,00000000000000000000
money,seize, The sales clerk quickly seized the money on the counter .,00000000000000000000,00000000000000000000
book,sell, These books sell like hot cakes .,00000000000000000000,00000000000000000000
shoe,sell, The brothers sell shoes .,00000000000000000000,00000000000000000000
salt,shake, Shake the salt out of the salt shaker .,00000000000000000000,00000000000000000000
dog,shed, Our dog sheds every Spring .,00000000000000000000,00000000000000000000
vessel,shipwreck, The vessel was shipwrecked .,00000000000000000000,00000000000000000000
meteor,shower, Meteors showered down over half of Australia .,00000000000000000000,00000000000000000000
nightingale,sing, The nightingale was singing .,00000000000000000000,00000000000000000000
car,smash, She smashed her car against the guard rail .,00000000000000000000,00000000000000000000
motorcycle,smash, The motorcycle smashed into the guard rail .,00000000000000000000,00000000000000000000
meat,smother, smother the meat in gravy .,00000000000000000000,00000000000000000000
cocaine,snort, The addict was snorting cocaine almost every day .,00000000000000000000,00000000000000000000
seed,sow, She sowed sunflower seeds .,00000000000000000000,00000000000000000000
ground,sow, sow the ground with sunflower seeds .,00000000000000000000,00000000000000000000
word,spell, How do you spell this word ?,00000000000000000000,00000000000000000000
water,splash, She splashed the water around her .,00000000000000000000,00000000000000000000
water,splash, She splashed the water around her .,00000000000000000000,00000000000000000000
tablecloth,spot, The wine spotted the tablecloth .,00000000000000000000,00000000000000000000
dress,spot, This dress spots quickly .,00000000000000000000,00000000000000000000
area,spot, spot the areas that one should clearly identify .,00000000000000000000,00000000000000000000
water,spray, Water sprayed all over the floor .,00000000000000000000,00000000000000000000
water,spray, spray water on someone .,00000000000000000000,00000000000000000000
wall,spray, spray the wall with paint .,00000000000000000000,00000000000000000000
cheese,spread, spread cheese on a piece of bread .,00000000000000000000,00000000000000000000
infection,spread, the infection spread .,00000000000000000000,00000000000000000000
oil,spread, A big oil spot spread across the water .,00000000000000000000,00000000000000000000
wood,square, square the wood with a file .,00000000000000000000,00000000000000000000
man,stagger, The drunken man staggered into the room .,00000000000000000000,00000000000000000000
chair,stagger, The architect decided to stagger the chairs in the lecture hall .,00000000000000000000,00000000000000000000
water,stagnate, There are marshes that stagnate the waters .,00000000000000000000,00000000000000000000
blood,stagnate, blood stagnates in the capillaries .,00000000000000000000,00000000000000000000
letter,stamp, Are the letters properly stamped ?,00000000000000000000,00000000000000000000
animal,stampede, Thunderbolts can stampede animals .,00000000000000000000,00000000000000000000
ship,steam, The ship steamed off into the Pacific .,00000000000000000000,00000000000000000000
vegetable,steam, just steam the vegetables .,00000000000000000000,00000000000000000000
road,steamroller, steamroller the road .,00000000000000000000,00000000000000000000
nose,stuff, My nose is all stuffed .,00000000000000000000,00000000000000000000
pillow,stuff, stuff a pillow with feathers .,00000000000000000000,00000000000000000000
turkey,stuff, Have you stuffed the turkey yet ?,00000000000000000000,00000000000000000000
poison,suck, suck the poison from the place where the snake bit .,00000000000000000000,00000000000000000000
belly,swell, The bellies of the starving children are swelling .,00000000000000000000,00000000000000000000
wood,swell, The water swells the wood .,00000000000000000000,00000000000000000000
snake,swim, this snake swims through the soil where it lives .,00000000000000000000,00000000000000000000
notice,tack, tack the notice on the board .,00000000000000000000,00000000000000000000
boat,tack, The sailors decided to tack the boat .,00000000000000000000,00000000000000000000
baby,talk, The baby talks already .,00000000000000000000,00000000000000000000
garlic,taste, Can you taste the garlic ?,00000000000000000000,00000000000000000000
wine,taste, We tasted wines last night .,00000000000000000000,00000000000000000000
state,tax, The State taxes alcohol heavily .,00000000000000000000,00000000000000000000
muscle,tense, the bodybuilder 's neck muscles tensed .,00000000000000000000,00000000000000000000
victim,tie, They tied their victim to the chair .,00000000000000000000,00000000000000000000
fly,tie, The fishermen tied their flies .,00000000000000000000,00000000000000000000
tree,top, A star tops the Christmas Tree .,00000000000000000000,00000000000000000000
tower,top, The towers were topped with conical roofs .,00000000000000000000,00000000000000000000
outline,trace, trace the outline of a figure in the sand .,00000000000000000000,00000000000000000000
deer,trace, The hunters traced the deer into the woods .,00000000000000000000,00000000000000000000
energy,transform, It can transform energy to light .,00000000000000000000,00000000000000000000
grape,tread, tread grapes to make wine .,00000000000000000000,00000000000000000000
bird,tread, male birds tread the females .,00000000000000000000,00000000000000000000
camp,trench, He trenched his military camp .,00000000000000000000,00000000000000000000
letter,trench, letters trenched into the stone .,00000000000000000000,00000000000000000000
soldier,trench, trench the fallen soldiers .,00000000000000000000,00000000000000000000
chain,tug, The prisoner tugged at the chains .,00000000000000000000,00000000000000000000
freighter,tug, The tugboat tugged the freighter into the harbor .,00000000000000000000,00000000000000000000
cart,tug, The horse finally tugged the cart out of the mud .,00000000000000000000,00000000000000000000
shoulder,twist, The wrestler twisted his shoulder .,00000000000000000000,00000000000000000000
cord,twist, The cord is all twisted .,00000000000000000000,00000000000000000000
vine,uproot, They plan to uproot the vine that has spread all over the garden .,00000000000000000000,00000000000000000000
fortune,vest, She vested her vast fortune in her two sons .,00000000000000000000,00000000000000000000
property,vest, The property vests in the trustees .,00000000000000000000,00000000000000000000
paris,visit, Did you ever visit Paris ? .,00000000000000000000,00000000000000000000
relative,visit," Every summer , we visited our relatives in the country for a month .",00000000000000000000,00000000000000000000
ball,volley, They began to volley the tennis ball .,00000000000000000000,00000000000000000000
pig,wallow, pigs were wallowing in the mud .,00000000000000000000,00000000000000000000
yellow,wear, She was wearing yellow that day .,00000000000000000000,00000000000000000000
hair,wear, wear one 's hair in a certain way .,00000000000000000000,00000000000000000000
melody,whistle, She whistled a melody .,00000000000000000000,00000000000000000000
child,wrestle, The children wrestled in the garden .,00000000000000000000,00000000000000000000
person,breathe, I can breathe better when the air is clean .,00000000000000000000,00000000000000000000
wine,breathe, This rare Bordeaux must be allowed to breathe for at least 2 hours .,00000000000000000000,00000000000000000000
drawing,color, The child colored the drawings .,00000000000000000000,00000000000000000000
dictionary,computerize, Please use a computerized disctionary .,00000000000000000000,00000000000000000000
cup,engrave, engraved the trophy cupt with the winner 's .,00000000000000000000,00000000000000000000
volcano,erupt, Vesuvius erupts once in a while .,00000000000000000000,00000000000000000000
lens,grind, grind lenses for glasses and cameras .,00000000000000000000,00000000000000000000
woman,lean, She leaned over the banister .,00000000000000000000,00000000000000000000
man,march, He marched into the classroom and announced the exam .,00000000000000000000,00000000000000000000
man,peep, He peeped at the woman through the window .,00000000000000000000,00000000000000000000
painter,portray," Goya wanted to portray his mistress , the Duchess of Alba .",00000000000000000000,00000000000000000000
finding,preserve, We preserve these archeological findings .,00000000000000000000,00000000000000000000
ocean,sail, We sailed the Atlantic .,00000000000000000000,00000000000000000000
