,sentence,correct_label,verb,verb_idx,prediction
91,"Who could have guessed that the expansion would be rolling relentlessly through a sixth straight year , with no end in sight ",1,roll,9,1
92,"Mr. Cossa 's grain bin may be filling up , but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting in the countryside ",1,fill,7,1
93,"In Mr. Kupfer 's '' Ring , '' a nuclear war has melted most of the world and made shopping difficult ",1,melt,12,1
94,"They never say excuse me , '' says Jacqueline Yun , a crop - haired Korean - American , as she drags on a cigarette ",1,drag,21,1
95,"'' Of course , the bondholders will have to ask : Is dissolving the company better than reorganization ? '",1,dissolve,12,1
96,"Domestic private consumption has been eating up about $ 3 billion or more a year , even during the war ",1,eat,5,1
97,Who will now step into this maw is a question the company does n't have much time to puzzle over ,1,step,3,1
98,"Jordan , with a flagging economy and a 4.2 % annual birth - rate , could n't absorb another influx of refugees no matter how sympathetically it viewed their plight ",1,absorb,17,1
99,"Money managers who pattern their portfolios on this index usually buy the new additions , causing a flurry of activity and pumping up the price of the shares ",1,pump,21,1
100,"'' If Roger had purposely set out to destroy all morale in what was once the most confident and secure company going , he could n't have done a better job , '' Mr. Lee quotes an unnamed GM executive ",1,destroy,8,1
101,"Her daughter demanded that she keep silent , telling her , '' You wo n't have a home to sleep in if you say anything about this . '",1,sleep,19,1
102,"'' This issue touches all Californians -- it 's the biggest economic prop around -- and he 's got to deal with it , '' says Mervin Field , the non - partisan California pollster ",1,touch,3,1
103,"Among the hundreds of pages of affidavits and depositions filed by the SEC with a federal court in New York earlier this week are sworn statements by six of Mr. Wang 's colleagues in Morgan Stanley 's mergers and acquisitions department indicating that he was intimately familiar with much of their work , and sometimes may have pumped them for details ",1,pump,57,1
104,"In Washington , former Treasury Secretary James A. Baker and former Federal Reserve Board Chairman Paul A. Volcker , architects of the present flagging international debt strategy , have both stepped down ",1,step,30,1
105,"In a news conference on their first day in office , the executives said they plan '' to stick closely '' to the strategic direction of Mr. Marous 's predecessor , Douglas D. Danforth , who retired ",1,stick,18,1
106,"Black & Decker Corp. stepped up pressure on American Standard Inc . , indicating that it might further sweeten its $ 65-a - share bid if financial information supports a higher figure ",1,step,4,1
107,"With their boss routinely delving into the nuts and bolts of prospective projects -LRB- he likes to '' kick the tires , '' says a colleague -RRB- , Mr. Schwartz 's team of 20 people spends roughly two - thirds of their time analyzing alternative proposals ",1,kick,18,1
108,"'' The hot weather just about melted him away , '' Mr. Corbett says with a sigh ",1,melt,6,1
109,"Mr. Norris added that silver 's sharp fall can be attributed to a series of technical levels that it hit , touching off heavy selling by commodity funds ",1,touch,21,1
110,Mr. Marino said the the mechanism calls for debt service to be met from property and sales tax revenue that flows through the state comptroller 's office before being diverted to city coffers ,1,flow,20,1
111,"What they are pushing is elimination or weakening of cost - of - living clauses , greater links between compensation and corporate performance , and more emphasis on lump - sum payments that do n't step up the wage base ",1,step,35,1
112,We told you the truth and we stepped up to those issues . ',1,step,7,1
113,"At age eight , he wrote a story about people , somewhere far away , who ate stars hatched from purple pebbles ",1,eat,16,1
114,"Major retailers have become very good at playing competing manufacturers against one another to obtain free display fixtures , cooperative advertising , extended payment terms and other concessions , as well as price discounts , he said ",1,play,7,1
115,"'' We do n't know which he painted first , the deformity or the sweep of her flowing hair , '' he says firmly ",1,flow,17,1
116,"In the latter instance , a man dressed as Christ and dragging a cross was in the demonstration ",1,drag,11,1
117,"Coincidence perhaps , but within 48 hours , Ms. Fox says , it rained here ",1,rain,13,1
118,"When it finally rained , it was a letdown . '",1,rain,3,1
119,"Neither man is currently a government official , but the idea of a reprise of Mr. Kissinger 's famed opening to China in the early 1970s is so tantalizing that the rumor refuses to die ",1,die,34,1
120,Cautious bureaucrats drag their feet while progressive colleagues and scientists urge reform ,1,drag,2,1
121,"The upper classes do not take food or water from them nor sit , eat or drink with them ",1,drink,16,1
122,"Meanwhile , law - enforcement officials said that investigators are examining the fierce competition that developed between military contractors over a $ 168.9 million contract to build a prototype surveillance blimp for the Navy ",1,examine,10,1
123,NASA partisans blame the administration for allowing the civilian space agency to drift and deteriorate through the 1980s while pouring vast sums into the Pentagon ,1,pour,19,1
124,"Perhaps the Logan regulators have made themselves a bed they can not sleep in , suggests Mr. Smith : '' An ideology of radical egalitarianism that sees people as uniform blocks of mud is what gives you the idea that 200 scouts are better than two CEOs . '",1,sleep,12,1
125,He said he hoped the new exam would help put to rest recurring charges by teacher unions and others that existing teacher tests do n't accurately assess classroom skills and are unfair to minorities ,1,rest,11,1
126,"In light of all this , you might expect the government here to pour millions into science ",1,pour,13,1
127,"He now says that specialty retailing fills the bill , but he made a number of profitable forays in the meantime ",1,fill,6,1
128,"Big technology stocks , hit hard by yesterday 's downturn on Wall Street , dragged down the main over - the - counter market indicators ",1,drag,14,1
129,"China poured tens of thousands of dollars into producing the country 's first batch of U.S .- trained M.B.A.s , including Mr. Wang ",1,pour,1,1
130,"The GAO was also to examine if the law has caused excessive red tape for employers , and if the law is being implemented well ",1,examine,5,1
131,"There was no immediate claim of responsibility , but police said the bomb was probably planted by Sinhalese extremists in retaliation for the restaurant owner 's defiance of a call for a general strike ",1,plant,15,1
132,"This weapon could be extremely powerful , perhaps ideal for the European battlefield -- simply put attacking troops to sleep ",1,sleep,19,1
133,"'' Cold water has been poured on the market and any advance has been stopped dead in its tracks , '' one dealer said ",1,pour,5,1
134,"In 1985 and 1986 , when pictures of rioting blacks and rampaging white policemen filled television screens around the world , the perception was that South Africa 's white - dominated government was losing its grip ",1,fill,14,1
135,"Pressure mounted on Pakistan to sign an accord aimed at securing the withdrawal of about 115 , 000 Soviet troops from neighboring Afghanistan , but Islamabad appeared to be sticking to its demand for a new government in Kabul to oversee the pullout ",1,stick,29,1
136,"An example : Last fall , Joseph Biden 's campaign was destroyed after a leaked videotape showed similarities between his speech and one given by British Labor Party leader Neil Kinnock ",1,destroy,11,1
137,"The clash of goals is rare in postwar Japan , where consensus has enabled banks and industry to flourish ",1,flourish,18,1
138,"A purported $ 16-a - share offer for Superior Industries International Inc. evaporated yesterday after a flurry of activity in which one supposed player , Prudential - Bache Securities Inc . , denied it had authorized such a buy - out offer ",1,evaporate,12,1
139,"The storm killed about 100 people on land , and left more than 100 , 000 homeless ",1,kill,2,1
140,"Thus , while government officials concede apartheid must die , they ca n't bring themselves to kill it ",1,die,8,1
141,"Elise holds out empty arms , pleading with Andrew to fill them , but the chasm is too wide , the distance traveled in different directions too great ",1,fill,10,1
142,Texas Air said the sale of the hourly New York - Boston - Washington shuttle is intended to pump cash into long - ailing Eastern ,1,pump,18,1
143,"Richard Boyle , vice chairman of Chase Manhattan Corp . , avoids serious business when eating in with staffers ; '' I do n't want to give people indigestion , '' he explains ",1,eat,15,1
0,"Unfortunately , they wo n't work in the harbor tunnel where business travelers sometimes get stuck on the way in from the airport . . . ",1,stick,15,1
1,"MISSED CONNECTIONS : If you 're bound for Denver but get stuck in Detroit for the night because of a missed connection , do n't expect the airline to help ",1,stick,11,1
2,It also vindicates Pratt 's efforts to fix problems in customer service that contributed to its loss of dominance in the commercial jet engine field to General Electric Co ,1,fix,7,1
3,"A surprisingly strong October employment report , implying that the economy is n't cooling off as fast as many investors had hoped , could force a sharp retreat in stock prices today , he said ",1,cool,13,1
4,"One look at her pudgy face , shot to make her seem like a powder - brained Kewpie doll , vaporizes whatever credibility Jamie 's anguish might have had ",1,vaporize,20,1
5,"Weeks later , '' Penthouse finally realized that Dominion was intentionally destroying the deal , '' sought other financing , failed , and had to abandon the project , the judge said ",1,destroy,11,1
6,It recently sued a small local factory that was knocking off its knock - off with a game called Entrepreneurs ,1,knock,9,1
7,It poured into the vacuum created by the collapse of a Keynesian mainstream that had no explanation for simultaneous stagnation and inflation ,1,pour,1,1
8,"The report cooled bullish sentiment brought about by a smaller Brazilian crop this year , analysts said ",1,cool,2,1
9,The stock has risen more than 17 % in less than two weeks on stepped up volume ,1,step,14,1
10,"It is to correct for such gaps in market operations -LRB- or '' externalities , '' as economists call them -RRB- that governments have a responsibility to step in and lend a helping hand ",1,lend,30,1
11,But Madison Avenue 's interest in Mr. Tyson is cooling because of the barrage of negative publicity about an alleged suicide attempt and his stormy marriage to actress Robin Givens ,1,cool,9,1
12,"After years of being out of work and on welfare , many of the unemployed now lack the ability or initiative to fill openings ",1,fill,22,1
13,"She 's been able to stick to this policy , largely because of the nature of her music ",1,stick,5,1
14,They also became a major element in the more - than - doubling of the Nikkei average in the two years to last October because of the huge amount of money they pumped into the market ,1,pump,32,1
15,"Some say interest rates may have to rise further to cool domestic demand , while others say the problem is more deep - rooted and requires greater investment by United Kingdom industry ",1,cool,10,1
16,"By 9 a.m . , the cadets are off to class , batlike figures in dark , flowing rain capes , black briefcases clutched with precision in their left hands ",1,flow,17,1
17,"The Soviet Union is unwilling and unlikely to miss the deadline for withdrawing all its troops from Afghanistan , despite its latest blustering and military maneuvering there , Western and Soviet officials indicated ",1,miss,8,1
18,"'' I found myself sleeping out on the steps in boot camp , '' he recalls ",1,sleep,4,1
19,"Last month , Thiokol said it settled the last suit with the estates of the seven crew members killed in the Challenger ",1,kill,18,1
20,Incumbent Spyros Kyprianou was knocked out in voting last week ,1,knock,4,1
21,"Those progressive cities now building or planning transit systems for the next century are not viewing the scene from an ivory tower but realize , in a practical sense , that better transit is vital not only for the millions of Americans who currently step onto a transit bus or train over 8.3 billion times each year , but also to their future citizens as well ",1,step,44,1
22,Seagram must decide by Feb. 9 whether to come up with a higher offer that would knock Grand Met out of the bidding war and frustrate its expansion strategy ,1,knock,16,1
23,Charity officials say they need trustees who are willing to roll up their sleeves and work for the organization and who will back up their commitment with donations ,1,roll,10,1
24,"This provides greatly enhanced trouble - shooting capabilities when something does go wrong , and can even be used to automatically switch in a good spare card if something does die ",1,die,30,1
25,"The Japanese carrier was shaken in 1985 by a crash of a JAL Boeing 747 that killed 520 people , the worst single - aircraft accident in aviation history , and safety is a central issue in JAL 's current negotiations with several unions ",1,kill,16,1
26,"It is '' Hotlanta '' : capital city of the South at a time when the South has risen ; city of myriad services at a time when the service economy rules ; city of the 1980s , more suburban than downtown , more footloose than fixed ",1,fix,46,1
27,"In Louisiana , CIT was stuck with repossessed ships that had supplied drilling platforms in the Gulf of Mexico ",1,stick,5,1
28,"Orion , a contract carrier which formerly flew for United Parcel Service , had agreed to replace Eastern pilots if they followed the machinists on a walkout ",1,fly,7,1
29,"But if all sides discover self - interest in moving toward effective control of the toxics problem , instead of sticking grimly to their familiar trenches , the results will be as remarkable as the law itself ",1,stick,20,1
30,Real power still rests with Pretoria just as it does with Jerusalem ,1,rest,3,1
31,"Every time it rained , the family placed cups and bowls all over the house to catch the leaks ",1,rain,3,1
32,"And Mr. McGegan , who does n't mince words when he dislikes something or someone -LRB- he called the countertenor in his recent Long Beach production '' awful '' -RRB- , said he was knocked out by Mr. Davies 's strangely articulated yet strikingly clear conducting of Beethoven 's '' Eroica '' Symphony ",1,knock,34,1
33,"London share prices finished a bumpy session little changed Monday , after the market stumbled on news of an unexpected rise in U.K. interest rates ",1,stumble,14,1
34,"The Peloponnesian War , that devastating conflict between Sparta and Athens that broke out in 431 B.C. and dragged on until 404 B.C . , has long been regarded as the turning point in the career of the Athenian experiment in democracy ",1,drag,18,1
35,"The spokesman said , however , that the plane was transmitting an identifying signal usually associated with civilian aircraft when a U.S. cruiser fired two missiles and killed all 290 aboard ",1,kill,27,1
36,Mr. Tennyson said it 's unfair that foreign cigarette manufacturers who advertise through U.S. magazines will escape the ban ,1,escape,16,1
37,It just eats your soul . ',1,eat,2,1
38,The study also showed that different organisms ' stress proteins are chemically similar - raising the possibility that vaccines made with the proteins might prime immune cells to target many disease - causing organisms ,1,target,28,1
39,Mr. Davis says he has been flooded with requests for berths on future flights since announcing the October launch ,1,flood,6,1
40,"It is to correct for such gaps in market operations -LRB- or '' externalities , '' as economists call them -RRB- that governments have a responsibility to step in and lend a helping hand ",1,step,27,1
41,"His inadequacy , vacillation and -LRB- a favorite -RRB- '' imbecility '' were widely condemned , along with his intellect , or lack of it : '' You can not . .. fill his . .. empty skull with brains . '",1,fill,32,1
42,"Eastern Airlines Inc. is stepping up its marketing war in the busy , competitive Northeast shuttle - service market , offering discounts of as much as 30 % for passengers buying tickets in bulk ",1,step,4,1
43,The clearance came as a notary approved Ferruzzi 's plan to absorb Iniziativa Me . T.A ,1,absorb,11,1
44,"The generally accepted reason for the softening of TPA sales is that wholesalers filled their distribution pipeline , and hospital usage now is coming out of wholesalers ' stocks of the drug -- not new sales , Ms. Behrens said ",1,fill,13,1
45,But he grasped the potential of putting the two together ,1,grasp,2,1
46,"He did n't stick around to explain why , but the Soviet vaulters later complained of tricky winds , and Bubka blamed them for his passing on the 20-foot barrier ",1,stick,3,1
47,"Making the Paris - Dakar rally less perilous , Mr. Sabine says , might kill it ",1,kill,14,1
48,An earthquake that shook Los Angeles in October knocked out computer equipment at California Federal Savings and Loan Association ,1,knock,8,1
49,But there were stumbling blocks from the start ,1,stumble,3,1
50,"The insurance industry , facing mounting competition on several fronts , is undergoing a personnel and cost retrenchment such as those that have struck the securities and banking industries ",1,strike,23,1
51,He stumbled on a new act while attending a tent revival in Oklahoma in 1968 ,1,stumble,1,1
52,"At state dinners , the president pours wine for his guests , but in adherence to Islam never touches a drop himself ",1,touch,18,1
53,"The music was really flowing , finally ",1,flow,4,1
54,"Bush and Dukakis should be asked to clarify where they stand on this important distinction , for it 's clear that the real work of fixing the schools will fall to local politicians and school boards ",1,fix,25,1
55,"In a statement , Mr. Kennedy announced that the raise would '' fix '' the promise of a living wage made 50 years ago when the minimum wage was created -- a promise he says was broken by the Reagan administration ",1,fix,12,1
56,"Mr. Questrom 's appointment comes two months after he stepped down as vice chairman of Federated Department Stores , following its takeover by Campeau Corp. Acclaimed by analysts , Mr. Questrom is lauded for the revival of two ailing Federated divisions : Rich 's Department Stores in Atlanta and Bullock 's Bullock 's Wilshire in Los Angeles ",1,step,9,1
57,"Out - of - home entertainment -- such as films , sporting events , eating out , dancing , theater , shopping and amusement parks -- was a leisure - time activity for 43 % of respondents . -LRB- The survey included multiple responses . -RRB-/-R",1,eat,14,1
58,"As in 1913 , private capital flows among the principal industrial economies are now huge relative to official reserves and to the underlying flow of commodity trade ",1,flow,23,1
59,"The article cited by many traders for kicking off Monday 's rally appeared in the Sunday Times of London and was written by Goldman Sachs 's London - based chief international economist , David Morrison , an influential exchange - rate forecaster ",1,kick,7,1
60,"But after several months of talks with each other and with clients , their ardor has cooled considerably ",1,cool,16,1
61,'' It seemed to me an enormously powerful tool if you could knock out a gene responsible for a virus or cancer . ',1,knock,12,1
62,"Already , he has changed the French political landscape in a way that may be more long - lasting than the Reagan Revolution in the U.S. Building the Socialist Party from scratch in 1971 , Mr. Mitterrand went on to prove that a leftist could get elected without France 's flying apart ",1,fly,50,1
63,'' That would have an impact on aid flowing to El Salvador . ',1,flow,8,1
64,Mr. Brooks tape - recorded one of the men present at the meeting saying that he believes Indians ritualistically kill and mutilate one another ,1,kill,19,1
65,The good times for the Rev. Jesse Jackson may roll on -- and neither his rivals for the Democratic presidential nomination nor other party heavyweights have the temerity to try to break up the celebration ,1,roll,9,1
66,Salsa and rap music pour out of the windows ,1,pour,4,1
67,"While manned launches , such as that of the space shuttle last week , still grab occasional headlines , industry observers are focusing more and more on the moves of trade negotiators ",1,grab,15,1
68,"Their ambassador , Oleg Sokolov , speaks fluent English , goes to prayer breakfasts with President Corazon Aquino , and gives smooth interviews to the Philippine press in which he urges the country to kick out the Americans and get friendlier with Moscow ",1,kick,34,1
69,"'' We are very pleased to put this issue to rest , '' Mr. Fish said ",1,rest,10,1
70,"Still , market participants say the firmer U.S. interest rates will lend support to the dollar if tomorrow 's report shows that the trade gap widened in June ",1,lend,11,1
71,"With the Pledge , the furlough program and the ACLU , they pumped some genuine voter concerns into the election ",1,pump,12,1
