sentence,correct_label,verb,verb_idx,prediction
"Terry Knowles , special agent in charge of the Sacramento FBI office , declined to say why California was targeted or provide other details ",0,target,19,0
"'' We encourage our people as much as we can to fly on United Airlines and eat Kellogg cereals , '' says Jack Ryan , executive vice president of Leo Burnett Co . , which also handles advertising for GM 's Oldsmobile division ",0,eat,16,0
"Colombia signed a $ 1 billion loan with 112 of its bank creditors , showing that banks still are willing to lend to the more - creditworthy Latin American countries ",0,lend,21,0
"Under the pact , Ashland will treat the contaminated soil , and it will pump and treat ground water to meet drinking - water standards , among other things ",0,pump,14,0
"Peter Lynch , who runs Fidelity Investments ' mammoth Magellan Fund , said the recent performance of the big funds , which stumbled badly late last year , should shoot down the theory that they are '' over the hill . '",0,stumble,22,0
The rest would go to more than 30 international banks that lent the National Bank money before it was seized and closed by Brunei in November 1986 ,0,lend,11,0
"Like tiny beacons at night , alligators ' eyes reflect a brilliant red when struck by a beam of light ",0,strike,14,0
But critics say too much competition is emerging in the business for the tiny population targeted ,0,target,15,0
Some are trying to escape childhoods troubled by missing fathers or drug - addicted mothers ,0,escape,4,0
"Carl C. Icahn , Texaco Inc. 's major shareholder , sued to dissolve the company 's agreement with Pennzoil Co. that bars Pennzoil from supporting his reorganization plan for Texaco ",0,dissolve,12,0
Mr. Andrews ate rancid mutton fat and drank mare 's milk in the Gobi with the best and worst of them ,0,drink,1,0
Part of the drop was attributed to the lessening severity of Hurricane Gilbert and expectations it would miss major U.S. oil facilities ,0,miss,17,0
"In seats of supple leather , Belgian students drink wine and listen to personal stereos ",0,drink,8,0
"'' I was so happy that I practically danced back into the house , '' Mr. Popejoy says ",0,dance,8,0
The debate for the rematch was so withering that Nissan Motor Co. used a news clip of Mr. Tucker 's criticisms in its bid to keep the UAW out of its Tennessee plant ,0,wither,7,0
"The only thing certain is that a Korean merchant wholly dependent on the good will of his customers would be crazy to attack a black grandmother in a virtually all - black neighborhood -- and Mr. Chung , who cleaned fish for three years to scrape together the money to buy his market , seems anything but crazy ",0,attack,22,0
"The media have given him a ticket to ride , but they 're unlikely to leave him in the driver 's seat for long ",0,ride,8,0
"And if occupancy ran low , the administrator would just let the doctors know and the beds would fill up ",0,fill,18,0
"First Federal was then to absorb several other troubled thrifts in federally assisted mergers , as part of the Federal Savings and Loan Insurance Corp. 's so - called Southwest Plan to rescue the many ailing savings and loans based in the region ",0,absorb,5,0
"He said these proposals '' ought always to be listened to with great precaution , and ought never to be adopted till after having been long and carefully examined , not only with the most scrupulous , but with the most suspicious attention ",0,examine,28,0
"The funds rate , which is the rate on reserves that banks lend each other overnight , strongly influences many other rates , including those that dealers must pay to finance their bond holdings ",0,lend,12,0
And they die anyway . ',0,die,2,0
"Virginia Belden , who sells vacuum cleaners and sewing machines at the Towne East store , however , frets that some shoppers might miss the thrill of getting a bargain ",0,miss,23,0
"The EPA 's current emission standard for radium is five picocuries per liter , a standard that corresponds to a risk whereby one of 10 , 000 people exposed to such an emission level over a lifetime would die ",0,die,38,0
"In June 1986 , the Department of Correction announced that killer William Horton had escaped while on a weekend off from prison -- his 10th furlough ",0,escape,14,0
"The federal judge , while backing the pill last week , has left open the possibility he might strike it down at a later date under different conditions ",0,strike,18,0
"Prompted by news reports of alleged misappropriation of funds , the SEC visited the firm 's New York headquarters last week with the intention of examining business records ",0,examine,25,0
"These Protestants retaliate by physically attacking Catholics , Mr. Donnelly says ",0,attack,5,0
"However , there is no targeting to areas where soil erosion affects watersheds ",0,target,5,0
Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was struck by two Exocets -RRB- ,0,attack,8,0
"Few things give him more satisfaction now , it seems , than the hundreds of roses , fruit trees and berry bushes the 57-year - old Mr. Lance and a grandson have planted together ",0,plant,32,0
"Federated 's board , following an all - day meeting yesterday , is expected to direct its financial advisers to examine alternatives to the Campeau bid , the sources said ",0,examine,20,0
"By hitching a ride on these proteins , drugs can be very narrowly targeted to attack diseased cells , Mr. McCamant says ",0,attack,15,0
"He notes that Iraq defused American anger last year by offering to pay damages after an Iraqi jet fighter mistakenly fired at the frigate USS Stark , killing 37 seamen ",0,kill,27,0
"'' I do n't think we could carry Iowa even if it rains every day , '' says Washington GOP consultant Eddie Mahe , who stayed out of the GOP nomination contest but will work for Mr. Bush this fall ",0,rain,12,0
But I think it would be wise for all Americans to remember that the British were ruthless colonial masters wherever the Union Jack flew . -LRB- We fought the Revolutionary War over the issue . -RRB-/-R,0,fly,23,0
"And so long as one - third of the black population is mired in poverty , blacks will not hear of dismantling programs that enabled so many within their ranks to escape poverty in the first place ",0,escape,31,0
"Nikko 's Mr. Axilrod predicts the central bank will try to hold the interest rate on federal funds -- the closely watched rate on reserves that banks lend each other overnight -- at about 6 1 2 % , down from the 6 3 4 % rate in recent weeks ",0,lend,27,0
"To fill these growing gaps , Congress increasingly has turned to employers to expand coverage to even more employees and non - employees ",0,fill,1,0
"Currently , if they do n't plant an allotted percentage of their so - called crop base with subsidized crops , the government penalizes them the next year by reducing the size of their base , thus cutting their subsidy payments ",0,plant,6,0
"Among those who drink alcoholic beverages world - wide , 8 % consume daily amounts that are damaging to their health and to society ",0,drink,3,0
"So far , two participants have died , a child has apparently been struck and killed , two racers have received paralyzing injuries and close to 30 more have been seriously hurt ",0,strike,13,0
At that level the department could permit farmers in the government program to plant on more land ,0,plant,13,0
But he said Cigna 's after - tax gain wo n't be material because the company will absorb certain deferred taxes of the division ,0,absorb,17,0
Most - Remarkable Injury -- Angels outfielder Chili Davis dislocated a toe when he kicked a chair after popping out in a June 26 home game against Milwaukee ,0,kick,14,0
"Many American firms are stumbling badly , and most of their problems appear to stem from their mistaken assumption that what works at home will work in Britain ",0,stumble,4,0
"They appear in the internecine killing between different mafia groups , and the killing of judges , journalists , police and government leaders opposed to the drug traffic ",0,kill,5,0
"Iran said its jets bombarded an Iraqi military base and oil refinery in Baghdad , and Iraq said its forces attacked 10 Iranian towns ",0,attack,20,0
The finding of the crack could prompt a re - examination of the struts on the rockets used for Discovery to ensure that cracks have n't been missed there ,0,miss,27,0
Another major Japanese concern is that any mold that slips throught U.S. screening procedures would flourish during the long passage to Japan ,0,flourish,15,0
His native caution strikes a responsive chord with the average German ,0,strike,3,0
"Data rooms opened this week , and for each of the eight packages , at least 10 companies plan to examine the information , Mr. Ketelsen said ",0,examine,20,0
"Nothing Like the Sun '' left you relatively cool , you wo n't want to miss these concerts featuring the former Police chief and his hot new band ",0,miss,15,0
"News of Mr. Bilzerian 's filing , under the Hart - Scott - Rodino Antitrust Act , knocked FlightSafety 's stock up $ 2.25 a share yesterday to close at $ 26.75 in New York Stock Exchange composite trading ",0,knock,17,0
But that bid withered after the Oct. 19 stock market crash ,0,wither,3,0
"An estimated 18 , 100 Americans will die from it this year , making the disease the fifth - greatest cause of cancer deaths ",0,die,7,0
I confess I fear word will get out that '' the man in the green house is a soft touch '' -- and that I will soon have several '' Clints '' knocking on my door ,0,knock,32,0
But Sen. Quayle stumbled twice during the day trying to explain his decision to enter the National Guard in 1969 during the Vietnam War ,0,stumble,3,0
"He said incinerator temperatures of as much as 1 , 000 degrees Celsius are enough to destroy the mineral ",0,destroy,16,0
"Then again , other gases might cause a lot of clouds to form , blocking sunlight and cooling things off ",0,cool,17,0
Or marvelously grisly -LRB- like Trotsky careening around with his assassin 's pickax stuck in his head ; or the male hustler brutally bludgeoning Latin heartthrob Ramon Novarro -RRB- ,0,stick,13,0
Mr. Paulson also flew over China ,0,fly,3,0
We begged his mother for months to let us take him into Nha Trang and have it fixed ,0,fix,17,0
A countywide sewage - treatment plant recently began operations here ; the smell in a nearby neighborhood is so awful that one teen - age girl says she ca n't eat at home ,0,eat,30,0
"Most of the banks specifically have targeted marketing campaigns at profitable small companies . -LRB- Separately , Dai - Ichi Kangyo said it will name Ichiro Nakamura , now a vice president , as chairman , succeeding Tetsuya Fujimori ",0,target,6,0
'' I have long suspected that more people are sleeping apart because of snoring than are sleeping together for all other reasons combined . ',0,sleep,16,0
"The size of a Dalmatiner , these horses were ridden by teen - age boys dressed up as Valkyries to give an illusion of distance in the first production of the '' Ring . '",0,ride,9,0
"Since then , Mr. Cahouet has filled nearly every major spot in Mellon 's upper management with executives from New York and West Coast banking centers ",0,fill,6,0
"'' Nothing less than targeted , mandated reductions in acid - rain emissions in the U.S . '' will satisfy Canada , Mr. Mulroney said in his prepared remarks ",0,target,4,0
"Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to fill the vacancies ",0,fill,22,0
"Spring potatoes have been planted on 81 , 900 acres , down 1 % from last year but up 6 % from two years ago ",0,plant,4,0
"Lots of people ride bicycles , joggers are out in fair numbers , and the last time I passed a tennis complex , all the courts were full ",0,ride,3,0
"In retelling the story of Freud 's life and work , Peter Gay plows a furrow already dug deep by many previous Freud biographers and historians of psychoanalysis ",0,plow,13,0
"Of course , none or only some of the rules apply to Utah 's private clubs -LRB- open to out - of - towners at a $ 5 fee -RRB- and beer bars , which sell setups and uncork wine but ca n't touch the liquor that you are free to bring in ",0,touch,43,0
"British farmers flourish under the EC 's Common Agriculture Policy , and its food companies have grown to global giants , in part because of EC markets ",0,flourish,2,0
"The solvent failed to dissolve non - cholesterol gallstones in two patients , however ",0,dissolve,4,0
Israeli warplanes destroyed a PLO base in a Druse - held hilltop above Beirut in Israel 's deepest air raid into Lebanon this year ,0,destroy,2,0
"And when Mr. Chirac did get an opponent , he attacked the Francois Mitterrand of 1981 , not the one of 1988 ",0,attack,10,0
"If dry weather cuts normal production by just three bushels an acre , the nation 's soybean stockpiles could evaporate by next year , says Richard Loewy , senior grain and oilseed analyst at Prudential - Bache Securities Inc ",0,evaporate,19,0
"While the chief contracting officer in the cruise - missile office , Mr. Parkin in 1982 helped Mr. Galvin get a $ 225 , 964 contract to study the targeting equipment for the Tomahawk missile , according to the Navy and Mr. Parkin ",0,target,29,0
"'' This is the kind of junk we ca n't even melt into other garbage , '' says a major coin wholesaler who asked to remain anonymous because he has sold other coins under the auspices of the Marshall Islands ",0,melt,11,0
"Director John McTiernan -LRB- '' Predator '' -RRB- has efficiently slapped together the ingredients for a big , ear - shattering action film : slick , heavily armed villains ; a wife in peril ; stupid TV journalists who only make things worse ; a renegade cop who singlehandedly destroys the bad guys against impossible odds ",0,destroy,49,0
"The difference : An ever wealthier South Korea can imagine absorbing the poorer , less - populated Communist North , but Taiwan , no matter how rich , would be swallowed whole by the massive Chinese mainland ",0,absorb,10,0
Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife ,0,assault,13,0
And Jackson adviser Roger Wilkins warned that '' trust and loyalty are bound to wither '' if the lines of communication between the two camps are not kept open ,0,wither,14,0
"The pas de deux danced the past week by Secretary of State Shultz and Senator Sam Nunn has been dreadful political ballet , with the Reagan administration discovering what happens when you choose to dance with your political enemies ",0,dance,34,0
"Though riding the luge is a fairly dangerous sport , the scariest moment for the Philippines ' Mr. Ocampo came a week before the Olympics when his credentials to participate were temporarily blocked by Philippine bureaucrats ",0,ride,1,0
"Sears shares escaped with little damage , falling just 1 8 to 34 1 2 in active trading ",0,escape,2,0
"E.F. HUTTON & CO . : Now in the process of being absorbed by Shearson Lehman Brothers , Hutton does n't seem to have picked stocks as well as Shearson did ",0,absorb,12,0
But a source close to Black & Decker acknowledged that the company had received the information from American Standard and said that the company 's representatives will meet with American Standard officials this afternoon to examine nonpublic information ,0,examine,35,0
"'' I tried to move and talk but that was impossible , '' recalled an Australian boy in 1973 , after he fell ill from eating puffer fish ",0,eat,25,0
It really is a shame the famous old astrologer and Reagan friend Carroll Righter died last week and missed all this ,0,miss,18,0
"The company had a $ 14.24 billion working capital surplus at year end , but $ 13.98 billion of that came from money lent by GMAC to the parent , which took over financing of wholesale sales to dealers ",0,lend,23,0
The outlook for the Peruvian miners strike remained cloudy ,0,strike,6,0
"At least Mr. Gay is honest enough , in this instance , to acknowledge that Freud 's entire '' psychoanalysis '' of Leonardo rested on the mistranslation of an Italian word into the German text that served as Freud 's source -- and that '' this gaffe , '' though first pointed out in 1923 , was '' never acknowledged by Freud . . . '",0,rest,23,0
"From the answer to the Vietnam issue , should it ever be conclusively decided , will flow the prevailing view of America 's world role ",0,flow,16,0
The kinky Keynesians who devised it will be lucky to escape across the Potomac with their pie charts ,0,escape,10,0
"'' But it would be unusual for the appeals court to kick him out , since all the judges have to live with each other . '",0,kick,11,0
"Limited grew so quickly and was such a hit on Wall Street for so long '' that some of us thought it could escape the current fashion retail slump , but that is n't the case . '",0,escape,23,0
Others are drinking heavily ,0,drink,2,0
Some are trying to escape childhoods troubled by missing fathers or drug - addicted mothers ,0,miss,8,0
"Blacks who have quit white - run businesses say they do n't miss insults from whites who often did n't even realize they were insulting , or the edginess on the part of whites uncomfortable around blacks ",0,miss,12,0
"At the same time , Coleco 's diversification plan -- which industry analysts approve of as a way to smooth out the company 's ups and down of the past -- has been disappointing so far ",0,smooth,19,0
"The pumps can be reprogrammed by telephone to alter dosages , and he says that one of his young patients recently resumed riding a bicycle ",0,ride,22,0
Pakistani cheating could prompt Moscow to declare the accords void or to attack Afghan - resistance camps in Pakistan ,0,attack,12,0
"He did n't set a deadline for destroying PCBs , but said movable disposal units might be leased from the U.S. to help eliminate those stored in warehouses across the country ",0,destroy,7,0
"'' A German , '' said Mr. Bradford , '' is just not going to drink beer out of a can . '",0,drink,15,0
"In the letter , Tom Matthews , Eastern 's senior vice president of human resources , asked the mediation board to begin a 30-day countdown after which the machinists union would be free to strike -- and Eastern free to impose unilaterally the cost -- saving contract that it wants ",0,strike,34,0
"'' We have n't dug down to see '' what is missing , says Mr. Nelson ",0,miss,11,0
"Soybean seed sales skidded last spring in South Carolina , and dealers were forced to destroy tens of thousands of bags ",0,destroy,15,0
"It also said that 35 , 478 troops were wounded and that 311 remained missing in the Soviet Union 's battle with anti - Kabul Moslem insurgents ",0,miss,14,0
"Some of those arrested were dragged from buses that were to take them back to Managua ; others , such as 18-year - old Norman Lenin Cardoza -LRB- who denies ever attending the rally -RRB- and attorney Roger Guevara Mena , were arrested by state security police days later ",0,drag,5,0
"Two young women in the front seat were n't wearing belts , but escaped without permanent injuries ",0,escape,13,0
"Currently , the company is fixing only 200 to 300 units a day , far below TRW 's goal of 2 , 000 units a day ",0,fix,5,0
"About 80 separate documents had to be filled out , many of them in an effort to reassure institutional money managers about the company 's credit - worthiness and prospects , Mr. Koch says , adding , '' There were times I wanted to kill . '",0,fill,7,0
"Dave Hoover rolls his 400-pound minijet above the air - show crowd , swooping to within a dozen feet of the runway and popping his landing gear in and out ",0,roll,2,0
"But as most of those certificates are destroyed in favor of computer records , the investor who requests a certificate will have to wait until it 's delivered by the city or state that issued the bond ",0,destroy,7,0
"In the classic model , a bull market flourishes when money flows into the market ",0,flourish,8,0
"In late June , for example , a group that included Teddy Roosevelt 's great - great - granddaughter stood down some bulldozers trying to plow a road through a moor near the island village of Siasconset ",0,plow,25,0
"Mr. Grauer added , '' The commission totally missed the point ",0,miss,8,0
Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was struck by two Exocets -RRB- ,0,strike,18,0
Then he drop - kicked the ball through some goal posts about 50 yards distant ,0,kick,4,0
"Thus , Japanese companies would have to fight it out with foreign rivals that are targeting the same niche , including Fokker B.V. of the Netherlands , British Aerospace PLC , MBB and Boeing ",0,target,15,0
"But when the rangers drove the girls to the ranger station , the unattended youth sped away , drank heavily , and 10 hours later smashed into a motorcyclist ",0,drink,4,0
The shelling killed two people in his kibbutz ,0,kill,2,0
Reserving enables banks to absorb losses on bad credits ,0,absorb,4,0
"Its theme -- Peter dragging Russia out of the dank Dark Ages -- is vast and lofty , and perhaps only a man who dreamed and drank too much would have had the gumption to cut so wide and deep a swath into the heart of Russia ",0,drink,26,0
"Like many recent LBOs gone public , however , Days Inns had begun to wither even before the market crash , as investor interest in small issues began to wane ",0,wither,14,0
Dollars flowed from automated teller machines ,0,flow,1,0
"Smaller , more precise probes were developed that researchers hoped would home in on the missing DNA bit and , possibly , the DMD gene itself ",0,miss,15,0
"When a New York magazine confronted Wasserstein Perella with an as - yet - unpublished unflattering story about the new firm , Wasserstein Perella officials suspected First Boston of planting it ",0,plant,29,0
"Together they strike back , forming a company to produce clothes for the senior - citizen set ",0,strike,2,0
"If he and the Senate differ sharply on the answers , the treaties probably will die in the Senate , and the setback to U.S.Soviet relations will be severe ",0,die,15,0
"On Friday , Commander Abdul Haq 's troops attacked Kabul Airport with new Sacher incendiary rockets ",0,attack,8,0
The low pressure causes liquid in the arm to evaporate and to be pulled into the pipe ,0,evaporate,9,0
"In addition to warning pilots when they hit unexpected , low - altitude wind shear , the new required equipment will provide the crew with computer - generated instructions on the best path to take to escape the wind shear ",0,escape,36,0
"Several Wall Street investment bankers said clients have instructed them to examine the feasibility of topping the Swiss giant 's bid , but emphasized that interest so far is preliminary ",0,examine,11,0
"In short , a completely effective SDI would give the Soviets what they do not now have : the ability to strike the U.S. without fear of retaliation ",0,strike,21,0
"In this nervous , jumpy world economic reality matters less than the rumors and out - of - context scraps of information that pour into the trading rooms ",0,pour,23,0
Whether that should be welcome news or cause for alarm depends on one 's confidence in the ability of Congress to write rules for markets without destroying them ,0,destroy,26,0
'' We 're going to keep attacking . ',0,attack,6,0
"In the third '' mansion , '' the lascivious emperor , Diocletian -LRB- Patrick Dupond -RRB- , dances a pas de deux with the youth and then repeats it , almost step for step , with the queen ",0,dance,17,0
"Winos will drink anything if need be , but when they have the money to buy what they want , they tend to hew to the familiar . -LRB- Sales resistance may help explain why the handful of low - end products that companies have tried to launch in the past 20 years mostly have bombed . -RRB-/-R",0,drink,2,0
"Arden L. Bement Jr . , vice president , technical resources , of TRW Inc . , was named a director of this maker of electronic test and measurement instruments , filling a vacancy ",0,fill,31,0
Coke is even directly attacking coffee 's breakfast appeal with radio ads urging people to drink something cold to come '' alive in the morning . ',0,drink,15,0
"Stones are laid close together , generally slanting inward , with each stone touching as many others as possible ",0,touch,13,0
"When the baby drops a rattle , Mr. Prentnieks scoops it up and puts it in the baby 's fist -- still listening to Mr. Jackson 's speech with his camera rolling ",0,roll,3,0
A revenue passenger mile is one paying passenger flown one mile ,0,fly,8,0
"Here in Masaya , supporters of a group known as the Mothers of Political Prisoners were brutally attacked by turbas in a well - documented incident in March ",0,attack,17,0
"Koversada , maybe humanity 's greatest undraped conurbation , sleeps more than 100 , 000 ",0,sleep,9,0
"Last Tuesday , a federal jury in Akron , Ohio said it could n't identify a defect that could have caused an Audi 5000 to suddenly accelerate in an accident that killed a six - year - old boy ",0,kill,31,0
"It concluded that some 9 % of the population , or 1.5 million people , probably has been killed ",0,kill,18,0
"Here in Masaya , supporters of a group known as the Mothers of Political Prisoners were brutally attacked by turbas in a well - documented incident in March ",0,attack,17,0
"'' While physicians should never directly cause death , they must always act in the best interest of their patients and that sometimes includes allowing them to die , '' Dr. Sammons said in a statement ",0,die,27,0
Thousands of Chinese soccer fans battled police and besieged a rival team 's hotel during a riot Monday night ,0,besiege,8,0
