sentence,prediction
" In the same decade, with a greater reliance on synthesizers and the adoption of programmable drum machines, electronic popular music came to the fore",1
" During the 1990s, with the proliferation of increasingly affordable music technology, electronic music production became an established part of popular culture",1
Contemporary electronic music includes many varieties and ranges from experimental art music to popular forms such as electronic dance music,1
Pop electronic music is most recognizable in its 4/4 form and more connected with the mainstream than preceding forms which were popular in niche markets,1
", 'A music video is a short film or video, of unknown length, that integrates a song or album with imagery that is produced for promotional or artistic purposes",0
Modern music videos are primarily made and used as a marketing device intended to promote the sale of music recordings,1
There are also cases where songs are used in tie-in marketing campaigns that allow them to become more than just a song,1
Tie-ins and merchandising can be used for toys or for food or household products,0
"\nAlthough the origins of the music video date back to musical comedy films that first appeared in the 1920s, they again came into prominence in the 1980s when the channel MTV (originally ""Music Television"") based its format around the medium",0
" Prior to the 1980s, these kinds of videos were described by technical terms including ""illustrated song,"" ""filmed insert,""  ""promotional (promo) film,"" ""promotional clip,"" ""promotional video,"" ""song video,"" ""song clip,"" or ""film clip",0
"""\nMusic videos use a broad range of styles and contemporary video-making techniques, including animation, live-action, documentary, and non-narrative approaches such as abstract film",0
" Some music videos combine visual styles with music, such as animation and live-action",0
Combining these styles and techniques has become more popular due to the variety for the audience,1
" Many music videos interpret images and scenes from the song\'s lyrics, while others take a more thematic approach",1
"  Other music videos may not have any concept, being only a stylized version of the song\'s live concert performance",0
", 'Pop is a genre of popular music that originated in its modern form during the mid-1950s in the United States and the United Kingdom",1
" The terms popular music and pop music are often used interchangeably, although the former describes all music that is popular and includes many disparate styles",1
" During the 1950s and 1960s, pop music encompassed rock and roll and the youth-oriented styles it influenced",1
" Rock and pop music remained roughly synonymous until the late 1960s, after which pop became associated with music that was more commercial, ephemeral, and accessible",1
"\nAlthough much of the music that appears on record charts is seen as pop music, the genre is distinguished from chart music",1
" Identifying factors usually include repeated choruses and hooks, short to medium-length songs written in a basic format (often the verse-chorus structure), and rhythms or tempos that can be easily danced to",1
" Much pop music also borrows elements from other styles such as rock, urban, dance, Latin, and country",1
", ""Folk music includes traditional folk music and the  contemporary genre that evolved from it during the 20th-century folk revival",1
Some types of folk music may be called urban music,0
" Traditional folk music has been defined in several ways: as music transmitted orally, music with unknown composers, music that is played on traditional instruments, music about cultural or national identity, music that changes between generations (folk process), music associated with a people's folklore or music performed by custom over a long period of time",1
It has been contrasted with romantic and classical styles,0
" The term originated in the 19th century, but folk music extends beyond that",1
"\nStarting in the mid-20th century, a new form of popular folk music evolved from traditional folk music",1
This process and period is called the (second) folk revival and reached a zenith in the 1960s,1
This form of music is sometimes called contemporary folk music or folk revival music to distinguish it from earlier folk forms,1
" Smaller, similar revivals have occurred elsewhere in the world at other times, but the term folk music has typically not been applied to the new music created during those revivals",1
" This type of folk music also includes certain genres such as folk rock, folk metal, and others",0
" While contemporary folk music is a genre generally distinct from conventional folk music, in U",0
S,0
" English it shares the same name, and it often shares the common performers and venues as traditional folk music",0
""", 'A music genre is a conventional category that identifies some pieces of music as belonging to a shared tradition or set of conventions",1
" It is to be distinguished from musical form and musical style, although in practice these terms are sometimes used interchangeably",1
"Music can be divided into genres in numerous ways, such as popular music and art music, or religious music and secular music",0
" The artistic nature of music means that these classifications are often subjective and controversial, and some genres may overlap",1
", 'Soul music (often referred to simply as soul) is a popular music genre that originated in the African American community throughout the United States in the 1950s and early 1960s",1
" It combines elements of African-American gospel music, rhythm and blues and jazz",1
" Soul music became popular for dancing and listening in the United States, where record labels such as Motown, Atlantic and Stax were influential during the Civil Rights Movement",1
" Soul also became popular around the world, directly influencing rock music and the music of Africa",1
"According to the Rock and Roll Hall of Fame, soul is ""music that arose out of the black experience in America through the transmutation of gospel and rhythm & blues into a form of funky, secular testifying""",1
" Catchy rhythms, stressed by handclaps and extemporaneous body moves, are an important feature of soul music",1
Other characteristics are a call and response between the lead vocalist and the chorus and an especially tense vocal sound,0
" The style also occasionally uses improvisational additions, twirls and auxiliary sounds",1
Soul music reflected the African-American identity and it stressed the importance of an African-American culture,1
" The new-found African-American consciousness led to new styles of music, which boasted pride in being black",1
Soul music dominated the U,1
S,0
" R&B chart in the 1960s, and many recordings crossed over into the pop charts in the U",0
S,0
", Britain and elsewhere",0
" By 1968, the soul music genre had begun to splinter",1
" Some soul artists developed funk music, while other singers and groups developed slicker, more sophisticated, and in some cases more politically conscious varieties",1
" By the early 1970s, soul music had been influenced by psychedelic and progressive rock, among other genres, leading to psychedelic and progressive soul",1
The United States saw the development of neo soul around 1994,1
There are also several other subgenres and offshoots of soul music,1
"\nThe key subgenres of soul include the Motown style, a more pop-friendly and rhythmic style; deep soul and southern soul, driving, energetic soul styles combining R&B with southern gospel music sounds; Memphis soul, a shimmering, sultry style; New Orleans soul, which came out of the rhythm and blues style; Chicago soul, a lighter gospel-influenced sound; Philadelphia soul, a lush orchestral sound with doo-wop-inspired vocals; as well as psychedelic soul, a blend of psychedelic rock and soul music",1
", 'Sony Music Entertainment (commonly referred to as Sony Music) is an American global music company",1
" Owned by the Japanese conglomerate Sony Group Corporation, it is part of the Sony Music Group, which is owned by Sony Corporation of America",0
"\nIt was originally founded in 1929 as American Record Corporation and renamed as Columbia Recording Corporation in 1938, following its acquisition by the Columbia Broadcasting System",0
" In 1966, the company was reorganized to become CBS Records, and Sony Corporation bought the company in 1988, renaming it under its current name in 1991",1
" In 2004, Sony and Bertelsmann established a 50-50 joint venture known as Sony BMG, which transferred the businesses of Sony Music and Bertelsmann Music Group into one entity",1
" However, in 2008, Sony acquired Bertelsmann\'s stake, and the company reverted to the Sony Music name shortly after; the buyout allowed Sony to acquire all of BMG\'s labels, which led to the relaunch of BMG, as BMG Rights Management",1
" All of BMG\'s former labels (Arista, Jive, LaFace, J, etc",0
) would eventually be absorbed into RCA Records (also formely owned by BMG) in 2011,0
Arista Records would later go on to be revived in 2018,1
"\nAs of 2020, Sony Music Entertainment is the second largest of the ""Big Three"" record companies, behind Universal Music Group and followed by Warner Music Group",1
Its music publishing division Sony/ATV (now known as Sony Music Publishing) is the largest music publisher in the world,1
" From 2009-2020, Sony owned 50% of Syco Entertainment, which operates some of the world\'s most successful reality TV formats, including Got Talent and The X Factor with Simon Cowell",1
Cowell acquired Sony\'s stake in 2020,1
"On July 17, 2019, Sony announced that Sony Music Entertainment and Sony/ATV would merge to become Sony Music Group",1
" The merger was completed on August 1, 2019",0
", 'Country (also called country and western) is a genre of popular music that originated with blues, old-time music, and various types of American folk music including Appalachian, Cajun, Creole, and the cowboy Western music styles of New Mexico, Red Dirt, Tejano, and Texas country",1
Its popularized roots originate in the Southern and Southwestern United States of the early 1920s,1
"\nCountry music often consists of ballads and dance tunes with generally simple forms, folk lyrics, and harmonies often accompanied by string instruments such as banjos, electric and acoustic guitars, steel guitars (such as pedal steels and dobros), and fiddles as well as harmonicas",0
Blues modes have been used extensively throughout its recorded history,1
"The term country music gained popularity in the 1940s in preference to hillbilly music; it came to encompass Western music, which evolved parallel to hillbilly music from similar roots, in the mid-20th century",1
" In 2009, in the United States, country music was the most listened to rush hour radio genre during the evening commute, and second most popular in the morning commute",1
The term country music is used today to describe many styles and subgenres,1
The origins of country music are found in the folk music of working class Americans and blue-collar American life,1
" It has been inspired by American popular music, and American folk music which had its roots in Celtic music, early music of the British Isles, singing cowboys, corrido, ranchera, norteño, French folk music, African-American music, and other traditional folk music traditions",1
", 'AllMusic (previously known as All Music Guide and AMG) is an American online music database",1
" It catalogs more than three million album entries and 30 million tracks, as well as information on musicians and bands",0
" Initiated in 1991, the database was first made available on the Internet in 1994",0
AllMusic is owned by RhythmOne,0
", '""Music! Music! Music! (Put Another Nickel In)"" is a popular song written by Stephen Weiss and Bernie Baum and published in 1949",0
", 'Electronic dance music (EDM), also known as dance music, club music, or simply dance, is a broad range of percussive electronic music genres made largely for nightclubs, raves, and festivals",1
" It is generally produced for playback by DJs who create seamless selections of tracks, called a mix, by segueing from one recording to another",0
EDM producers also perform their music live in a concert or festival setting in what is sometimes called a live PA,0
"\nIn the late 1980s and early 1990s, following the emergence of raving, pirate radios, PartyCrews, underground festivals and an upsurge of interest in club culture, EDM achieved widespread mainstream popularity in Europe",1
" In the United States at that time, acceptance of dance culture was not universal outside of New York City; although both electro and Chicago house music were influential both in Europe and the United States, mainstream media outlets and the record industry remained openly hostile to it",1
" There was also a perceived association between EDM and drug culture, which led governments at state and city level to enact laws and policies intended to halt the spread of rave culture",1
"Subsequently, in the new millennium, the popularity of EDM increased globally, largely in the United States and Australia",1
" By the early 2010s, the term ""electronic dance music"" and the initialism ""EDM"" was being pushed by the American music industry and music press in an effort to rebrand American rave culture",1
" Despite the industry\'s attempt to create a specific EDM brand, the initialism remains in use as an umbrella term for multiple genres, including dance-pop, house, techno and electro, as well as their respective subgenres",1
", 'Universal Music Group (often abbreviated as UMG) is a global music corporation that is majority owned by the French media conglomerate Vivendi, with Chinese tech company Tencent owning a minority stake",1
" UMG\'s corporate headquarters are located in Hilversum, Netherlands and its operational headquarters are located in Santa Monica, California",0
" The biggest music company in the world,  it is one of the ""Big Three"" record labels, along with Sony Music and Warner Music Group",0
Tencent acquired ten percent of Universal Music Group in March 2020 for €3 billion and acquired an additional ten percent stake in January 2021,1
"In 2019, Fast Company named Universal Music Group the most innovative music company and listed UMG among the Top 50 most innovative companies in the world and ""amid the music industry\'s digital transformation, Universal is redefining what a modern label should look like",1
"""  UMG has signed licensing agreements with more than 400 platforms worldwide",0
", 'Gospel music is a genre of Christian music",0
" The creation, performance, significance, and even the definition of gospel music varies according to culture and social context",1
" Gospel music is composed and performed for many purposes, including aesthetic pleasure, religious or ceremonial purposes, and as an entertainment product for the marketplace",1
Gospel music usually has dominant vocals (often with strong use of harmony) with Christian lyrics,1
Gospel music can be traced to the early 17th century,0
Hymns and sacred songs were often repeated in a call and response fashion,1
Most of the churches relied on hand clapping and foot stomping as rhythmic accompaniment,0
Most of the singing was done a cappella,0
" The first published use of the term ""gospel song"" probably appeared in 1874",0
\nThe original gospel songs were written and composed by authors such as George F,0
" Root, Philip Bliss, Charles H",0
" Gabriel, William Howard Doane, and Fanny Crosby",0
Gospel music publishing houses emerged,1
The advent of radio in the 1920s greatly increased the audience for gospel music,1
" Following World War II, gospel music moved into major auditoriums, and gospel music concerts became quite elaborate",1
"Black gospel, by far the most well-known variant, emerged out of the African-American music tradition and has evolved in various ways over the years, continuing to form the basis of Black church worship even today",1
" It has also come to be used in churches of various other cultural traditions (especially within Pentecostalism) and, via the gospel choir phenomenon spearheaded by Thomas Dorsey, has become a form of musical devotion worldwide",1
"\nSouthern gospel used all male, tenor-lead-baritone-bass quartet make-up",0
Progressive Southern gospel is an American music genre that has grown out of Southern gospel over the past couple of decades,1
" Christian country music, sometimes referred to as country gospel music, is a subgenre of gospel music with a country flair",1
It peaked in popularity in the mid-1990s,1
Bluegrass gospel music is rooted in American mountain music,1
" Celtic gospel music infuses gospel music with a Celtic flair, and is quite popular in countries such as Ireland",1
British black gospel refers to Gospel music of the African diaspora produced in the UK,0
", 'Into the Music is the 11th studio album by Northern Irish singer-songwriter Van Morrison, and was released in August 1979",0
" It includes ""Bright Side of the Road"", which peaked at number 63 on the UK Singles Chart, and other songs in which Morrison sought to return to his more profound and transcendent style after the pop-oriented Wavelength",1
The record received favourable reviews from several music critics and was named as one of the year\'s best albums in the Pazz & Jop critics\' poll,1
", 'The Music are an English alternative rock band, formed in Kippax, Leeds in 1999",0
" Comprising Robert Harvey (vocals, guitar), Adam Nutter (lead guitar), Stuart Coleman (bass) and Phil Jordan (drums), the band came to prominence with the release of their debut album, The Music, in 2002",1
" The band released two further studio albums, Welcome to the North (2004) and Strength in Numbers (2008), before parting ways in 2011",1
", 'Warner Music Group Corp",0
(WMG) is an American multinational entertainment and record label conglomerate headquartered in New York City,1
" It is one of the ""Big Three"" recording companies and the third-largest in the global music industry, after Universal Music Group (UMG) and Sony Music Entertainment (SME)",1
" Formerly part of Time Warner (now WarnerMedia), WMG was publicly traded on the New York Stock Exchange from 2005 until 2011, when it announced its privatization and sale to Access Industries",1
" It later had its second IPO on Nasdaq in 2020, once again becoming a public company",1
" With a multibillion-dollar annual turnover, WMG employs more than 3,500 people and has operations in more than 50 countries throughout the world",1
"The company owns and operates some of the largest and most successful labels in the world, including Elektra Records, Reprise Records, Warner Records, Parlophone Records (formerly owned by EMI), and Atlantic Records",1
" WMG also owns Warner Chappell Music, one of the world\'s largest music publishers",1
"\nSince August 2, 2018, WMG has expanded its business to digital media operation through its acquisition of Uproxx",1
", ""YouTube Music is a music streaming service developed by YouTube, a subsidiary of Google",0
" It provides a tailored interface for the service, oriented towards music streaming, allowing users to browse through songs and music videos on YouTube based on genres, playlists, and recommendations",0
" \nThe service also offers a premium tier, which enables ad-free playback audio-only background playback and downloading songs for offline playback",0
These subscription benefits are also offered to subscribers of Google Play Music and YouTube Premium,0
" The service superseded Google Play Music as Google's main brand for music streaming on December 1, 2020",1
""", 'Rhythm and blues, often abbreviated as R&B or R\'n\'B, is a genre of popular music that originated in African-American communities in the 1940s",1
" The term was originally used by record companies to describe recordings marketed predominantly to urban African Americans, at a time when ""urbane, rocking, jazz based music with a heavy, insistent beat"" was becoming more popular",1
"\nIn the commercial rhythm and blues music typical of the 1950s through the 1970s, the bands usually consisted of piano, one or two guitars, bass, drums, one or more saxophones, and sometimes background vocalists",1
" R&B lyrical themes often encapsulate the African-American experience of pain and the quest for freedom and joy, as well as triumphs and failures in terms of relationships, economics, and aspirations",1
"\nThe term ""rhythm and blues"" has undergone a number of shifts in meaning",1
" In the early 1950s, it was frequently applied to blues records",1
" Starting in the mid-1950s, after this style of music contributed to the development of rock and roll, the term ""R&B"" became used to refer to music styles that developed from and incorporated electric blues, as well as gospel and soul music",1
" In the 1960s, several British rock bands such as the Rolling Stones, the Who and the Animals were referred to and promoted as being R&B bands; posters for the Who\'s residency at the Marquee Club in 1964 contained the slogan, ""Maximum R&B""",0
" Their mix of rock and roll and R&B is now known as ""British rhythm and blues""",1
" By the end of the 1970s, the term ""rhythm and blues"" had changed again and was used as a blanket term for soul and funk",1
" In the late 1980s, a newer style of R&B developed, becoming known as ""contemporary R&B""",1
" It combines rhythm and blues with elements of pop, soul, funk, disco, hip hop, and electronic music",1
", 'The Carpenters: Music, Music, Music is a Carpenters television special from 1980",0
"  It included guest stars such as Ella Fitzgerald, John Davidson and Nelson Riddle and his orchestra",0
", 'Music, Music is the eighth studio album by Australian-American pop singer Helen Reddy that was released in the summer of 1976 by Capitol Records and later described by J",0
" Scott McClintock for AllMusic: ""There are breezy, Bacharach-ian excursions (\'Gladiola,\' \'You Make It So Easy\'), bluesy numbers (\'Get Off Me Baby,\' \'Ladychain\'), light country (\'Mama\'), jazzy ballads (Paul Williams\' torchy contribution, \'Nice to Be Around\'), and even a little Philly soul (\'I Can\'t Hear You No More\')",1
" On August 2 of that year the Recording Industry Association of America awarded the album with Gold certification for sales of 500,000 copies in the United States",0
" It debuted on Billboard\'s Top LP\'s & Tapes chart that same month, in the issue dated August 14, and got as high as number 16 during its 13 weeks there, and in Canada\'s RPM magazine it peaked at number 14",0
" The third album recorded by Reddy with producer Joe Wissert, Music, Music was cited in 1977 by Reddy as a personal favorite from among her albums",0
" On August 23, 2005, Music, Music was released for the first time on compact disc as one of two Helen Reddy albums on one CD, the other album being her 1975 studio release, No Way to Treat a Lady",0
", 'Music Choice\u202f (abbreviated as \u202fMC) is a multi-product music service that provides audio and video music programming to millions of consumers nationwide through their cable, satellite and other multi-channel video programming distributors in the United States via televisions, online and mobile devices",1
"  \nMusic Choice is distributed nationwide by \u202fComcast Xfinity,\u202fCharter Spectrum,\u202fCox Communications,\u202fVerizon Fios,\u202fDirecTV\u202fand many other mid-size and smaller  MVPDs",0
", '",0
music is a top-level domain name (TLD) released in 2003 for use in music dissemination and appreciation,0
" It was one of the most highly contested new gTLDs, with eight applicants in contention",1
"\nOn April 17, 2019 DotMusic Limited announced that their rights application had been approved by the Internet Corporation for Assigned Names and Numbers (ICANN) and contracting was in the works",0
", 'Rock music is a broad genre of popular music that originated as ""rock and roll"" in the United States in the late 1940s and early 1950s, developing into a range of different styles in the mid-1960s and later, particularly in the United States and the United Kingdom",1
" It has its roots in 1940s and 1950s rock and roll, a style that drew directly from the blues and rhythm and blues genres of African-American music and from country music",1
" Rock music also drew strongly from a number of other genres such as electric blues and folk, and incorporated influences from jazz, classical, and other musical styles",1
" For instrumentation, rock has centered on the electric guitar, usually as part of a rock group with electric bass, drums, and one or more singers",1
" Usually, rock is song-based music with a 44 time signature using a verse–chorus form, but the genre has become extremely diverse",1
" Like pop music, lyrics often stress romantic love but also address a wide variety of other themes that are frequently social or political",1
"\nRock musicians in the mid-1960s began to advance the album ahead of the single as the dominant form of recorded music expression and consumption, with the Beatles at the forefront of this development",1
Their contributions lent the genre a cultural legitimacy in the mainstream and initiated a rock-informed album era in the music industry for the next several decades,1
" By the late 1960s ""classic rock"" period, a number of distinct rock music subgenres had emerged, including hybrids like blues rock, folk rock, country rock, southern rock, raga rock, and jazz rock, many of which contributed to the development of psychedelic rock, which was influenced by the countercultural psychedelic and hippie scene",1
" New genres that emerged included progressive rock, which extended the artistic elements, glam rock, which highlighted showmanship and visual style, and the diverse and enduring subgenre of heavy metal, which emphasized volume, power, and speed",1
" In the second half of the 1970s, punk rock reacted by producing stripped-down, energetic social and political critiques",1
" Punk was an influence in the 1980s on new wave, post-punk and eventually alternative rock",1
"\nFrom the 1990s, alternative rock began to dominate rock music and break into the mainstream in the form of grunge, Britpop, and indie rock",1
" Further fusion subgenres have since emerged, including pop punk, electronic rock, rap rock, and rap metal, as well as conscious attempts to revisit rock\'s history, including the garage rock/post-punk and techno-pop revivals in the 2000s",1
" The 2010s saw a slow decline in rock music\'s mainstream popularity and cultural relevancy, with hip hop surpassing it as the most popular genre in the United States",1
" In the 2020s, the COVID-19 pandemic had a major impact on the rock scene, with many live performances being cancelled or postponed, and some artists resorting to online performances; the decade has also seen a revival of pop punk music",1
"\n\nRock music has also embodied and served as the vehicle for cultural and social movements, leading to major subcultures including mods and rockers in the United Kingdom and the hippie counterculture that spread out from San Francisco in the US in the 1960s",1
" Similarly, 1970s punk culture spawned the goth, punk, and emo subcultures",1
" Inheriting the folk tradition of the protest song, rock music has been associated with political activism as well as changes in social attitudes to race, sex, and drug use, and is often seen as an expression of youth revolt against adult consumerism and conformity",1
" At the same time, it has been commercially highly successful, leading to charges of selling out",1
", 'K-pop (Korean: 케이팝; RR: keipap), short for Korean popular music, is a genre of music originating in South Korea as part of South Korean culture",0
"  It is influenced by styles and genres from around the world, such as pop, experimental, rock, jazz, gospel, hip hop, R&B, reggae, electronic dance, folk, country, and classical on top of its traditional Korean music roots",1
" The more modern form of the genre emerged with the formation of one of the earliest K-pop groups, the boy band Seo Taiji and Boys, in 1992",1
Their experimentation with different styles and genres of music and integration of foreign musical elements helped reshape and modernize South Korea\'s contemporary music scene,1
"Modern K-pop ""idol"" culture began with the boy band H",1
O,0
" in 1996, as K-pop grew into a subculture that amassed enormous fandoms of teenagers and young adults",1
" After a slump in early K-pop, from 2003 TVXQ and BoA started a new generation of K-pop idols that broke the music genre into the neighboring Japanese market and continue to popularize K-pop internationally today",1
" With the advent of online social networking services and Korean TV shows, the current spread of K-pop and Korean entertainment, known as the Korean Wave, is seen not only in East Asia and Southeast Asia, but also in Pakistan, Bangladesh, India, Latin America, North Africa, Southern Africa and East Africa, the Middle East and throughout the Western world, gaining a widespread global audience",1
"\nThe term ""K-pop"" became popular in the 2000s",0
"  While ""K-pop"" is a general term for popular music in South Korea, it is often used in a narrower sense for the genre described here",1
" In 2018, K-pop experienced significant growth and became a \'power player\', marking a 17",1
9% increase in revenue growth,1
" As of 2019, K-pop is ranked at number six among the top ten music markets worldwide according to the International Federation of the Phonographic Industry\'s ""Global Music Report 2019"", with BTS and Blackpink cited as artists leading the market growth",1
" In 2020, K-pop experienced a record-breaking year when it experienced a 44",1
8% growth and positioned itself as the fastest-growing major market of the year,1
It is the largest independent college of contemporary music in the world,1
" Known for the study of jazz and modern American music, it also offers college-level courses in a wide range of contemporary and historic styles, including rock, hip hop, reggae, salsa, heavy metal and bluegrass",1
" Berklee alumni have won 310 Grammy Awards, more than any other college, and 108 Latin Grammy Awards",1
" In December 2015, Berklee College of Music and the Boston Conservatory agreed to a merger",1
" The combined institution is known as Berklee, with the conservatory becoming The Boston Conservatory at Berklee",1
", 'Lo-fi (also typeset as lofi or low-fi; short for low fidelity) is a music or production quality in which elements usually regarded as imperfections of a recording or performance are audible, sometimes as a deliberate aesthetic choice",1
" The standards of sound quality (fidelity) and music production have evolved throughout the decades, meaning that some older examples of lo-fi may not have been originally recognized as such",1
" Lo-fi began to be recognized as a style of popular music in the 1990s, when it became alternately referred to as DIY music (from ""do it yourself"")",1
"Harmonic distortion and ""analog warmth"" are sometimes misleadingly suggested as core features of lo-fi music",1
" It is characterised by the inclusion of elements normally viewed as undesirable in professional contexts, such as misplayed notes, environmental interference, or phonographic imperfections (degraded audio signals, tape hiss, and so on)",1
"\nAlthough ""lo-fi"" has been in the cultural lexicon for approximately as long as ""high fidelity"", WFMU disc jockey William Berger is usually credited with popularizing the term in 1986",1
" At various points since the 1980s, ""lo-fi"" has been connected with cassette culture, the DIY ethos of punk, primitivism, outsider music, authenticity, slacker/Generation X stereotypes, and cultural nostalgia",1
" The notion of ""bedroom"" musicians expanded following the rise of modern digital audio workstations, and in the late 2000s, lo-fi aesthetics served as the basis of the chillwave and hypnagogic pop music genres",1
" It developed as part of hip hop culture, a subculture defined by four key stylistic elements: MCing/rapping, DJing/scratching with turntables, break dancing, and graffiti writing",1
" While often used to refer solely to rapping, ""hip hop"" more properly denotes the practice of the entire subculture",1
" The term hip hop music is sometimes used synonymously with the term rap music, though rapping is not a required component of hip hop music; the genre may also incorporate other elements of hip hop culture, including DJing, turntablism, scratching, beatboxing, and instrumental tracks",1
"Hip hop as both a musical genre and a culture was formed during the 1970s when block parties became increasingly popular in New York City, particularly among African American youth residing in the Bronx",1
Hip hop\'s early evolution occurred as sampling technology and drum machines became widely available and affordable,1
