sentence,prediction
"Till at last he rose defeated,',",1
"Could not bear the heat and laughter,',",1
"Could not bear the merry singing,',",0
"But rushed headlong through the door-way,',",0
"Stamped upon the crusted snow-drifts,',",0
"Stamped upon the lakes and rivers,',",0
"Made the snow upon them harder,',",0
"Made the ice upon them thicker,',",0
"Challenged Shingebis, the diver,',",0
"To come forth and wrestle with him,',",0
"To come forth and wrestle naked',",0
"On the frozen fens and moorlands.',",0
"Forth went Shingebis, the diver,',",0
"Wrestled all night with the North-Wind,',",0
"Wrestled naked on the moorlands',",0
"With the fierce Kabibonokka,',",0
"Till his panting breath grew fainter,',",0
"Till his frozen grasp grew feebler,',",1
"Till he reeled and staggered backward,',",0
"And retreated, baffled, beaten,',",0
"To the kingdom of Wabasso,',",0
"To the land of the White Rabbit,',",0
"Hearing still the gusty laughter,',",0
"Hearing Shingebis, the diver,',",0
"You are but my fellow-mortal!""',",0
"Shawondasee, fat and lazy,',",0
"Had his dwelling far to southward,',",0
"In the drowsy, dreamy sunshine,',",0
"In the never-ending Summer.',",1
"He it was who sent the wood-birds,',",0
"Sent the robin, the Opechee,',",0
"Sent the bluebird, the Owaissa,',",0
"Sent the Shawshaw, sent the swallow,',",0
"Sent the wild-goose, Wawa, northward,',",0
"Sent the melons and tobacco,',",0
"And the grapes in purple clusters.',",0
"From his pipe the smoke ascending',",0
"Filled the sky with haze and vapor,',",1
"Filled the air with dreamy softness,',",1
"Gave a twinkle to the water,',",0
"Touched the rugged hills with smoothness,',",0
"Brought the tender Indian Summer',",0
"To the melancholy north-land,',",0
"In the dreary Moon of Snow-shoes.',",0
"Listless, careless Shawondasee!',",0
"In his life he had one shadow,',",0
"In his heart one sorrow had he.',",0
"Once, as he was gazing northward,',",0
"Far away upon a prairie',",0
"He beheld a maiden standing,',",0
"Saw a tall and slender maiden',",0
"All alone upon a prairie;',",0
"Brightest green were all her garments,',",0
"And her hair was like the sunshine.',",0
"Day by day he gazed upon her,',",0
"Day by day he sighed with passion,',",1
"Day by day his heart within him',",1
"Grew more hot with love and longing',",1
"For the maid with yellow tresses.',",0
"But he was too fat and lazy',",0
"To bestir himself and woo her.',",0
"Yes, too indolent and easy',",1
"To pursue her and persuade her;',",0
"So he only gazed upon her,',",0
"Only sat and sighed with passion',",0
"For the maiden of the prairie.',",0
"Till one morning, looking northward,',",0
"He beheld her yellow tresses',",0
"Changed and covered o'er with whiteness,',",0
"Covered as with whitest snow-flakes.',",0
"""Ah! my brother from the North-land,',",0
"From the kingdom of Wabasso,',",0
"From the land of the White Rabbit!',",0
"You have stolen the maiden from me,',",0
"You have laid your hand upon her,',",0
"You have wooed and won my maiden,',",0
"With your stories of the North-land!""',",0
"Thus the wretched Shawondasee',",0
"Breathed into the air his sorrow;',",0
"And the South-Wind o'er the prairie',",0
"Wandered warm with sighs of passion,',",1
"With the sighs of Shawondasee,',",0
"Till the air seemed full of snow-flakes,',",0
"Full of thistle-down the prairie,',",0
"And the maid with hair like sunshine',",0
"Vanished from his sight forever;',",0
"Never more did Shawondasee',",0
"See the maid with yellow tresses!',",0
"Poor, deluded Shawondasee!',",0
"'T was no woman that you gazed at,',",0
"'T was no maiden that you sighed for,',",0
"'T was the prairie dandelion',",0
"That through all the dreamy Summer',",0
"You had gazed at with such longing,',",0
"You had sighed for with such passion,',",0
"And had puffed away forever,',",0
"Blown into the air with sighing.',",0
"Ah! deluded Shawondasee!',",0
"Thus the Four Winds were divided',",0
"Thus the sons of Mudjekeewis',",0
"Had their stations in the heavens,',",0
"At the corners of the heavens;',",0
"For himself the West-Wind only',",0
"Kept the mighty Mudjekeewis.',",0
"Hiawatha's Childhood',",0
"Downward through the evening twilight,',",0
"In the days that are forgotten,',",1
"In the unremembered ages,',",1
"From the full moon fell Nokomis,',",0
"Fell the beautiful Nokomis,',",0
"She a wife, but not a mother.',",0
"She was sporting with her women,',",0
"Swinging in a swing of grape-vines,',",0
"When her rival the rejected,',",1
"Full of jealousy and hatred,',",1
"Cut the leafy swing asunder,',",0
"Cut in twain the twisted grape-vines,',",0
"And Nokomis fell affrighted',",0
"Downward through the evening twilight,',",0
"On the Muskoday, the meadow,',",0
"On the prairie full of blossoms.',",0
"""See! a star falls!"" said the people;',",0
"""From the sky a star is falling!""',",0
"There among the ferns and mosses,',",0
"There among the prairie lilies,',",0
"On the Muskoday, the meadow,',",0
"In the moonlight and the starlight,',",0
"Fair Nokomis bore a daughter.',",0
"And she called her name Wenonah,',",0
"As the first-born of her daughters.',",0
"And the daughter of Nokomis',",0
"Grew up like the prairie lilies,',",0
"Grew a tall and slender maiden,',",0
"With the beauty of the moonlight,',",0
"With the beauty of the starlight.',",0
"And Nokomis warned her often,',",0
"Saying oft, and oft repeating,',",0
"""Oh, beware of Mudjekeewis,',",0
"Listen not to what he tells you;',",0
"Lie not down upon the meadow,',",0
"Stoop not down among the lilies,',",0
"Lest the West-Wind come and harm you!""',",0
"But she heeded not the warning,',",0
"Heeded not those words of wisdom,',",1
"And the West-Wind came at evening,',",0
"Walking lightly o'er the prairie,',",0
"Whispering to the leaves and blossoms,',",0
"Bending low the flowers and grasses,',",0
"Found the beautiful Wenonah,',",0
"Lying there among the lilies,',",0
"Wooed her with his words of sweetness,',",1
"Wooed her with his soft caresses,',",1
"Till she bore a son in sorrow,',",0
"Bore a son of love and sorrow.',",0
"Thus was born my Hiawatha,',",0
"Thus was born the child of wonder;',",0
"But the daughter of Nokomis,',",0
"Hiawatha's gentle mother,',",0
"In her anguish died deserted',",1
"By the West-Wind, false and faithless,',",0
"By the heartless Mudjekeewis.',",1
"For her daughter long and loudly',",0
"Wailed and wept the sad Nokomis;',",0
"""Oh that I were dead!"" she murmured,',",0
"""Oh that I were dead, as thou art!',",0
"No more work, and no more weeping,',",0
"By the shores of Gitche Gumee,',",0
"By the shining Big-Sea-Water,',",0
"Stood the wigwam of Nokomis,',",0
"Dark behind it rose the forest,',",0
"Rose the black and gloomy pine-trees,',",0
"Rose the firs with cones upon them;',",0
"Bright before it beat the water,',",0
"Beat the clear and sunny water,',",0
"Beat the shining Big-Sea-Water.',",0
"There the wrinkled old Nokomis',",0
"Nursed the little Hiawatha,',",0
"Rocked him in his linden cradle,',",0
"Bedded soft in moss and rushes,',",0
"Safely bound with reindeer sinews;',",0
"Stilled his fretful wail by saying,',",1
"""Hush! the Naked Bear will hear thee!""',",0
"Lulled him into slumber, singing,',",1
"""Ewa-yea! my little owlet!',",0
"Who is this, that lights the wigwam?',",0
"With his great eyes lights the wigwam?',",0
"Ewa-yea! my little owlet!""',",0
"Many things Nokomis taught him',",0
"Of the stars that shine in heaven;',",0
"Showed him Ishkoodah, the comet,',",0
"Ishkoodah, with fiery tresses;',",0
"Showed the Death-Dance of the spirits,',",0
"Warriors with their plumes and war-clubs,',",0
"Flaring far away to northward',",0
"In the frosty nights of Winter;',",0
"Showed the broad white road in heaven,',",0
"Pathway of the ghosts, the shadows,',",0
"Running straight across the heavens,',",0
"Crowded with the ghosts, the shadows.',",0
"At the door on summer evenings',",0
"Sat the little Hiawatha;',",0
"Heard the whispering of the pine-trees,',",0
"Heard the lapping of the waters,',",0
"Sounds of music, words of wonder;',",0
"""Minne-wawa!"" said the Pine-trees,',",0
"""Mudway-aushka!"" said the water.',",0
"Saw the fire-fly, Wah-wah-taysee,',",0
"Flitting through the dusk of evening,',",0
"With the twinkle of its candle',",0
"Lighting up the brakes and bushes,',",0
"And he sang the song of children,',",0
"Sang the song Nokomis taught him:',",0
"""Wah-wah-taysee, little fire-fly,',",0
"Little, flitting, white-fire insect,',",0
"Little, dancing, white-fire creature,',",0
"Light me with your little candle,',",0
"Ere upon my bed I lay me,',",0
"Ere in sleep I close my eyelids!""',",0
"Saw the moon rise from the water',",0
"Rippling, rounding from the water,',",0
"Saw the flecks and shadows on it,',",0
"Whispered, ""What is that, Nokomis?""',",0
"And the good Nokomis answered:',",0
"""Once a warrior, very angry,',",0
"Seized his grandmother, and threw her',",0
"Up into the sky at midnight;',",0
"Right against the moon he threw her;',",0
"'T is her body that you see there.""',",0
"Saw the rainbow in the heaven,',",0
"In the eastern sky, the rainbow,',",0
"Whispered, ""What is that, Nokomis?""',",0
"And the good Nokomis answered:',",0
"""'T is the heaven of flowers you see there;',",0
"All the wild-flowers of the forest,',",0
"All the lilies of the prairie,',",0
"When on earth they fade and perish,',",0
"Blossom in that heaven above us.""',",0
"When he heard the owls at midnight,',",0
"Hooting, laughing in the forest,',",0
"""What is that?"" he cried in terror,',",0
"""What is that,"" he said, ""Nokomis?""',",0
"And the good Nokomis answered:',",0
"""That is but the owl and owlet,',",0
"Talking in their native language,',",0
"Talking, scolding at each other.""',",0
"Then the little Hiawatha',",0
"Learned of every bird its language,',",0
"Learned their names and all their secrets,',",0
"How they built their nests in Summer,',",0
"Where they hid themselves in Winter,',",0
"Talked with them whene'er he met them,',",0
"Called them ""Hiawatha's Chickens.""',",0
"Of all beasts he learned the language,',",0
"Learned their names and all their secrets,',",0
"How the beavers built their lodges,',",0
"Where the squirrels hid their acorns,',",0
"How the reindeer ran so swiftly,',",0
"Why the rabbit was so timid,',",0
"Talked with them whene'er he met them,',",0
"Called them ""Hiawatha's Brothers.""',",0
"Then Iagoo, the great boaster,',",0
"He the marvellous story-teller,',",0
"He the traveller and the talker,',",0
"He the friend of old Nokomis,',",0
"From a branch of ash he made it,',",0
"From an oak-bough made the arrows,',",0
"Tipped with flint, and winged with feathers,',",0
"And the cord he made of deer-skin.',",0
"Then he said to Hiawatha:',",0
"""Go, my son, into the forest,',",0
"Where the red deer herd together,',",0
"Kill for us a famous roebuck,',",0
"Kill for us a deer with antlers!""',",0
"Forth into the forest straightway',",0
"All alone walked Hiawatha',",0
"Proudly, with his bow and arrows;',",0
"And the birds sang round him, o'er him,',",0
"""Do not shoot us, Hiawatha!""',",0
"Sang the robin, the Opechee,',",0
"Sang the bluebird, the Owaissa,',",0
"""Do not shoot us, Hiawatha!""',",0
"Up the oak-tree, close beside him,',",0
"Sprang the squirrel, Adjidaumo,',",0
"In and out among the branches,',",0
"Coughed and chattered from the oak-tree,',",0
"Laughed, and said between his laughing,',",0
"""Do not shoot me, Hiawatha!""',",0
"And the rabbit from his pathway',",0
"Leaped aside, and at a distance',",0
"Sat erect upon his haunches,',",0
"Half in fear and half in frolic,',",1
"Saying to the little hunter,',",0
"""Do not shoot me, Hiawatha!""',",0
"But he heeded not, nor heard them,',",0
"For his thoughts were with the red deer;',",0
"On their tracks his eyes were fastened,',",0
"Leading downward to the river,',",0
"To the ford across the river,',",0
"And as one in slumber walked he.',",0
"Hidden in the alder-bushes,',",0
"There he waited till the deer came,',",0
"Till he saw two antlers lifted,',",0
"Saw two eyes look from the thicket,',",0
"Saw two nostrils point to windward,',",0
"And a deer came down the pathway,',",0
"Flecked with leafy light and shadow.',",0
