sentence,correct_label,prediction,polarity,intensity,source_concept,target_concept
"Además, cuando tenía que cargar gasolina su marido le daba vales; así que  veces cargaba .",0,1,,,,WEALTH
"La  , como la propia sociedad, está experimentando una serie de transformaciones en las formas de hacer, procesar y entender la política.",0,1,,,,ELECTIONS
"La falta de profesionalización de los funcionarios municipales, los cuales generalmente llegan a la administración municipal sin una experiencia o preparación previa, sin los conocimientos técnicos necesarios, y sin el espíritu y  de  deseable.",0,1,POSITIVE,1.0,SCIENCE,BUREAUCRACY
israelí  una propuesta para declarar tregua unilateral Hoy 14:11 hrs,0,1,,,,ELECTIONS
"Si tienes que  una  para un proceso importante, ¿cuál es tu proceder?",0,1,,,,ELECTIONS
"Estos datos en cierta forma concuerdan con los análisis anteriores, donde primeramente la mayoría de las empresas usa Windows y Linux para aplicaciones críticas, el  es el  principal al decidirse por una solución (aunque la facilidad de uso y seguridad son las características principales que prefieren los administradores) y la preferencia sobre una posible migración es no realizarla.",0,1,,,,MONEY
"Apenas y nos estabamos  a la  del trancazo que nos dio Worpdress con la versión 2.5, y ya tenemos versión 2.5.1, a saber del equipo de trabajo de Wordpress, está actualización contempla:",0,1,,,,MENTAL_CONCEPTS
"En lugar de contar los vínculos directos, PageRank interpreta un vínculo de la Página A a la Página B como un voto que recibe la Página B de parte de la Página A. PageRank evalúa, de esa manera, la importancia que tiene una página determinada al contar la  de  que recibe.",0,1,,,,ELECTIONS
Hay que tener claro también que una cosa es el  de la  rural y otra cosa es el asunto de la producción agropecuaria.,0,1,,,,POVERTY
4.6.-  las  y los programas de fomento a la participación ciudadana.,0,1,POSITIVE,2.0,STORY,GOVERNMENT
"Más de 700  fueron  ayer durante el primer día del cobro de impuesto predial en Orizaba, hasta las 19:00 horas el cobro seguía: “Para ser el primer día fue satisfactoria la respuesta ...",0,1,POSITIVE,1.0,CROP,TAXPAYERS
"En el desfile del 1� de mayo en que desfilamos ante autoridades ... �del PRI! se oyeron voces en la calle de Enr�quez gritando al contingente del SNTE consignas contra los puentes, contras las exigencias de aumento salarial y contra el  de  sindicales y las suspensiones por cumplea�os.",0,1,NEGATIVE,1.0,RESOURCE,GOVERNMENT
"Este  diverso, desafiante y de extraordinaria , abre nuevas perspectivas a los estudios de comunicación.",0,1,NEUTRAL,0.0,MONSTER,WEALTH
"Ante la controversia constitucional interpuesta por el Ejecutivo federal el pasado diciembre de 2004 en materia del Presupuesto de Egresos de la Federación de 2005, es preciso dotar al Congreso de la Unión de las herramientas de análisis, modificación y aprobación del Plan Nacional de Desarrollo (PND) y con ello lograr la  de la  participativa en un ámbito tan importante como lo es el proyecto de nación.",0,1,POSITIVE,0.0,ABYSS,DEMOCRACY
Revela Maritza Díaz que Peña la denuncia y amenaza con encarcelarla - EL  PADRE  en accion,0,1,NEGATIVE,1.0,PHYSICAL_HARM,GOVERNMENT
"En la actualidad, estar empleado no asegura el abandono de los  de .",0,1,,,,POVERTY
"“La  de  panistas en otros estados, para las mujeres ha sido lamentable.",0,1,,,,GOVERNMENT
"Para el candidato de la ""Alianza por México"" la desigualdad es mucho más profunda que la  por lo que impulsará el  Progresa en las zonas más vulnerables.",0,1,,,,POVERTY
"El valor simbólico que el  federal  en esa fabricación –ajena a la institucionalidad legal y lesiva a las formas e instancias republicanas establecidas por la Constitución– terminó por dar un inesperado poder de chantaje a los opositores que hicieron de lado esa condición e ignoraron el mandato de sus electores para respaldar pretendidas políticas de Estado que se reducen, en realidad, al programa de reformas neoliberales que propugna la presidencia de Enrique Peña Nieto.",0,1,,,,GOVERNMENT
La fuerza de gravedad que  un  sobre otro depende de la distancia a la que se encuentren los cuerpos.,0,1,,,,GOVERNMENT
"Silvio Berlusconi, primer ministro de la república italiana, creó y financió un partido de corte neofascista: “Forza Italia”, como la punta de lanza política de su complejo industrial-empresarial-medios de comunicación, para promoverse electoralmente y disfrazar su asalto del Estado por medio de la compra, con el de moda marketing, del  de un  clasemediero de ultraderecha.",0,1,,,,ELECTIONS
Demandan a titular de Sedesol explicar  de,0,1,NEUTRAL,0.0,RESOURCE,POVERTY
"“Felipe  las  al prometer llevar al PAN a sus raíces y ser un agente de cambio más agresivo, es decir más Fox que Fox…",0,1,POSITIVE,1.0,GAME,ELECTIONS
"Si bien este esquema operó bajo una lógica redistributiva del ingreso, se presentó como una opción limitada en el rompimiento del círculo de la pobreza, ya que no dotaba a los pobres de una dinámica que les permitiera  un flujo de  para un desarrollo autosustentable, que les ayudara a obtener un nivel de bienestar permanente.",0,1,,,,TAXATION
"En el caso de México, el compromiso de introducir una  obligatoria de  en vehículos será uno de los principales pilares del Programa Especial de Cambio Climático, que el presidente Calderón presentará en las próximas semanas.",0,1,,,,GOVERNMENT
"Por último, Aguilera Ortíz informó que en su visita, el Dirigente Nacional de Convergencia le tomará protesta a Agapito Arellano Ponce como Presidente del Consejo Consultivo de Querétaro, órgano encargado de recolectar propuestas ciudadanas para la  de , de cara a las siguientes elecciones.",0,1,POSITIVE,2.0,OTHER,GOVERNMENT
La amenaza de esas medidas para los mismos propósitos también  una .,0,1,,,,DEMOCRACY
"Eso, más allá de que la iniciativa sea algo más que el mero establecimiento de una nueva  , y de que remonte en efecto el populismo de las viejas demagogias redentoras de las etnias originales, desplegadas con una elocuencia retórica tan desmesurada como temporalera y vacía.",0,1,,,,BUREAUCRACY
"Galbraith sugirió que las naciones en la  de la estructura de la estratificación están ahí porque tienen valores, costumbres, tradiciones y formas de vida que le impiden arriesgarse a derribar los muros de la  y les mantienen en ese luga.",0,1,,,,POVERTY
"Durante la pasada reforma hacendaria el tema fue satanizado y se tuvo que crear toda una estructura fiscal para compensar los ingresos que requiere el Estado, cuando la única forma real de universalizar el   en un país como el nuestro, donde son más los que no pagan impuestos que quienes sí lo hacen, es a través del consumo.",0,1,,,,TAXATION
"es una oligarquía de las grandes familias burguesas de allí, lo saben todos los catalanes y saben que no pueden hacer nada... aunque cada vez que hay unas  sí que podrían intentar algo.",0,1,,,,ELECTIONS
"Al principio sí cree uno que lo van a ayudar pero te decepcionas cuando ves que nos dejan solos; ni todos los seguros de vida sirven de nada porque el  se  y se va lo principal, que es la persona”, expresó Guadalupe.",0,1,NEGATIVE,1.0,MAZE,MONEY
El Primer Escrutador contará el número de ciudadanos que  que  conforme a la lista nominal de la sección;,0,1,NEUTRAL,0.0,VISION,ELECTIONS
"Máster en Finanzas Instituto Universitario de Posgrado - Sede México de conflictos con proveedores, clientes u otras empresas que son el resultado de relaciones contractuales, o de contratos mal...: Fomentar en los estudiantes el desarrollo de su capacidad analítica, imprescindible en el  de la  y administración...",0,1,NEUTRAL,0.0,PHYSICAL_LOCATION,BUREAUCRACY
"A esto se le suma la  que están haciendo para poder conseguir el , 130 mil pesos, que necesita Jaimito para poder pagar la operación para el trasplante de riñón que tanto necesita.",0,1,,,,MONEY
Investigaciones que recientemente se toparon con la exoneración que hizo la PGR días antes de que Fox entregara la   a su sucesor.,0,1,POSITIVE,3.0,CLOTHING,GOVERNMENT
También cursan en su contra 22 procesos más por evasión y  de  y por las anomalías del préstamo que obtuvieron en la Dirección de Estupefacientes y que EL TIEMPO reveló en agosto de 2007.,0,1,POSITIVE,3.0,CRIME,TAXATION
"De acuerdo con asesores legislativos, las reformas hechas a dicha ley, ponen en riesgo la seguridad social de los trabajadores del Estado, mediante la reducción de algunas de las prestaciones que gozan,  como al  de su cotización.",0,1,,,,MONEY
También hay que entenderlo porque tenemos un   donde no hay deducibles y no ayuda ni promueve el pago de impuestos.,0,1,,,,TAXATION
"""Urquizo es escritor de una historia suya, referida a la caída de un gobierno""; sin embargo, al considerar los  de la , su obra no es un texto histórico, ""es un testimonio con artificios literarios"".",0,1,,,,TAXATION
"Autorización de  de  al comercio exterior en la importación de mercancía donada, conforme a la Regla 2.9.3., rubro A de carácter general en materia de comercio exterior.",0,1,POSITIVE,2.0,PHYSICAL_BURDEN,TAXATION
"Así que  la , el cambio y nuestros gobernantes que no ocupan guaruras.",0,1,POSITIVE,3.0,A_GOD,DEMOCRACY
"La repetición constante de argumentos como que, las ejecuciones se deben a guerra entre pandillas o los más malos tienen condiciones de privilegio en prácticamente todas las cárceles, no sólo irrita por el alto costo de un sistema alejado de la rehabilitación y sostenido a  de la  de millones mexicanos, sino por consecuencia impulsa a los que están fuera, a desear una suerte de vacaciones seguras en los penales; viviendo gratis, a veces como reyes, con toda clase de canonjías y con la facilidad de seguir dirigiendo sus redes destructivas.",0,1,NEGATIVE,1.0,OTHER,POVERTY
"El hecho es que a pesar de que se ha venido planteando que el sistema educativo sirve como un  de las  sociales, etc., cosa que sí ocurre en casos particulares, pero en términos sociales, en términos nacionales, es indiscutible que las distancias en materia de atención educativa se han ido incrementando y que el sistema educativo ha funcionado como un instrumento de reforzamiento de las diferencias sociales, no como un sistema de movilidad social o de emparejamiento social.",0,1,,,,WEALTH
Organismo autonomo encargado del cumplimiento de las reglas que garantizan la participacion politica de la ciudadania y es responsable de organizar y  los  en el estado.,0,1,NEUTRAL,2.0,PROTECTION,ELECTIONS
Organismo autonomo encargado del cumplimiento de las reglas que garantizan la participacion politica de la ciudadania y es responsable de organizar y  los  en el estado.,0,1,POSITIVE,2.0,PHYSICAL_HARM,ELECTIONS
"Autores de los cinco reportajes que inauguraron la primera edición de estas distinciones y cuyos trabajos se ciñeron a los ocho objetivos fijados por el Programa de las Naciones Unidas para el Desarrollo y la Agencia IPS, al   y hambre, enseñanza primaria, igualdad de géneros y autonomía de la mujer, mortalidad infantil, salud materna, VIH/Sida, paludismo, medio ambiente y asociación mundial para el desarrollo.",0,1,,,,POVERTY
En la Mesa de Registro recibirá con su gafete el Directorio Pantalla 2009 Votación de la semana anterior: el 54 por ciento considera que Carlos Slim hizo bien al decir ante el  un  en tono catastrofista,0,1,,,,GOVERNMENT
Tensión  en las  dominantes.,0,1,,,,GOVERNMENT
Hay otros temas que les preocupan: la  y la ; la productividad y la competitividad de nuestra economía en la globalización.,0,1,,,,BUREAUCRACY
"El gran déficit se resume: en que la  en México no ha  la capacidad para atender las exigencias de los mercados locales, regionales, nacionales e internacionales, propias de la globalización y mucho menos la de satisfacer, al mismo tiempo, las demandas sociales y económicas más apremiantes.",0,1,,,,DEMOCRACY
"Ahora, España es una  en apogeo con la octava economía más  del mundo.",0,1,,,,DEMOCRACY
A la persona se le devuelve la  del  pagado.,0,1,,,,MONEY
"En 1977 se lleva a cabo otra reforma en los aranceles de la Universidad, esta vez dirigida a la  de los .",0,1,POSITIVE,1.0,SCIENCE,TAXATION
"Una vez pasado el proceso electoral, al  foxista parecía  lo mismo mantener o desbancar a Ulises Ruiz, se perfilaba una salida, empujando a URO a renunciar o pedir licencia.",0,1,,,,GOVERNMENT
"Nuestros paisanos, los mexicanos que trabajan en Estados Unidos, envían una cantidad muy  de  a México, que ahora se puede considerar de las más importantes entradas de divisas.",0,1,POSITIVE,1.0,OTHER,MONEY
"El presidente del Amdetur, Ernesto Coppel Kelly, asegura que mantiene  con el  y la propuesta “avanza favorablemente”.",0,1,,,,GOVERNMENT
"En diez años, cuando mire hacia atrás, vaya decir que me alegra haber  el .",0,1,,,,WEALTH
"Cabe mencionar que en esta lista de productos que no  , se encuentran mercancías como aspiradoras a las que corresponde un arancel para no socios comerciales de 20 por ciento o cámaras digitales que pagan siete por ciento; también fueron integrados productos agropecuarios como el té verde y aceites vegetales, artículos de perfumería, manufacturas de madera, autopartes y juguetes.",0,1,POSITIVE,1.0,MORAL_DUTY,TAXES
"XALAPA, Ver. (apro).- El escritor, articulista político y activista sindical, Paco Ignacio Taibo II, criticó la  laboral aprobada por la .",0,1,,,,GOVERNMENT
"Por lo tanto los señores magistrados tienen la gran oportunidad que nunca antes habían tenido, la de poder decidir basado en las leyes y no en la línea del Gobernador, línea que asumían ya sea por temor o por debilidad, por ello tenían un infarto espiritual, debido a que los gobiernos anteriores sufrieron la sumisión y en el último sexenio la mano opresora del pseudodictador que usurpó el  y quien nunca los dejó decidir ni los  de los conserjes o aseadores de sus edificios, bienvenida la autonomía.",0,1,,,,GOVERNMENT
En la época de Ramos se habían visto los  de una  cultural.,0,1,NEGATIVE,1.0,NATURAL_PHYSICAL_FORCE,TAXATION
"Son actos u omisiones que ejercen las personas con  de  que buscan discriminarte, obstaculizar o impedir el goce y ejercicio pleno de tus derechos humanos; así como tu acceso al disfrute de políticas públicas destinadas a prevenir, atender, investigar, sancionar y erradicar los diferentes tipos de violencia.",0,1,POSITIVE,1.0,GIFT,BUREAUCRACY
"- Ese es un cuento para arrullar mediocres domesticados, no una   que qué culpa tiene..",0,1,,,,POVERTY
"En este particular creo que de alguna manera habil  su , aunque siga siendo mediante el constante abuso del pais.",0,1,,,,WEALTH
de,0,1,POSITIVE,1.0,CLOTHING,MONEY
¿Crees que esta opinión está en contra de las  de ?,0,1,,,,GOVERNMENT
